asset_id	resource_file	scene	speaker_jp	jp_voice	source_text_sha256	zh_cn
01	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_01.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0001	D325F016CC21E805E3C0696F6192D9301A81EB97CDE8412CC7B994BB7AE8B1A0	宇宙并非由死亡统治的绝望荒野，|地球生命也并不孤独。
02	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_02.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0002	E6117B9550EE2658CAB566E664D500547C2DFB7A148AAD0100D031CD89898C23	1958年，美国“海盗号”无人火星探测计划|发现了数种栖息于地表的大型步行生命体。
03	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_03.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0003	5885951C02C67A058FDEE544D8D279027AFFEB7BAAED773AA9544E1A4D569D25	这份跨越数亿公里传来的报告令科学家们欣喜若狂，|也为雇主带来巨大希望，为出资者预示了无尽财富。
04	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_04.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0004	627331FC73B3B64E57F7B05A0502181BDB9AC1932B0A1970E97F8181D5DD909F	得知其存在的人们，大多把火星生命视作同为神之造物，|怀着宗教上的亲近与同胞般的情感，|沉醉于载人火星探测与首次接触的梦想。
05	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_05.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0005+201_唯依_TM_Y0006	8ABC99CDAAAB6172CAE3984E7507F2DDAFC715E86254F86291046ADED4C4E607	1967年|首次接触化作一场惨剧。
06	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_06.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0007	0CD7E7B2B5AEA49E72B7A4A1B4DF778C57B3233ADBDE977A8593BD8A54F08250	突然出现在月球萨克罗博斯科环形山的火星起源种，|将国际永久月面基地“柏拉图1”所属的地质调查队|一人不剩地全部吞食。
07	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_07.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0008	820AF4752BD9C597447034AF911DA67B2D6085F4361F0DA4D5045AF43F0E17F6	自这场被称为“萨克罗博斯科事件”的惨剧后，|它们持续无情推进，肆意扩张在月面的版图。
08	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_08.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0009	3970BD6540CCF79C7AF0A9F4B03B875C643A0BE526F56C758A9C923C4F6A078D	联合国代号：BETA
10	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_10.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0010	0078FBFFEF511215ECC25B469B80A57B6952BBE0891B10FF5348C2B798D8FAFF	这种被命名为“对人类敌对的异星起源种”的地外生命，|以适应火星、宇宙空间与月面的强韧生命力，|以及压倒性的数量粉碎人类抵抗，席卷了月球。
11	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_11.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0011	45DC0B7B8D9E95B8C29851ABA349DEB77605F26BDC3F5720FEE125CA18A32EC1	人们由此明白了一个简单的现实：|人类也不过是同样受生命法则支配的存在。
12	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_12.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0012+201_唯依_TM_Y0013	95D0153E7897BF875F933B442E3D28E6CBCA0559A123D81ED3E067A153BED416	1973年，BETA终于开始入侵地球。|降下单元着陆于欧亚大陆中部——|中华人民共和国新疆维吾尔自治区。
13	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_13.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0014	A889256D719ED65A260CC9AC6660C471041288AAE242AB2C166A3577FA38A4E9	但中国政府并未将其视为威胁。
14	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_14.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0014（続き）	49FBB95E6D4F93B2E224CD052A0D9488D83FAEDE27306CCFD95A8C48621DB168	不同于受国际条约严格限制武器运入的月面，|在地球地面战中，可以投入包括航空兵器在内的庞大战力。
15	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_15.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0015	DB55725B997F7F5F05B0034E6F64554DF5C8A6D9EE3A88BF38855B81EB0E2190	中国政府凭借占优的战况拒绝多国部队介入，|企图独占异星起源种样本。|然而十余天后，局势骤然逆转。
16	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_16.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0016	ABE51909E73AB3B79A1880F8B348843F589AC9ED5AC32BABCC52ED0702E51BC0	拥有强力生体激光器官的新种“激光属种”出现，|航空兵器被彻底无力化，战线也在BETA数量面前崩溃。
17	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_17.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0017	8A202D1F4194534B463A112FECBE2870981501DF7EDA45C2C1386EC2A4DFE216	核焦土战术同样无效，|中亚转瞬便落入BETA之手。
18	root/assets/data_spec/adv/game/chr/00no_text_telop/add_telop_18.webp	010：2001年_02：アバン	篁唯依	201_唯依_TM_Y0018+201_唯依_TM_Y0019	44EFFC2D2C4E0DA5739525DA3F7542D5CC8474BFAEEE27D2499EC646A80B77A8	1974年，第二个降下单元降落于加拿大阿萨巴斯卡。|BETA对北美大陆的入侵由此开始。
