jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
おかっちませ,祝君得胜,contextual,本作；详见使用限制,selected-imperial-capital-burns,2,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
かしこわ,谨遵号令,contextual,本作；详见使用限制,selected-imperial-capital-burns,3,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウルフ,群狼,contextual,本作；详见使用限制,selected-imperial-capital-burns,4,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-imperial-capital-burns,5,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ソ連,苏联,contextual,本作；详见使用限制,selected-imperial-capital-burns,6,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ツ―１１号砲弾,TSU-11号炮弹,contextual,本作；详见使用限制,selected-imperial-capital-burns,7,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハイドラ,九头蛇,contextual,本作；详见使用限制,selected-imperial-capital-burns,8,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ファング,獠牙,contextual,本作；详见使用限制,selected-imperial-capital-burns,9,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ポッチー,百奇,contextual,本作；详见使用限制,selected-imperial-capital-burns,10,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ユーラシア,欧亚大陆,contextual,本作；详见使用限制,selected-imperial-capital-burns,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ワーゲン・ザッツ,瓦根达斯,contextual,本作；详见使用限制,selected-imperial-capital-burns,12,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
三軍共同防衛方針,三军共同防卫方针,contextual,本作；详见使用限制,selected-imperial-capital-burns,13,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
中国地方,中国地区,contextual,本作；详见使用限制,selected-imperial-capital-burns,14,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
丹波高地,丹波高地,contextual,本作；详见使用限制,selected-imperial-capital-burns,15,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
