jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
インド,印度,contextual,本作；详见使用限制,selected-tda01,2,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イーグル,鹰,contextual,本作；详见使用限制,selected-tda01,3,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ,战犬,contextual,本作；详见使用限制,selected-tda01,4,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグス,战犬,contextual,本作；详见使用限制,selected-tda01,5,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ小隊,战犬小队,contextual,本作；详见使用限制,selected-tda01,6,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ隊,战犬队,contextual,本作；详见使用限制,selected-tda01,7,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン,艾伦,contextual,本作；详见使用限制,selected-tda01,8,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス,艾伦·艾斯,contextual,本作；详见使用限制,selected-tda01,9,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス少尉,艾伦·艾斯少尉,contextual,本作；详见使用限制,selected-tda01,10,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン少尉,艾伦少尉,contextual,本作；详见使用限制,selected-tda01,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
