call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text
1,game_t00000,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,EA376A3F8E5BCA18F5701DD48D2FDE7B6D806E960E85EF7BEAD6393A2F8A5DAB,text,「鹰6！中尉，请退后——！」
2,game_t00001,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,F9A1A7B0D0BCA3DA9CE0A028E2AC833DA572AD1E0A88B3680C93BEA7DD5724A0,text,「鹰3！鹰3——！」
3,game_t00002,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,C22BC93CE31A00E756D12A72B38E06D5C19C58606481AB0DBDF48403CA755177,text,「不行！电子欺骗来不及了！」
4,game_t00003,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,9F440B60AF5BA724593AE8F83B866126081F0C8D5FC9B56599409A3D9417444B,text,「可恶——！中计了！随机回避！诱导弹要来了——！」
5,game_t00004,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,FC3FD71611C2DFC6350CE5FE359EBD8FDCB32A9B5071D91937359DC39EBB99A5,text,「呀……！啊啊啊啊——！」
6,game_t00005,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,7DB06344E68C4459D592EF56A0C67F58CA7A20D26E70FBB8F14A6E2128F33AAF,text,「……在外骨骼动不了之前搞到车辆。白天藏身，只在夜间移动。……20天就能到达友军势力圈……」
7,game_t00006,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,B91BEE72ED50984D31961555D2535A67D591F72A4CA29052DA13385AC209C0F4,text,「盐暴很厉害。别疏忽过滤器的检查。要定时补充水分，不然会脱水的。」
8,game_t00007,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,68EDB85624BA2239E4BC8313703A3489A5A37CA1F9870135B17C945D6A7F8C34,text,「好了各位，站起来。穿过盐原之前都是关键……」
9,game_t00008,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,39469559D7C81AD3903C3CE1D78C3BE9824D02B9156024DEA218E7C691420791,text,「走吧，中尉……」
10,game_t00009,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,7F78AD64810A54230E5ED828268662E9C1FD57D71D104611688F9432FADBAFD9,text,「…………这帮家伙……都疯了……」
11,game_t00010,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,5D7193B62AD9BBC4D1C7F9F3A410DF74CA83040B8ACAF9131D612FB251BF49F9,text,「这也是……人类的业障……」
12,game_t00011,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,14A07CDEEE7D4B1F18BBB2AFAF48749A2ADE795DE61358B675E95E0562F93312,text,「都疯了，你、我、还有这帮家伙——！畜生……！去死吧——！」
13,game_t00012,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,442EC83B17F14BE4D757B8E9076B78481ADDD5C42226819F19065DCFA5E4F89F,text,「浅葱……这也是……为了活下去的……现实……」
14,game_t00013,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,34F722D55193E0B65383D088D550298FCA19FCA8C196A49E2A06297C90E4D9DC,text,「哈哈……、哈哈哈……啊哈哈哈……」
15,game_t00014,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,7CCD1F16ED6528148DDB113A79C837F22FCFF30BE031DE6E1D6783571C1BF2E0,text,「……怎么了，千堂」
16,game_t00015,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,2CA2D2BF908C87412E91A4ABB49300FA39256906E0EB5E5F2DEEB431B6BA0D15,text,「……那个……队长他……」
17,game_t00016,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,D76D0195921D9DE6F7FDDD7D2C220FDD8E19052103B8B142B2289AB96ED0C11D,text,「怎么会……怎么可以这样……为什么偏偏是你最先撑不住啊……」
18,game_t00017,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,F11FFCEC56D2D4E29AC8967684AF3C2F9151613C828CB91A8A16B0EC48A27297,text,「自从昨天寺本少尉死后，他就有点……」
19,game_t00018,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,98E2D437DD82866815E47A345EF7F7C6F63E4A9820AD1B4BE2BD2C05BC8D2D91,text,「那就能当自杀的借口吗……！？开什么玩笑……！」
20,game_t00019,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,4707A8AB8E4A9A333E1392A36B4382BD8E889638A0335D868CA926EC72C60E6D,text,「——！你藏了什么！拿出来——！」
21,game_t00020,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,EC082CEE823891E9702C409E079F16A6CEE871A9A2418AD7AD79213995A02B45,text,「不、不行——！那是——！——痛……！」
22,game_t00021,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,CF9D62DB2988094918727719AE9DDE9F773E0A81A4D984E7779553955B7D0776,text,「乖乖交出来，就不用受伤了……！」
23,game_t00022,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,BB645E9D9EEE6C082B38F52AEC91D456D5BD51C370D2CB83EBA99CE187F49046,text,「……你……你说什么……」
24,game_t00023,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,242E0F16981A43C2D99BAEFE3E5EBFD928A1AFEF7D2C5920277DAB07E686015E,text,「……所以我说了不行。一起……埋葬他们吧。这样放着两个人也太可怜了……」
25,game_t00024,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,2C72D6FCE86BBE29B7018D6200C590F7EB65265DA85FD6A221A508669BB6BF9F,text,「……不」
26,game_t00025,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「……」
27,game_t00026,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,DAEDA85DCC17DEF1A50A3519F78D29ED9EE9652862596A28FDAC6BF8F5EC227A,text,「……我还有人在等我。而且……」
28,game_t00027,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,FA34C391D398FE03273388E26B17AAC8B2AD88E92FE1B8F5597E95D35CFBF751,text,「浅葱少尉……」
29,game_t00028,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,7686179FDBF0C30556D0723931AF8CF3E0F8C403791A3FAC640B3393FFD132A0,text,「……应该……实现队长的愿望……不是吗……」
30,game_t00029,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,95EC6D78C629BFE0CA1BE533F956757ADB5C2DD76B97FDF7581A77180B8C19E7,text,「……浅葱少尉！你……你知道自己在说什么吗？」
31,game_t00030,010_序章_響の悪夢01.egpack,010_序章_響の悪夢01,,F374057DD9F13E80E001D13B96BB6303CA8287F70DDEBB95B599978DE81D5E3F,text,「……知道。我很清楚……」
