kind	source_relative	source_text_sha256	source_line_count	zh_cn
location	010_場所指定/EVテロップ_1997年06月07日　日本帝国　首都京都.avif	D2185A7B59E623129301DBB9E35D95CD716F19C59BCC00A8E343A9D0C11AF2E8	2	1997年6月7日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1997年07月15日　日本帝国　首都京都.avif	87B09DE4ED29C57B0B4291F888F4DC518020FCF6EAB32B5FCABF27FEEE23B669	2	1997年7月15日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1997年08月28日　日本帝国.avif	E6D1AAE912C9D617FCDF2D61B70E912AABD64BD1C4F19CDDB1BD89FA441CED95	2	1997年8月28日|日本帝国
location	010_場所指定/EVテロップ_1997年09月16日　日本帝国　首都京都.avif	EAAB4FDFCB8C009349A4F55EF81A5237CEB85CE498B1A573EAA0E5C4F3075444	2	1997年9月16日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1997年12月23日　日本帝国　首都京都.avif	C6C22AED1DA522EC24891F4DBC3D6612FE9C6387F04DE9FE402CF8EF29711016	2	1997年12月23日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1998年01月26日　ユーラシア大陸.avif	5DB823A880C82C6971DF015A1155ABFFBA5ACF3040AE3AE7D3213807921496ED	2	1998年1月26日|欧亚大陆
location	010_場所指定/EVテロップ_1998年03月17日　日本帝国　首都京都.avif	B7C451DC78EEA9F6FF6D02AF977C197EA1A2D37C71E815E56D2CA8A7EEF2DE58	2	1998年3月17日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1998年07月07日　対馬海峡.avif	401DC287E88652BA72109F3635D83C9F7B36BA6AD7ABBFFD1CA322C052BC12D6	2	1998年7月7日|对马海峡
location	010_場所指定/EVテロップ_1998年07月10日　日本帝国　首都京都.avif	E64704F1B6552E441020FA229368E027E802EE96BC9DB4B5440B51F2470349E4	2	1998年7月10日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1998年07月12日　日本帝国　第二帝都　東京.avif	4F15B2FBB2AF38790C81D4DA18D5E23E7B74B7DF02AF18CAA9F8AAFE7878B2CE	2	1998年7月12日|日本帝国 第二帝都 东京
location	010_場所指定/EVテロップ_1998年07月12日　日本帝国　首都京都.avif	F95E6CC630721E6D7B1A0928C9B1502A61B64EF54D7A970602D3E0CF4134B8BE	2	1998年7月12日|日本帝国 首都京都
location	010_場所指定/EVテロップ_1998年07月14日　日本帝国.avif	222727048D56A6B00E5EC85EFBE9080CAFEEA146A902757F68B1A95DA5CAB55A	2	1998年7月14日|日本帝国
location	010_場所指定/EVテロップ_1998年07月15日　京都東山区.avif	76393B7CCBDA3455AA0C5FA005E8F503821E750B917C791A6FE9A5FA8545EB64	2	1998年7月15日|京都 东山区
location	010_場所指定/EVテロップ_2日後　日本帝国　第二帝都・東京.avif	2825455E0890E8340B770AFA694608C7C929A934C29D02F33439449511E9ACF4	2	2天后|日本帝国 第二帝都·东京
