call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text,review_status,audit_flags
1,game_t00000,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,764D11BD1670AACD9F6BF3E8466170A2E1D6C702544A01AF5A63D419D1E39C7E,text,「已确认移民船团指挥舰‘马尔杜克’的GS机关启动。全移民船团已进入重力梯度航法。」,OK,
2,game_t00001,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,DDB4E98901435A03AD3EE0E080CA53EA7C59CAF825B03420061D706704047EDC,text,「——移民船团指挥舰‘马尔杜克’来电。这是航行开始前发出的信号。」,OK,
3,game_t00002,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,48452C52367D8F437D4681E27174BBECD866940BF8B76D46A33D6FB5D366488C,text,「『祈愿人类的胜利与地球的复兴。跨越遥远宇宙的深渊，互相传达彼此的捷报』」,OK,
4,game_t00003,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,2B7DFBA4A379688D8A5041EDA1EA27F7017E47E4F528FB15383265B5106BE17E,text,「——您要回信吗？」,OK,
5,game_t00004,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,BD10EACA1FA756E171F7A710D9329107DCD01658686E629583828F0852DF1C09,text,「之后的回复要过多少年才能送到他们那里？」,OK,
6,game_t00005,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,036A8029E765A01D3D49EE652A209F406DBE65E6F071E866DE7FBE6D34B6C0B5,text,「进入重力梯度航行后，通信双向都非常困难且不稳定。根据机关周期，从几个月后到几年后不等。」,OK,
7,game_t00006,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,88A2314F048276EB0EEA537A72447D6497A968BBFE804FB0E1E106EF046F9242,text,「最可靠的是，船团到达目的地的那一刻——在地球时间约60年后」,OK,
8,game_t00007,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,33EF939112C5C945BA3ACE6DBEBD63E84760D13B5D9B110BC1806356310BADAE,text,「那么，现在就没有必要发送了。5.9光年——54年后的回信就足够了。这边的告别已经告知了。」,OK,
9,game_t00008,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,2D433D2C62C3732C7C812F1E6EE88F01D6C6D099AD05156A50C4D80212B487F4,text,「是――」,OK,
10,game_t00009,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,05E673D67EF372EFD7F5D8B098646AAD57192E6FD82C8553C15BDF1AA55F88AB,text,「……彼此的捷报，吗。这大概是被迫参与不利赌局的一方最后的逞强吧。」,OK,
11,game_t00010,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「…………」,OK,
12,game_t00011,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,1339C5B3D90F4A787E5A8DE8B6B6F8D87A4391616B262D2AA50AC0507BE3BDB5,text,「北美航空宇宙防卫司令部向联合国联合参谋会议报告。『马尔杜克获得了巴比伦的钥匙』」,OK,
