egpack,id,jp,next_jp_carried_in_this_block
010_UAFプロローグ.egpack,game_t00000,「移民船団指揮艦『マルドゥーク』のＧＳ機関起動を確認。全移民船団は重力勾配航法に入りました」,「――移民船団指揮艦『マルドゥーク』より入電。航法開始直前の発信です」
010_UAFプロローグ.egpack,game_t00001,「――移民船団指揮艦『マルドゥーク』より入電。航法開始直前の発信です」,「『人類の勝利と地球の再興を祈る。遙か宇宙の深淵を越え、\w互いの捷報を伝え合わん事を』」
010_UAFプロローグ.egpack,game_t00002,「『人類の勝利と地球の再興を祈る。遙か宇宙の深淵を越え、\w互いの捷報を伝え合わん事を』」,「――返信なさいますか？」
010_UAFプロローグ.egpack,game_t00003,「――返信なさいますか？」,「以降の返信が彼らに届くのは何年後だ？」
010_UAFプロローグ.egpack,game_t00004,「以降の返信が彼らに届くのは何年後だ？」,「重力勾配航行に入った場合、\w通信は双方向共に非常に困難かつ不安定です。機関周期によって、\w数ヶ月後から数年後までの幅があります」
010_UAFプロローグ.egpack,game_t00005,「重力勾配航行に入った場合、\w通信は双方向共に非常に困難かつ不安定です。機関周期によって、\w数ヶ月後から数年後までの幅があります」,「もっとも確実なのは、\w船団が目的地に到着するその時――地球時間において約６０年後になります」
010_UAFプロローグ.egpack,game_t00006,「もっとも確実なのは、\w船団が目的地に到着するその時――地球時間において約６０年後になります」,「ならば、\w今送信する必要はあるまい。５．９光年――５４年後の返信で十分だ。こちらからの別れは既に告げてある」
010_UAFプロローグ.egpack,game_t00007,「ならば、\w今送信する必要はあるまい。５．９光年――５４年後の返信で十分だ。こちらからの別れは既に告げてある」,「は――」
010_UAFプロローグ.egpack,game_t00008,「は――」,捷報:しょうほう
010_UAFプロローグ.egpack,game_t00009,「…\w…\w互いの捷報、\wか。分の悪い賭けに乗せられた側の最後の強がりといったところだな」,「…\w…\w…\w…\w」
010_UAFプロローグ.egpack,game_t00010,「…\w…\w…\w…\w」,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」
010_UAFプロローグ.egpack,game_t00011,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」,「了解。『マルドゥークはバビロンの鍵を得たり』、\w繰り返す、\w『マルドゥークはバビロンの鍵を得たり』」
010_UAFプロローグ.egpack,game_t00012,「了解。『マルドゥークはバビロンの鍵を得たり』、\w繰り返す、\w『マルドゥークはバビロンの鍵を得たり』」,「諸君、\wいよいよだ――」
010_UAFプロローグ.egpack,game_t00013,「諸君、\wいよいよだ――」,「人類はまもなく勝利し、\wこの地球は再興する。６０年後ではなく、\w数年以内にな」
010_UAFプロローグ.egpack,game_t00014,「人類はまもなく勝利し、\wこの地球は再興する。６０年後ではなく、\w数年以内にな」,「５４年後、\w彼らに送り届けようではないか――この美しき地球の姿を、\w緑溢れるユーラシアを」
010_UAFプロローグ.egpack,game_t00015,「５４年後、\w彼らに送り届けようではないか――この美しき地球の姿を、\w緑溢れるユーラシアを」,「――司令、\w国連統合参謀会議より返電。『バビロンの扉は開かれり』、\w以上です」
010_UAFプロローグ.egpack,game_t00016,「――司令、\w国連統合参謀会議より返電。『バビロンの扉は開かれり』、\w以上です」,「来たか――」
010_UAFプロローグ.egpack,game_t00017,「来たか――」,「諸君――現時刻を以って『バビロン作戦』を発動する――！」
010_UAFプロローグ.egpack,game_t00018,「諸君――現時刻を以って『バビロン作戦』を発動する――！」,「Gentlemen! We will now commence Operation Babylon!」
020_UAF_DAY91_01.egpack,game_t00019,―\w―\w変わらぬ空を、\w今日も飛ぶ。,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」
020_UAF_DAY91_01.egpack,game_t00020,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,「ナイヴス１了解。減速を開始する。測地準備に入れ」
020_UAF_DAY91_01.egpack,game_t00021,「ナイヴス１了解。減速を開始する。測地準備に入れ」,「ナイヴス２了解」
020_UAF_DAY91_01.egpack,game_t00022,「ナイヴス２了解」,「…\w…\w…\w…\w」
020_UAF_DAY91_01.egpack,game_t00023,「…\w…\w…\w…\w」,滑らかに、穏やかに―\w―
020_UAF_DAY91_01.egpack,game_t00024,滑らかに、穏やかに―\w―,…\w…\wよし、\w特に問題ないな。
020_UAF_DAY91_01.egpack,game_t00025,…\w…\wよし、\w特に問題ないな。,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」
020_UAF_DAY91_01.egpack,game_t00026,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,「ナイヴス１了解。こちらも記録を完了した。誤差はないようだ」
020_UAF_DAY91_01.egpack,game_t00027,「ナイヴス１了解。こちらも記録を完了した。誤差はないようだ」,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」
020_UAF_DAY91_01.egpack,game_t00028,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」,奴:タイプ
020_UAF_DAY91_01.egpack,game_t00029,「女を扱うように優しくするんだ。貴様のようなガサツな奴は女にも戦術機にも嫌われるぞ」,やれやれ…\w…\wうまく飛んでも結局『坊や』扱いは変わらずか。
020_UAF_DAY91_01.egpack,game_t00030,やれやれ…\w…\wうまく飛んでも結局『坊や』扱いは変わらずか。,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」
020_UAF_DAY91_01.egpack,game_t00031,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」
020_UAF_DAY91_01.egpack,game_t00032,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」,「謹んで遠慮申し上げます、\wマム」
020_UAF_DAY91_01.egpack,game_t00033,「謹んで遠慮申し上げます、\wマム」,「いい返事だウィル。よく分かったよ、\wおまえがまったく分かっちゃいないってことがね」
020_UAF_DAY91_01.egpack,game_t00034,「いい返事だウィル。よく分かったよ、\wおまえがまったく分かっちゃいないってことがね」,とはいえ、\w単調で気の滅入る任務の最中、\wこういう軽口は正直ありがたい。
020_UAF_DAY91_01.egpack,game_t00035,とはいえ、\w単調で気の滅入る任務の最中、\wこういう軽口は正直ありがたい。,「――にしても、\wこっちも代わり映えしない光景ですね。…\w…\w分かっちゃいましたが、\wその…\w…\w」
020_UAF_DAY91_01.egpack,game_t00036,「――にしても、\wこっちも代わり映えしない光景ですね。…\w…\w分かっちゃいましたが、\wその…\w…\w」,何度見ても気の滅入る風景だ。
020_UAF_DAY91_01.egpack,game_t00037,何度見ても気の滅入る風景だ。,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。
020_UAF_DAY91_01.egpack,game_t00038,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。,「おやおや、\w泣き言には早すぎだねえ少尉」
020_UAF_DAY91_01.egpack,game_t00039,「おやおや、\w泣き言には早すぎだねえ少尉」,「泣き言ではありません。感想です」
020_UAF_DAY91_01.egpack,game_t00040,「泣き言ではありません。感想です」,「ほう、\wこのダリル姐さんに向かって言うじゃないか」
020_UAF_DAY91_01.egpack,game_t00041,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,「上官への正しい助言は部下の責務であります、\wマム」
020_UAF_DAY91_01.egpack,game_t00042,「上官への正しい助言は部下の責務であります、\wマム」,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」
020_UAF_DAY91_01.egpack,game_t00043,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,「…\w…\w…\w…\w」
020_UAF_DAY91_01.egpack,game_t00044,「…\w…\w…\w…\w」,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」
020_UAF_DAY91_01.egpack,game_t00045,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」,「諦めたくないんですよ、\w俺はまだ」
020_UAF_DAY91_01.egpack,game_t00046,「諦めたくないんですよ、\w俺はまだ」,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」
020_UAF_DAY91_01.egpack,game_t00047,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」,「アイマム。\wもちろんです」
020_UAF_DAY91_01.egpack,game_t00048,「アイマム。\wもちろんです」,無事に帰りたいが、\w何かがあって欲しい。
020_UAF_DAY91_01.egpack,game_t00049,無事に帰りたいが、\w何かがあって欲しい。,もちろん別にトラブルが欲しいってわけじゃない。
020_UAF_DAY91_01.egpack,game_t00050,もちろん別にトラブルが欲しいってわけじゃない。,ただ、\wこの何も無い世界に、\w何かが、\w誰かが――
020_UAF_DAY91_01.egpack,game_t00051,ただ、\wこの何も無い世界に、\w何かが、\w誰かが――,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」
020_UAF_DAY91_01.egpack,game_t00052,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」,「――更新確認。こちらも異常なしだ」
