relative_path,id,slot,expected_text,replacement_text
__speakers__.egpack,game_s00000,jp,ばあや,奶妈
__speakers__.egpack,game_s00001,jp,ウルフ中隊,群狼中队
__speakers__.egpack,game_s00002,jp,ウルフ２,群狼2
__speakers__.egpack,game_s00003,jp,ウルフ３,群狼3
__speakers__.egpack,game_s00004,jp,オペレーター,操作员
__speakers__.egpack,game_s00005,jp,グェン大尉,阮上尉
__speakers__.egpack,game_s00006,jp,コンビニ店員,便利店店员
__speakers__.egpack,game_s00007,jp,ファング中隊,獠牙中队
__speakers__.egpack,game_s00008,jp,ファング４,獠牙4
__speakers__.egpack,game_s00009,jp,ファング９,獠牙9
__speakers__.egpack,game_s00010,jp,中隊全員,中队全员
__speakers__.egpack,game_s00011,jp,中隊衛士１,中队卫士1
__speakers__.egpack,game_s00012,jp,中隊衛士２,中队卫士2
__speakers__.egpack,game_s00013,jp,九條中佐,九条中校
__speakers__.egpack,game_s00014,jp,佐埜議員,佐埜议员
__speakers__.egpack,game_s00015,jp,候補生,候补生
__speakers__.egpack,game_s00016,jp,候補生たち,候补生们
__speakers__.egpack,game_s00017,jp,候補生全員,候补生全员
__speakers__.egpack,game_s00018,jp,候補生１,候补生1
__speakers__.egpack,game_s00019,jp,八雲長官,八云长官
__speakers__.egpack,game_s00020,jp,副官,副官
__speakers__.egpack,game_s00021,jp,医師,医师
__speakers__.egpack,game_s00022,jp,叔父,叔父
__speakers__.egpack,game_s00023,jp,同期生,同期学员
__speakers__.egpack,game_s00024,jp,同期生全員,同期学员全员
__speakers__.egpack,game_s00025,jp,和泉,和泉
__speakers__.egpack,game_s00026,jp,唯依,唯依
__speakers__.egpack,game_s00027,jp,唯依・和泉,唯依、和泉
__speakers__.egpack,game_s00028,jp,唯依・安芸・和泉・志摩子,唯依、安艺、和泉、志摩子
__speakers__.egpack,game_s00029,jp,唯依・志摩子・和泉・安芸,唯依、志摩子、和泉、安艺
__speakers__.egpack,game_s00030,jp,国連軍兵士,联合国军士兵
__speakers__.egpack,game_s00031,jp,声,声音
__speakers__.egpack,game_s00032,jp,声援,声援
__speakers__.egpack,game_s00033,jp,大叔父,叔祖父
__speakers__.egpack,game_s00034,jp,女の子,女孩
__speakers__.egpack,game_s00035,jp,女学生１,女学生1
