jp,cn,context
アイアンサイド大尉,艾恩赛德上尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
イカルガ閣下,斑鸠阁下,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
インド,印度,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウィル,威尔,仅指人物威尔；不得匹配ウィルス等词的一部分
ウィルバート・コリンズ,威尔伯特·柯林斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグス,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ小隊,战犬小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン,艾伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス,艾伦·艾斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス少尉,艾伦·艾斯少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
クレイン,鹤,2006年01月01日_11：斯衛と帝国 / 2006年01月01日_12：北米航空宇宙防衛司令部攻防戦2 / 2006年02月18日_04：戦術機部隊撤退 / 2006年02月18日_25：勝負あり；旧 TDA 交接记录已确认；仅在本作命中范围使用。；来源 tda-shared-decisions:6。仅作语境审校参考，不自动替换。
サラマンダー,蝾螈,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
サラマンダー隊,蝾螈队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シアトル,西雅图,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
タコマ,塔科马,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル,达里尔,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル・マクマナス,达里尔·麦克马纳斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス１,黑刃1,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス２,黑刃2,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハワイ,夏威夷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハンター,猎人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハンターズ,猎人队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン作戦,巴比伦作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ヒル中尉,希尔中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フェザント,雉鸡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フェザント中隊,雉鸡中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フェザント２,雉鸡2,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランス人,法国人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランス代表,法国代表,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランス軍,法军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブライアン,布莱恩,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブラックナイヴス,黑刃,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブラックナイヴス小隊,黑刃小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブラックバード,黑鸟,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ホーンド,号角,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ホーンド中隊,号角中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ホーンド３,号角3,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ボクサー,拳师号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ボーニング社,波音公司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
メルヴィナ,梅尔维娜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
メルヴィナ・アードヴァニー,梅尔维娜·阿德瓦尼,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ラトルスネーク,响尾蛇,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ラトルスネーク１,响尾蛇1,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リヴィエール大尉,里维埃上尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リーナ,莉娜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ロレーヌ,洛林,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
一郎,一郎,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
伍長,下士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
千堂,千堂,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂専務,千堂专务,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂少尉,千堂少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香,千堂柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香少尉,千堂柚香少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
古手川先生,古手川老师,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
咲代子,咲代子,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大上中尉,大上中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大和,大和,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大尉,上尉,2005年12月29日_01：日中・国境線現在 / 2005年12月29日_02：同時刻・その頃のフランス軍 / 2005年12月29日_04：夕方・帰投し千堂親子再会 / 2005年12月30日_02：朝・駒木と移動中 / 2005年12月30日_03：日中・駒木と千堂父 / 2005年12月30日_04：日中・会議後 / 2005年12月30日_06：夜・エレンと酒場1 / 2005年12月31日_02：ブリーフィング / 2005年12月31日_03：格納庫 / 2005年12月31日_07：沙霧 / 2006年01月01日_07：斯衛登場 / 2006年01月01日_09：斯衛と沙霧 / 2006年01月01日_11：斯衛と帝国 / 2006年01月01日_13：ベルナデット / 2006年01月01日_15：核爆発 / 2006年01月01日_22：沙霧たち / 2006年01月07日_04：夜、エレンと / 2006年01月09日_03：呼び出し / 2006年01月10日_02：駒木と響 / 2006年01月10日_05：駒木回想　沙霧と / 2006年01月21日_01：JFKハイヴ攻略戦準備【0730修正】 / 2006年02月14日_03：まりもの話【0730修正】 / 2006年02月14日_04：出征式【0730修正】 / 2006年02月15日_02：作戦会議【0730修正】 / 2006年02月18日_06：再攻撃 / 2006年02月18日_08：『門』入り口 / 2006年02月18日_10：米軍突入部隊 / 2006年02月18日_12：地下茎 / 2006年02月18日_15：後退するフランス部隊 / 2006年02月18日_16：救援 / 2006年02月18日_22：柚香脱出 / 2006年02月18日_28：JFKからの帰還；旧 TDA 交接记录已确认；仅在本作命中范围使用。；来源 tda-shared-decisions:13。仅作语境审校参考，不自动替换。
大規模重力偏差,大规模重力偏差,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
太平洋,太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
寺本,寺本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国衛士,帝国卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
悠陽殿下,悠阳殿下,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機小隊,战术机小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機母艦,战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
整備兵,整备兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
整備班長,整备班长,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斑鳩,斑鸠,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斑鳩閣下,斑鸠阁下,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
月詠中尉,月咏中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風,松风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風諒一,松风谅一,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
柚香,柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
楠本,楠本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
沙霧大尉,沙雾上尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
河崎重工専務,河崎重工专务,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
浅葱,浅葱,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
白銀中尉,白银中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
真壁中佐,真壁中校,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
神代少尉,神代少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第３１８海兵戦術機隊,第318海军陆战队战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海兵隊,美国海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
