"call_order","id","egpack","scene","speaker_jp","jp_text","cn_text"
"1","game_t00000","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「私は…\w…\w」\p","「我……」\p"
"2","game_t00001","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「私は…\w…\wまた…\w…\w」\p","「我……又一次……」\p"
"3","game_t00002","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「守ることができなかった…\w…\w」\p","「没能保护好她们……」\p"
"4","game_t00003","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「和泉…\w…\w」\p","「和泉……」\p"
"5","game_t00004","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「安芸…\w…\w」\p","「安艺……」\p"
"6","game_t00005","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「志摩子…\w…\w」\p","「志摩子……」\p"
"7","game_t00006","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「…\w…\w山城…\w…\wさん」\p","「……山城……同学」\p"
"8","game_t00007","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「ごめんなさい…\w…\w」\p","「对不起……」\p"
"9","game_t00008","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim","唯依","「まだ当分…\w…\wあなたの名を呼ぶことができそうにないわ」\p","「看来短时间内……我还是没办法叫出你的名字。」\p"
"10","game_t00009","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「私は…\w…\w」\p","「我……」\p"
"11","game_t00010","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「私は…\w…\wまた…\w…\w」\p","「我……又一次……」\p"
"12","game_t00011","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「守ることができなかった…\w…\w」\p","「没能保护好她们……」\p"
"13","game_t00012","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「和泉…\w…\w」\p","「和泉……」\p"
"14","game_t00013","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「安芸…\w…\w」\p","「安艺……」\p"
"15","game_t00014","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「志摩子…\w…\w」\p","「志摩子……」\p"
"16","game_t00015","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「…\w…\w山城…\w…\wさん」\p","「……山城……同学」\p"
"17","game_t00016","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「ごめんなさい…\w…\w」\p","「对不起……」\p"
"18","game_t00017","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy","唯依","「まだ当分…\w…\wあなたの名を呼ぶことができそうにないわ」\p","「看来短时间内……我还是没办法叫出你的名字。」\p"
"19","game_t00018","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「私は…\w…\w」\p","「我……」\p"
"20","game_t00019","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「私は…\w…\wまた…\w…\w」\p","「我……又一次……」\p"
"21","game_t00020","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「守ることができなかった…\w…\w」\p","「没能保护好她们……」\p"
"22","game_t00021","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「和泉…\w…\w」\p","「和泉……」\p"
"23","game_t00022","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「安芸…\w…\w」\p","「安艺……」\p"
"24","game_t00023","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「志摩子…\w…\w」\p","「志摩子……」\p"
"25","game_t00024","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「…\w…\w山城…\w…\wさん」\p","「……山城……同学」\p"
"26","game_t00025","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「ごめんなさい…\w…\w」\p","「对不起……」\p"
"27","game_t00026","０１０：２００１年_01：ユーコン事件直後の唯依　.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　","唯依","「まだ当分…\w…\wあなたの名を呼ぶことができそうにないわ」\p","「看来短时间内……我还是没办法叫出你的名字。」\p"
"28","game_t00027","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「私は…\w…\w」\p","「我……」\p"
"29","game_t00028","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「私は…\w…\wまた…\w…\w」\p","「我……又一次……」\p"
"30","game_t00029","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「守ることができなかった…\w…\w」\p","「没能保护好她们……」\p"
"31","game_t00030","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「和泉…\w…\w」\p","「和泉……」\p"
"32","game_t00031","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「安芸…\w…\w」\p","「安艺……」\p"
"33","game_t00032","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「志摩子…\w…\w」\p","「志摩子……」\p"
"34","game_t00033","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「…\w…\w山城…\w…\wさん」\p","「……山城……同学」\p"
"35","game_t00034","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「ごめんなさい…\w…\w」\p","「对不起……」\p"
"36","game_t00035","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack","０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）","唯依","「まだ当分…\w…\wあなたの名を呼ぶことができそうにないわ」\p","「看来短时间内……我还是没办法叫出你的名字。」\p"
"37","game_t00036","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「あ…\w…\w」\p","「啊……」\p"
"38","game_t00037","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w」\p","「…\w…\w」\p"
"39","game_t00038","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「まるで、\w何も起きていないみたい…\w…\w」\p","「简直就像……什么都没发生过一样……」\p"
"40","game_t00039","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","千数百年、\wここに在り続けた都。私の故郷、\w京都が好き。\p","这座延续了一千数百年的古都。我喜欢我的故乡京都。\p"
"41","game_t00040","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","古いもの。新しいもの。日本人が生み出したもの、\wそのすべてを受け容れ、\w育んできた日本の首都。\p","古老之物、新生之物，以及日本人创造的一切——这座日本的首都始终接纳并孕育着它们。\p"
"42","game_t00041","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w」\p","「…\w…\w」\p"
"43","game_t00042","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","…\w…\wでも\p","……可是——\p"
"44","game_t00043","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","最前線は今この瞬間も日本に近付いてきている。\p","前线此刻仍在不断逼近日本。\p"
"45","game_t00044","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","毎日、\wニュースで取り上げられるのは決まって大陸の戦況や戦災難民のこと。\p","每天新闻里报道的，总是大陆战况和战争难民。\p"
"46","game_t00045","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","この国が危機に瀕しているのは疑いようの無い事実…\w…\w。\p","这个国家正面临危机，是不容置疑的事实……\p"
"47","game_t00046","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","でも、\wこの平和な街で、\wいったいどれだけの人がその現実を受け入れているんだろうか…\w…\w。\p","可是，在这座和平的城市里，究竟有多少人真正接受了这个现实……\p"
"48","game_t00047","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","ＢＥＴＡの地球侵攻が始まって以来、\w極東ユーラシア前線を支える日本はとても豊かになった。\p","自BETA开始入侵地球以来，支撑远东欧亚战线的日本变得十分富裕。\p"
"49","game_t00048","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w…\w…\w」\p","「…\w…\w…\w…\w」\p"
"50","game_t00049","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","地球が宇宙生物の侵略を受けているなんてことが信じられない程、\w日本は平和だ。\p","日本和平得让人难以相信，地球正在遭受外星生物入侵。\p"
"51","game_t00050","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","朝になれば昨日と何も変わらない今日が当たり前のように始まり、\w生命を脅かすような不自由は何ひとつない。\p","清晨一到，与昨天毫无不同的今天便理所当然地开始；生活中也没有任何足以危及生命的匮乏。\p"
"52","game_t00051","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","活気にあふれる人々の暮らしからは、\w目と鼻の先まで迫る戦火に対する怯えなんてまったく感じない。\p","从人们充满活力的生活中，完全感受不到他们对近在咫尺的战火有丝毫恐惧。\p"
"53","game_t00052","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","多くの日本人にとって、\wＢＥＴＡ大戦はテレビ画面の向こう側にある""現実""なんだ。\p","对许多日本人而言，BETA大战只是电视画面另一端的“现实”。\p"
"54","game_t00053","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「だからこそ、\w私たちが…\w…\w」\p","「正因为如此，才需要我们……」\p"
"55","game_t00054","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","武家に生まれた私たち斯衛軍が、\w精強無比でなければならないんだ。\p","生于武家的我们斯卫军，才更必须做到精锐无双。\p"
"56","game_t00055","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","私たちが一日も早く正規の衛士になって、\w日本帝国皇帝陛下と政威大将軍殿下、\wそして国民と国土を命懸けで護るんだ。\p","我们要早日成为正式卫士，拼上性命守护日本帝国皇帝陛下、政威大将军殿下，以及国民与国土。\p"
"57","game_t00056","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","まして私は篁の一人娘。徳川の時代から将軍の居城に参内を許されている、\w栄誉ある武器拵えの血筋。\p","更何况，我是篁家的独生女。自德川时代起，篁家便获准进入将军居城觐见，是享有殊荣的兵器制造世家。\p"
"58","game_t00057","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","旁白","その名を汚さないためにも常に己を律し、\w訓練学校でも他家の者たちに譜代武家の範を示さなきゃいけない。\p","为了不辱家名，我必须时刻严格要求自己；即使在训练学校，也要为其他家族的人树立谱代武家的典范。\p"
"59","game_t00058","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","声","「――ごきげんよう、\w唯依」\p","「——早安，唯依。」\p"
"60","game_t00059","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「ご、\wごきげんよう」\p","「早、早安。」\p"
"61","game_t00060","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「な～んだ唯依、\wまた教本読んでたの～？」\p","「搞什么嘛唯依，你又在看教材啊？」\p"
"62","game_t00061","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「別に、\wちょっと時間があったから。暇つぶしに見ていただけだよ」\p","「没有，只是刚好有点时间。随便翻翻打发时间而已。」\p"
"63","game_t00062","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「うえ～、\w教本なんて暇つぶしでも見たくないわ！　ホント偉いよ！　さすが我等の小隊長殿！」\p","「呜哇——教材这种东西，就算闲着我也不想看！你可真厉害！不愧是我们的小队长大人！」\p"
"64","game_t00063","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「や、\wやだなあ安芸、\wからかわないでよ」\p","「真、真是的，安艺，别拿我开玩笑。」\p"
"65","game_t00064","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「いやいや、\w待ち合わせはいつも早く来るし、\w家格で押し付けられる面倒事も文句言わないでやるし。ほんと、\wウチは外様でよかった～」\p","「哪有哪有，你每次约好见面都早到，家格硬塞给你的麻烦差事也从不抱怨。唉，我们家是外样真是太好了～」\p"
"66","game_t00065","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","志摩子","「安芸…\w…\wそういうのは、\w外様でもちゃんとやろうよ」\p","「安艺……这种事，就算是外样也该好好做吧。」\p"
"67","game_t00066","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「まったくだわ。家格くくりで同類扱いされる私と志摩子の立場も考えてよ」\p","「就是啊。也替我和志摩子想想，别害我们因为同属外样而被当成一路人。」\p"
"68","game_t00067","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「え～？　いったい何の話？」\p","「咦？你们在说什么啊？」\p"
"69","game_t00068","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「あのさ～安芸ぃ、\wお願いだから私の自信の拠り所、\w奪わないで」\p","「拜托啦安艺，别把我最后那点自信也夺走。」\p"
"70","game_t00069","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「拠り所ぉ？」\p","「底气？」\p"
"71","game_t00070","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「武家の矜持は別として、\w実際問題、\w私、\w軍でちゃんとやっていけるか、\wすごく不安なのよ」\p","「撇开武家的矜持不谈，说真的，我非常担心自己在军队里到底能不能干得下去。」\p"
"72","game_t00071","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「あ～、\wそういうことか。…\w…\wま、\wそりゃ確かに」\p","「啊——原来是这个意思。……嗯，那倒也是。」\p"
"73","game_t00072","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「難関の衛士教練に選抜されたことだけが、\wやって行けそうって思える唯一の根拠なの。わかる？」\p","「我唯一能让自己相信能撑下去的依据，就是自己被选入了门槛极高的卫士训练。明白吗？」\p"
"74","game_t00073","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「うんうん、\wわかるよ～和泉ぃ、\w戦車兵や機械化歩兵は悲惨だもんね～！　衛士に選ばれてほんっと良かったよね～！」\p","「嗯嗯，我懂啊和泉～坦克兵和机械化步兵可惨了！能被选上当卫士真是太好了！」\p"
"75","game_t00074","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「ちょっと和泉～、\wなんで逃げるんだよ！」\p","「喂，和泉，你躲什么啊！」\p"
"76","game_t00075","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「だから～、\w全然良くないの。あんたも選ばれてる時点で、\w自信の拠り所が木っ端微塵なんだから」\p","「所以我才说一点都不好。连你都能被选上，我那点自信早就碎得一干二净了。」\p"
"77","game_t00076","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「――なんだそれ！！　なんで私が木っ端微塵なんだよ～！？」\p","「——你什么意思！！凭什么因为我就碎得一干二净啊！？」\p"
"78","game_t00077","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","志摩子","「ちょっと、\w安芸ぃ…\w…\w！　和泉も…\w…\w！」\p","「喂，安艺……！和泉也是……！」\p"
"79","game_t00078","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「それそれ、\wそういう所よ。はぁ、\wやっぱり衛士選抜って、\w武門の品位は考慮外なのねえ…\w…\w」\p","「就是这种地方啊。唉，看来卫士选拔根本不看武门品格呢……」\p"
"80","game_t00079","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「ぬぬぬぬ…\w…\wッ！　だったら和泉っ、\wあんただって武家の娘らしくしなさいよね！」\p","「唔唔唔……！既然这样，和泉，你也给我拿出点武家小姐的样子来！」\p"
"81","game_t00080","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「あらあ、\wご覧のとおり私は――」\p","「哎呀，如你所见，我可是——」\p"
"82","game_t00081","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","安芸","「――男女交際は品位と節度を弁えなさいよっ？！　せいぜい淫らな愛欲に流されないようにねッ！！」\p","「——男女交往要注意品格和分寸哦？！可别放任自己沉溺于淫乱情欲！！」\p"
"83","game_t00082","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","和泉","「――ななな何言ってるのよう！？　わっ、\w私たちはべ、\w別にっ、\wそんな…\w…\wっっっ！！！」\p","「——你你你说什么呀！？我、我们才、才没有，那个……！！！」\p"
"84","game_t00083","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","志摩子","「も～、\wふたりとも～！」\p","「真是的，你们两个！」\p"
"85","game_t00084","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","唯依","「…\w…\w…\w…\w」\p","「…\w…\w…\w…\w」\p"
"86","game_t00085","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","声","「――ホント、\w気楽でいいよね～、\w武家のお嬢様方はさ～」\p","「——武家的大小姐们可真轻松啊～」\p"
"87","game_t00086","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","女学生１","「朝からあんなはしゃいじゃって。ずいぶん楽しそうだよね～、\w軍隊なのに」\p","「大早上就闹成那样。明明是在军队里，居然还玩得那么开心～」\p"
"88","game_t00087","０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack","０２０：１９９７年_04：登校　背景状況説明　４月１４日","女学生２","「ちがうよ、\wあそこって""お嬢様兵隊教室""なんだって。陸軍の兄キがいってた」\p","「才不是，听说那里是什么“大小姐军人教室”。我哥在陆军，他说的。」\p"
