"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"1","pf:static:photonflowers11.rio:14922468:00001205","photonflowers11.rio","crsa:photonflowers11.rio@14922468","","クロニクルズ～贖罪～","编年史～赎罪～"
"2","pf:static:photonflowers11.rio:488251388:00006534","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「近年の技術革新や新素材の開発、<03>主機の出力向上や小型化による機動性の向上によって、<03>戦術機のフォルムとポジションは変化してきた」<01>","【麻理茉】「近年来，随着技术革新、新材料的研发，以及主机输出提升与小型化带来的机动性提高，<03>战术机的形态与定位也发生了变化。」<01>"
"3","pf:static:photonflowers11.rio:488251388:00007226","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「最近では戦闘ヘリに代わって、<03>戦術機がエアカバーを担当することが多くなった事も、<03>それを裏付けている」<01>","【麻理茉】「近来，战术机取代武装直升机、承担空中掩护任务的情况越来越多，<03>这也印证了这一点。」<01>"
"4","pf:static:photonflowers11.rio:488251388:00007560","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「このように航空機の戦術的なポジションに取って代わった戦術機だが、<03>実戦部隊が配備された当時、<03>パイロットの熟練度が大問題になった」<01>","【麻理茉】「战术机就这样取代了航空器原本的战术定位，<03>但在实战部队开始部署之初，<03>驾驶员的熟练程度成了一个大问题。」<01>"
"5","pf:static:photonflowers11.rio:488251388:00007942","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「なお、<03>戦術機のパイロットは和訳で『衛士』と呼ばれている。<0A>以後和訳呼称を用いるので混乱しないように」<01>","【麻理茉】「另外，<03>战术机驾驶员在日语中被称为『卫士』。<0A>之后我会使用这个日语称谓，注意不要混淆。」<01>"
"6","pf:static:photonflowers11.rio:488251388:00008454","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「当初、<03>大幅な再編を求められ、<03>職を失いかけた空軍のパイロット達を衛士として再教育したわけだが…<03>…<03>」<01>","【麻理茉】「起初，<03>空军被迫进行大规模重组，<03>那些险些失业的飞行员便被重新培养成了卫士，可是……<03>……<03>」<01>"
"7","pf:static:photonflowers11.rio:488251388:00008884","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「これは９４年配備の『不知火』以降の機体に採用され、<03>それ以前の機体にも換装されている９２式戦術機管制ユニットだが、<03>航空機のコックピットとはあらゆる面でまったくかけ離れている」<01>","【麻理茉】「这是92式战术机管制组件，自94年列装的『不知火』起开始采用，<03>此前的机体也已换装，<03>但它在各个方面都与航空器驾驶舱截然不同。」<01>"
"8","pf:static:photonflowers11.rio:488251388:00009544","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「それまで影も形もなかった、<03>戦車と航空機の中間的な存在である『人型兵器』の操縦、<03>戦術、<03>運用、<03>機動まで、<03>あらゆる部分に要求される発想の転換についていける者は少なかった」<01>","【麻理茉】「这种在此之前从未存在过、<03>介于坦克与航空器之间的『人型兵器』，<03>无论驾驶、<03>战术、<03>运用还是机动，<03>方方面面都要求转变思路，<03>能跟上这种转变的人少之又少。」<01>"
"9","pf:static:photonflowers11.rio:488251388:00010170","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「対ＢＥＴＡ戦の切り札、<03>新概念の兵器である戦術機は、<03>その必然性や設計開発思想がいかなるものであれ、<03>現場の兵士を混乱させる兵器になってしまったわけだ」<01>","【麻理茉】「战术机本是对BETA战的王牌，<03>是一种全新概念的兵器；<03>然而无论其诞生有何必然性、秉持怎样的设计开发理念，<03>它终究成了让前线士兵无所适从的兵器。」<01>"
"10","pf:static:photonflowers11.rio:488251388:00010810","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「その当時、<03>初陣の衛士の戦場における平均生存時間がどのくらいか知っている者はいるか？」<01>","【麻理茉】「有人知道在当时，<03>初次上阵的卫士在战场上的平均生存时间有多长吗？」<01>"
"11","pf:static:photonflowers11.rio:488251388:00011108","photonflowers11.rio","crsa:photonflowers11.rio@488251388","千鶴・冥夜・壬姫・慧・美琴・武","【千鶴・冥夜・壬姫・慧・美琴・武】「…<03>…<03>…<03>…<03>」<01>","【千鹤、冥夜、壬姬、慧、美琴、武】「……<03>……<03>……<03>……<03>」<01>"
"12","pf:static:photonflowers11.rio:488251388:00011206","photonflowers11.rio","crsa:photonflowers11.rio@488251388","まりも","【まりも】「白銀、<03>いってみろ」<01>","【麻理茉】「白银，<03>你来说说看。」<01>"
