"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"1","pf:static:photonflowers11.rio:14922468:00000415","photonflowers11.rio","crsa:photonflowers11.rio@14922468","","桜の花が咲くまえに","樱花盛开之前"
"2","pf:static:photonflowers11.rio:487194916:00039032","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「ちょっと白銀君！　ちゃんとやりなさいよっ！」<01>","千鹤【我说白银君！给我好好干啊！】"
"3","pf:static:photonflowers11.rio:487194916:00039232","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「うるせぇなあ、<03>ちゃんとやってるだろー？」<01>","武【真啰嗦啊，我在好好干啊】"
"4","pf:static:photonflowers11.rio:487194916:00039394","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「隅っこにゴミ追いやってるだけじゃない！」<01>","千鹤【你不只是在把垃圾堆到角落嘛！】"
"5","pf:static:photonflowers11.rio:487194916:00039576","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「かてーこと言うなよ、<03>委員長～」<01>","武【别说那么死板的话嘛，班长~】"
"6","pf:static:photonflowers11.rio:487194916:00039720","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「四角いところは四角く掃く！　それが常識よ」<01>","千鹤【四角形的地方就扫好四角形！这才是常识】"
"7","pf:static:photonflowers11.rio:487194916:00039966","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「出たよ『常識』！　それは誰の常識だ？　オレにはオレの常識があるんだよっ！」<01>","武【出现了！[常识]！那是谁的常识？我有我自己的常识！】"
"8","pf:static:photonflowers11.rio:487194916:00040330","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「世の中ではそれを非常識って言うのよっっ！」<01>","千鹤【世间把你那种叫做非常识！】"
"9","pf:static:photonflowers11.rio:487194916:00040514","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「なにをー！？」<01>","武【什么——！？】"
"10","pf:static:photonflowers11.rio:487194916:00040598","photonflowers11.rio","crsa:photonflowers11.rio@487194916","壬姫","【壬姫】「…<03>…<03>またやってるー」<01>","壬姬【……又开始了】"
"11","pf:static:photonflowers11.rio:487194916:00040702","photonflowers11.rio","crsa:photonflowers11.rio@487194916","尊人","【尊人】「よく飽きないなあ、<03>２人とも」<01>","尊人【真不腻啊，两位】"
"12","pf:static:photonflowers11.rio:487194916:00040862","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「そこにオレを混ぜるな。<0A>いつも委員長が勝手につっかかって来てるだけだからな」<01>","武【别把我和班长混为一谈。一直都是班长非要找茬所以才这样的。】"
"13","pf:static:photonflowers11.rio:487194916:00041132","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「なんですって！」<01>","千鹤【你说什么！】"
"14","pf:static:photonflowers11.rio:487194916:00041210","photonflowers11.rio","crsa:photonflowers11.rio@487194916","慧","【慧】「愉快な見せ物。<0A>おひねりおひねり…<03>…<03>」<01>","慧【愉快的小节目。打赏打赏】"
"15","pf:static:photonflowers11.rio:487194916:00041398","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「ちょっと彩峰さん！　紙くず投げないでよっ！」<01>","千鹤【我说！彩峰同学！别乱扔纸屑啊！】"
"16","pf:static:photonflowers11.rio:487194916:00041612","photonflowers11.rio","crsa:photonflowers11.rio@487194916","慧","【慧】「おひねり」<01>","慧【打赏】"
"17","pf:static:photonflowers11.rio:487194916:00041696","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「はぁ？」<01>","千鹤【哈？】"
"18","pf:static:photonflowers11.rio:487194916:00041758","photonflowers11.rio","crsa:photonflowers11.rio@487194916","慧","【慧】「あげるよ。遠慮しないで拾いな」<01>","慧【给你的。不用客气捡起来吧】"
"19","pf:static:photonflowers11.rio:487194916:00041906","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「いらないわよっ！」<01>","千鹤【才不需要啊！】"
"20","pf:static:photonflowers11.rio:487194916:00042012","photonflowers11.rio","crsa:photonflowers11.rio@487194916","慧","【慧】「ゴミが落ちてるのに拾わない…<03>…<03>真面目に掃除やれ」<01>","慧【明明有垃圾掉了却不捡起来……认真扫除啊你】"
"21","pf:static:photonflowers11.rio:487194916:00042262","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「あなただって当番でしょっ！　突っ立ってるだけの人に言われたくないわ！！」<01>","千鹤【你也是今天负责打扫的人吧！我才不想被只是站着的人这么说！！】"
"22","pf:static:photonflowers11.rio:487194916:00042574","photonflowers11.rio","crsa:photonflowers11.rio@487194916","慧","【慧】「え？」<01>","慧【诶？】"
"23","pf:static:photonflowers11.rio:487194916:00042618","photonflowers11.rio","crsa:photonflowers11.rio@487194916","尊人","【尊人】「ボクを見られても困るなあ…<03>…<03>」<01>","尊人【就算看着我我也只会困扰啊……】"
"24","pf:static:photonflowers11.rio:487194916:00042770","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「鎧衣君、<03>あなたもね」<01>","千鹤【铠衣君，你也是啊】"
"25","pf:static:photonflowers11.rio:487194916:00042898","photonflowers11.rio","crsa:photonflowers11.rio@487194916","尊人","【尊人】「え？」<01>","尊人【诶？】"
"26","pf:static:photonflowers11.rio:487194916:00042950","photonflowers11.rio","crsa:photonflowers11.rio@487194916","壬姫","【壬姫】「あ、<03>ミミミミキは当番じゃないよっ！　見られても困るよー」<01>","壬姬【啊，壬壬壬壬姬可不是今天值日！就算看着我也没办法】"
"27","pf:static:photonflowers11.rio:487194916:00043146","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「ぐぬぬぬ…<03>…<03>」<01>","千鹤【咕呜呜呜……！】"
"28","pf:static:photonflowers11.rio:487194916:00043222","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「わははは、<03>委員長のやつ、<03>思いっきり遊ばれてやがるなー」<01>","武【哇哈哈哈，班长这家伙，被狠狠玩弄了啊】"
"29","pf:static:photonflowers11.rio:487194916:00043458","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「笑うなっ！！」<01>","千鹤【不准笑！】"
"30","pf:static:photonflowers11.rio:487194916:00043536","photonflowers11.rio","crsa:photonflowers11.rio@487194916","純夏","【純夏】「ねえねえ、<03>タケルちゃ～ん、<03>こっちは終わったよー」<01>","纯夏【呐呐，小武，这边结束了哦】"
"31","pf:static:photonflowers11.rio:487194916:00043708","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「よーし、<03>今日はここまでにしておくか。<0A>じゃ、<03>解散！」<01>","武【好—，今天就到此结束吧。那么，解散！】"
"32","pf:static:photonflowers11.rio:487194916:00043950","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「お？」<01>","武【嗯？】"
"33","pf:static:photonflowers11.rio:487194916:00044000","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「し～ろ～が～ね～～～～」<01>","千鹤【白—银——】"
"34","pf:static:photonflowers11.rio:487194916:00044092","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「何すんだよー」<01>","武【干嘛啊？】"
"35","pf:static:photonflowers11.rio:487194916:00044188","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「そりゃあ、<03>鑑さんと１秒でも多く一緒にいたい気持ちはわかるわよぉ？」<01>","千鹤【当然，我理解你想尽可能和鉴同学多一秒在一起的心情】"
"36","pf:static:photonflowers11.rio:487194916:00044516","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「――ばっ！」<01>","武【哈——！】"
"37","pf:static:photonflowers11.rio:487194916:00044576","photonflowers11.rio","crsa:photonflowers11.rio@487194916","","な、<03>何言ってやがる！<01>","说、说什么呢！"
"38","pf:static:photonflowers11.rio:487194916:00044682","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「でもぉ、<03>権利ばかり主張して義務を果たさないのは、<03>男としてどうなのかしら？」<01>","千鹤【但是~，只主张权利，不完成义务的话，作为一个男人来说，又怎么样呢？】"
"39","pf:static:photonflowers11.rio:487194916:00044976","photonflowers11.rio","crsa:photonflowers11.rio@487194916","武","【武】「だ、<03>男女差別する気かー！？」<01>","武【你、你想男女差异对待—！？】"
"40","pf:static:photonflowers11.rio:487194916:00045078","photonflowers11.rio","crsa:photonflowers11.rio@487194916","千鶴","【千鶴】「ぜ～んぜん。<0A>私はただ、<03>恋人の前で矮小な器を曝して…<03>…<03>男として恥ずかしくないのかなあっ…<03>…<03>て思っただけ」<01>","千鹤【完全不是~，我只是觉得，在恋人面前暴露狭小的胸怀，作为男人难道不觉得羞耻吗？】"
