"jp","cn","occurrences","basis"
"まりも","麻理茉","184","正式称谓证据"
"タケルちゃん","小武","179","正式称谓证据"
"醍三郎","醍三郎","143","本篇剧情与全文审核"
"白銀君","白银同学","89","正式称谓证据"
"たけるさん","小武哥","45","正式称谓证据"
"鑑さん","鉴同学／纯夏（按句重组）","43","正式称谓证据；按语境处理"
"御師匠様","师父","37","本篇人物关系与全文审核"
"冥夜様","冥夜小姐","32","正式称谓证据"
"まりもちゃん","小麻（按句重组）","29","正式称谓证据；按语境处理"
"純夏ちゃん","纯夏","29","正式称谓证据"
"夕呼先生","夕呼老师（按句省略）","27","正式称谓证据；按语境处理"
"雷電","雷电","21","本篇剧情与全文审核"
"御祖父様","祖父大人","17","本篇人物关系与全文审核"
"白陵","白陵","17","主库术语表"
"榊さん","榊","14","正式称谓证据"
"皆琉神威","皆琉神威","14","本篇剧情与全文审核"
"彩峰さん","彩峰","13","正式称谓证据"
"月詠さん","月咏","13","正式称谓证据"
"神代・巴","神代・巴","13","主库术语表"
"鎧衣君","铠衣","13","正式称谓证据"
"無現鬼道流","无现鬼道流","12","本篇剧情与全文审核"
"神代・巴・戎","神代・巴・戎","12","主库术语表"
"壬姫ちゃん","壬姬","10","正式称谓证据"
"お師匠様","师父","9","本篇人物关系与全文审核"
"免許皆伝","免许皆传","9","本篇剧情与全文审核"
"珠瀬さん","珠濑","9","正式称谓证据"
"千鶴ちゃん","千鹤（按句省略）","8","正式称谓证据；按语境处理"
"慧ちゃん","慧（按句省略）","7","正式称谓证据；按语境处理"
"香月先生","香月老师","7","正式称谓证据"
"おでんまん","关东煮包","6","本篇剧情与全文审核"
"ソース・醤油事件","酱汁·酱油事件","6","本篇剧情与全文审核"
"御剣財閥","御剑财阀","6","本篇剧情与全文审核"
"御館様","老爷","6","本篇人物关系与全文审核"
"神宮司","神宫司","6","主库术语表"
"バルジャーノン","Baljarnon","5","本篇剧情与全文审核"
"御剣冥夜","御剑冥夜","5","主库术语表"
"球技大会","球类大赛","5","本篇剧情与全文审核"
"融資","贷款／贷款置换（银行语境）","5","第二遍全文审核"
"サンタうさぎ","圣诞兔","4","本篇剧情与全文审核"
"光風霽月","光风霁月","4","本篇剧情与全文审核"
"家督","家主之位／继承权（按语境）","4","第二遍全文审核"
"月刊ヤキソバ","《月刊炒面》","4","本篇剧情与全文审核"
"死合い","死斗","4","第二遍全文审核"
"オグラグッディメン","豆沙超人","3","用户审定"
"ナノストップ","Nano Stop","3","本篇剧情与全文审核"
"ラクロス","长曲棍球","3","本篇剧情与全文审核"
"冥夜ちゃん","冥夜","3","正式称谓证据"
"反重力乃嵐","反重力之岚","3","本篇剧情与全文审核"
"宇宙乃雷","宇宙之雷","3","本篇剧情与全文审核"
"月の輪","月之轮","3","本篇剧情与全文审核"
"武様","武先生","3","正式称谓证据"
"マイルドクルー横幅","竖滨 MILD CREW 水上乐园","2","用户审定"
"月刊トリ","《月刊鸟类》","2","本篇剧情与全文审核"
"白銀武","白银武","2","主库术语表"
"白陵大学付属柊学園","白陵大学附属柊学园","2","本篇剧情与全文审核"
"真那様","真那大人","2","本篇人物关系与全文审核"
"神宮司先生","神宫司老师","2","正式称谓证据"
"醍三郎殿","醍三郎大人","2","本篇人物关系与全文审核"
"ＴＱアームズ","TQ Arms","2","本篇剧情与全文审核"
"YOKOHAMAスカイウォーカー","YOKOHAMA Sky Walker","1","本篇剧情与全文审核"
"たけるさんのしっぽ","小武哥的尾巴","1","本篇剧情与全文审核"
"ゾエさん","老副","1","用户审定"
"タケルちゃんといっしょ！","和小武在一起！","1","本篇剧情与全文审核"
"ドリルミルキィパンチ","钻头牛奶拳","1","本篇剧情与全文审核"
"バルゴ","巴尔戈","1","本篇剧情与全文审核"
"其の名はタケル","其名小武","1","本篇剧情与全文审核"
"地獄坂","地狱坡","1","本篇剧情与全文审核"
"宇宙書記長ゴルバン","宇宙书记长戈尔班","1","本篇剧情与全文审核"
"彩峰慧","彩峰慧","1","主库术语表"
"御学友記念金貨","同窗纪念金币","1","本篇剧情与全文审核"
"我が名は冥夜","吾名冥夜","1","本篇剧情与全文审核"
"晦","晦","1","本篇剧情与全文审核"
"朧月","胧月","1","本篇剧情与全文审核"
"柏木さん","柏木","1","正式称谓证据"
"柏木晴子","柏木晴子","1","主库术语表"
"桜の花が咲くまえに","樱花盛开之前","1","本篇剧情与全文审核"
"榊千鶴","榊千鹤","1","主库术语表"
"橘町","橘町","1","本篇剧情与全文审核"
"珠瀬壬姫","珠濑壬姬","1","主库术语表"
"珠瀬様","珠濑小姐","1","本篇人物关系与全文审核"
"白秋祭","白秋祭","1","本篇剧情与全文审核"
"白銀……食べてる？","白银……在吃吗？","1","用户审定"
"白銀君ちょっとッ！！","白银同学，等一下！！","1","本篇剧情与全文审核"
"移し身の術法","移身之术","1","本篇剧情与全文审核"
"鎧衣尊人","铠衣尊人","1","主库术语表"
"鏡花水月","镜花水月","1","本篇剧情与全文审核"
"鑑純夏","鉴纯夏","1","主库术语表"
"ＳＴＡ","STA","1","用户审定"
