"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"1","pm:static:photonmelodies11.rio.002:1214082412:00003241","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「…<03>…<03>出力を７５％まで上げたまえ」<01>","【博士】「…<03>…<03>将输出功率提高到75%。」<01>"
"2","pm:static:photonmelodies11.rio.002:1214082412:00003373","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","技師","【技師】「了解、<03>出力７５％」<01>","【技师】「明白，<03>输出功率75%。」<01>"
"3","pm:static:photonmelodies11.rio.002:1214082412:00003497","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「どうだ？」<01>","【博士】「情况如何？」<01>"
"4","pm:static:photonmelodies11.rio.002:1214082412:00003589","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","オペレーター","【オペレーター】「今のところ問題ありません、<03>安定しています」<01>","【操作员】「目前没有问题，<03>运行稳定。」<01>"
"5","pm:static:photonmelodies11.rio.002:1214082412:00003777","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「ようし…<03>…<03>いいぞカウントダウン続行だ」<01>","【长官】「好…<03>…<03>很好，继续倒计时。」<01>"
"6","pm:static:photonmelodies11.rio.002:1214082412:00003939","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「出力８０％へ」<01>","【博士】「将输出功率提高到80%。」<01>"
"7","pm:static:photonmelodies11.rio.002:1214082412:00004035","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","技師","【技師】「了解、<03>出力８０％」<01>","【技师】「明白，<03>输出功率80%。」<01>"
"8","pm:static:photonmelodies11.rio.002:1214082412:00004159","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「博士、<03>いよいよだな」<01>","【长官】「博士，<03>终于到这一刻了。」<01>"
"9","pm:static:photonmelodies11.rio.002:1214082412:00004325","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「はい長官、<03>この未臨界実験が成功すれば我が国の核戦略は大きな転換期を迎えることになりま――」<01>","【博士】「是，长官，<03>这项次临界试验一旦成功，我国的核战略就将迎来重大转折——」<01>"
"10","pm:static:photonmelodies11.rio.002:1214082412:00004715","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「――何だっ！？　何事だ！！」<01>","【博士】「——什么！？　出什么事了！！」<01>"
"11","pm:static:photonmelodies11.rio.002:1214082412:00004845","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","オペレーター","【オペレーター】「――わかりません！」<01>","【操作员】「——不知道！」<01>"
"12","pm:static:photonmelodies11.rio.002:1214082412:00004943","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","技師","【技師】「――博士ッ！　センサーに反応…<03>…<03>高出力のニュートリノです！！」<01>","【技师】「——博士！　传感器有反应…<03>…<03>是高强度中微子！！」<01>"
"13","pm:static:photonmelodies11.rio.002:1214082412:00005185","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「――なにっ！？　どういうことだ！？　――未観測の太陽フレアか！？」<01>","【博士】「——什么！？　怎么回事！？　——是未观测到的太阳耀斑吗！？」<01>"
"14","pm:static:photonmelodies11.rio.002:1214082412:00005421","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","オペレーター","【オペレーター】「――わかりません…<03>…<03>少なくともこれは…<03>…<03>この研究所以外の場所から放射されたものです！」<01>","【操作员】「——不清楚…<03>…<03>但至少可以确定…<03>…<03>它是从研究所外部放射出来的！」<01>"
"15","pm:static:photonmelodies11.rio.002:1214082412:00005753","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「…<03>…<03>博士、<03>これはいったいどういう――！！？」<01>","【长官】「…<03>…<03>博士，<03>这到底是怎么回事——！！？」<01>"
"16","pm:static:photonmelodies11.rio.002:1214082412:00005931","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「――わ、<03>私にもわかりませんっ！」<01>","【博士】「——我、<03>我也不知道！」<01>"
"17","pm:static:photonmelodies11.rio.002:1214082412:00006079","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","技師","【技師】「――博士ッ、<03>大変ですプルトニウムが…<03>…<03>プルトニウムが臨界にッ！！」<01>","【技师】「——博士，<03>不好了，钚…<03>…<03>钚达到临界了！！」<01>"
"18","pm:static:photonmelodies11.rio.002:1214082412:00006361","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「――バカなっ！？　――そッ…<03>…<03>総員待避ッ！　――隔壁閉鎖だッ！！」<01>","【博士】「——不可能！？　——全、<03>…<03>全员撤离！　——关闭隔离壁！！」<01>"
"19","pm:static:photonmelodies11.rio.002:1214082412:00006609","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「――臨界だとッ！？　一体どうなっている！？　こんなところで核爆発が起きたら――ッ！！！」<01>","【长官】「——你说临界了！？　到底怎么回事！？　要是在这种地方发生核爆炸——！！！」<01>"
"20","pm:static:photonmelodies11.rio.002:1214082412:00006931","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","オペレーター","【オペレーター】「――プルトニウムが臨界に達しました！」<01>","【操作员】「——钚已达到临界！」<01>"
"21","pm:static:photonmelodies11.rio.002:1214082412:00007107","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「――ああっ神よ…<03>…<03>ッ！！！」<01>","【博士】「——啊啊，上帝啊…<03>…<03>！！！」<01>"
"22","pm:static:photonmelodies11.rio.002:1214082412:00007217","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「…<03>…<03>…<03>…<03>！？」<01>","【长官】「…<03>…<03>…<03>…<03>！？」<01>"
"23","pm:static:photonmelodies11.rio.002:1214082412:00007297","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「…<03>…<03>どう…<03>…<03>した？」<01>","【博士】「…<03>…<03>怎…<03>…<03>怎么了？」<01>"
"24","pm:static:photonmelodies11.rio.002:1214082412:00007409","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","オペレーター","【オペレーター】「そ、<03>その…<03>…<03>反応が消滅しました」<01>","【操作员】「那、<03>那个…<03>…<03>反应消失了。」<01>"
"25","pm:static:photonmelodies11.rio.002:1214082412:00007571","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","長官","【長官】「…<03>…<03>なにぃ？」<01>","【长官】「…<03>…<03>什么？」<01>"
"26","pm:static:photonmelodies11.rio.002:1214082412:00007647","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214082412","博士","【博士】「…<03>…<03>…<03>…<03>いったい…<03>…<03>何が起きたと言うんだ…<03>…<03>…<03>…<03>」<01>","【博士】「…<03>…<03>…<03>…<03>到底…<03>…<03>发生了什么…<03>…<03>…<03>…<03>」<01>"
"27","pm:static:photonmelodies11.rio.002:1544313288:00207902","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――タケルちゃーん！<01>","——小武——！<01>"
"28","pm:static:photonmelodies11.rio.002:1544313288:00207956","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――タケルちゃーん？<01>","——小武——？<01>"
"29","pm:static:photonmelodies11.rio.002:1544313288:00208010","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――タケルちゃーん！<01>","——小武——！<01>"
"30","pm:static:photonmelodies11.rio.002:1544313288:00208064","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","んん…<03>…<03><01>","嗯嗯…<03>…<03><01>"
"31","pm:static:photonmelodies11.rio.002:1544313288:00208100","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","――タケルちゃーーん！！<01>","——小——武——！！<01>"
"32","pm:static:photonmelodies11.rio.002:1544313288:00208164","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1544313288","","んんん…<03>…<03>…<03>…<03><01>","嗯嗯嗯…<03>…<03>…<03>…<03><01>"
