"jp","cn","status","category","occurrences","jp_text_rows","speaker_rows","aligned_cn_rows","variants_cn","first_stable_id","first_scene","source","basis"
"武","武","confirmed","speaker/name-or-title / 说话人标签","11490","11490","10798","11485","","pm:static:photonmelodies11.rio.002:1544313288:00208464","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","白银武通称，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：10797/10798"
"冥夜","冥夜","confirmed","speaker/name-or-title / 说话人标签","2193","2193","1665","2192","","pm:static:photonmelodies11.rio.002:1544313288:00209276","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，汉字保留。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1665/1665"
"悠陽","悠阳","confirmed","speaker/name-or-title / 公共总表术语 / 第二遍术语证据 / 说话人标签","2111","2111","1616","2108","","pm:static:photonmelodies11.rio.002:1544313288:00209032","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / main_glossary / second_pass_line_evidence","常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（3条） | 最终全文说话人标签：1616/1616"
"純夏","纯夏","confirmed","speaker/name-or-title / 第二遍术语证据 / 说话人标签","2070","2070","1579","2070","","pm:static:photonmelodies11.rio.002:1544313288:00210948","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2 / second_pass_line_evidence","常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 第二遍行级证据（2条） | 最终全文说话人标签：1579/1579"
"霞","霞","confirmed","speaker/name-or-title / 说话人标签","1882","1882","1282","1881","","pm:static:photonmelodies11.rio.002:1544313288:00210644","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1282/1282"
"夕呼","夕呼","confirmed","speaker/name-or-title / 说话人标签","1447","1447","1185","1447","","pm:static:photonmelodies11.rio.002:1544313288:00221604","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，汉字保留。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1185/1185"
"千鶴","千鹤","confirmed","speaker/name-or-title / 说话人标签","1004","1004","831","1004","","pm:static:photonmelodies11.rio.002:1544313288:00223366","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，简体化。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：831/831"
"美琴","美琴","confirmed","speaker/name-or-title / 说话人标签","961","961","791","957","","pm:static:photonmelodies11.rio.002:1544313288:00227942","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","常见角色名，汉字保留。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：791/791"
"月詠","月咏","confirmed","speaker/name-or-title / 说话人标签","906","906","705","906","","pm:static:photonmelodies11.rio.002:1544313288:00222512","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：705/705"
"柏木","柏木","confirmed","speaker/name-or-title / 说话人标签","900","900","733","900","","pm:static:photonmelodies11.rio.002:1544313288:00227536","crsa:photonmelodies11.rio.002@1544313288","final_speaker_labels / glossary_photonmelodies_v2","说话人名/称谓，需要固定。; Speaker bracket.; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：733/733"
