call_order,id,egpack,scene,speaker_jp,jp_text,cn_text,review_status,audit_flags
1,game_t00000,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「移民船団指揮艦『マルドゥーク』のＧＳ機関起動を確認。全移民船団は重力勾配航法に入りました」,「已确认移民船团指挥舰‘马尔杜克’的GS机关启动。全移民船团已进入重力梯度航法。」,OK,
2,game_t00001,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「――移民船団指揮艦『マルドゥーク』より入電。航法開始直前の発信です」,「——移民船团指挥舰‘马尔杜克’来电。这是航行开始前发出的信号。」,OK,
3,game_t00002,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「『人類の勝利と地球の再興を祈る。遙か宇宙の深淵を越え、\w互いの捷報を伝え合わん事を』」,「『祈愿人类的胜利与地球的复兴。跨越遥远宇宙的深渊，互相传达彼此的捷报』」,OK,
4,game_t00003,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「――返信なさいますか？」,「——您要回信吗？」,OK,
5,game_t00004,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「以降の返信が彼らに届くのは何年後だ？」,「之后的回复要过多少年才能送到他们那里？」,OK,
6,game_t00005,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「重力勾配航行に入った場合、\w通信は双方向共に非常に困難かつ不安定です。機関周期によって、\w数ヶ月後から数年後までの幅があります」,「进入重力梯度航行后，通信双向都非常困难且不稳定。根据机关周期，从几个月后到几年后不等。」,OK,
7,game_t00006,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「もっとも確実なのは、\w船団が目的地に到着するその時――地球時間において約６０年後になります」,「最可靠的是，船团到达目的地的那一刻——在地球时间约60年后」,OK,
8,game_t00007,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「ならば、\w今送信する必要はあるまい。５．９光年――５４年後の返信で十分だ。こちらからの別れは既に告げてある」,「那么，现在就没有必要发送了。5.9光年——54年后的回信就足够了。这边的告别已经告知了。」,OK,
9,game_t00008,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「は――」,「是――」,OK,
10,game_t00009,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「…\w…\w互いの捷報、\wか。分の悪い賭けに乗せられた側の最後の強がりといったところだな」,「……彼此的捷报，吗。这大概是被迫参与不利赌局的一方最后的逞强吧。」,OK,
11,game_t00010,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「…\w…\w…\w…\w」,「…………」,OK,
12,game_t00011,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「北米航空宇宙防衛司令部より国連統合参謀会議へ。『マルドゥークはバビロンの鍵を得たり』」,「北美航空宇宙防卫司令部向联合国联合参谋会议报告。『马尔杜克获得了巴比伦的钥匙』」,OK,
13,game_t00012,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「了解。『マルドゥークはバビロンの鍵を得たり』、\w繰り返す、\w『マルドゥークはバビロンの鍵を得たり』」,「了解。『马尔杜克获得了巴比伦的钥匙』，重复，『马尔杜克获得了巴比伦的钥匙』」,OK,
14,game_t00013,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「諸君、\wいよいよだ――」,「诸位，终于到了——」,OK,
15,game_t00014,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「人類はまもなく勝利し、\wこの地球は再興する。６０年後ではなく、\w数年以内にな」,「人类很快就会胜利，地球也将复兴。不是六十年后，而是几年之内。」,OK,
16,game_t00015,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「５４年後、\w彼らに送り届けようではないか――この美しき地球の姿を、\w緑溢れるユーラシアを」,「54年后，让我们把这美丽的地球、绿意盎然的欧亚大陆送给他们吧」,OK,
17,game_t00016,010_UAFプロローグ.egpack,010_UAFプロローグ,オペレーター,「――司令、\w国連統合参謀会議より返電。『バビロンの扉は開かれり』、\w以上です」,「——司令，联合国联合参谋会议回电。‘巴比伦之门已开启’，以上。」,OK,
18,game_t00017,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「来たか――」,「来了吗――」,OK,
19,game_t00018,010_UAFプロローグ.egpack,010_UAFプロローグ,テイラー大将,「諸君――現時刻を以って『バビロン作戦』を発動する――！」,「诸位——以现在时刻发动『巴比伦作战』——！」,OK,
20,game_t00019,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,―\w―\w変わらぬ空を、\w今日も飛ぶ。,今天也飞翔在不变的天空中。,OK,
21,game_t00020,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,「…\w…\wナイヴス２よりナイヴス１。予定地点到達まで後１２０秒」,「……黑刃2呼叫黑刃1。距预定地点还有120秒」,OK,
22,game_t00021,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,「ナイヴス１了解。減速を開始する。測地準備に入れ」,「黑刃1了解。开始减速。进入测地准备」,OK,
23,game_t00022,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,「ナイヴス２了解」,「黑刃2了解」,OK,
24,game_t00023,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,「…\w…\w…\w…\w」,「…………」,OK,
25,game_t00024,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,滑らかに、穏やかに―\w―,平滑地、平稳地——,OK,
26,game_t00025,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,…\w…\wよし、\w特に問題ないな。,好，没什么问题。,OK,
27,game_t00026,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,少尉,「対地光学映像記録完了、\wＧＰＳ照合に回します。…\w…\w元の座標データじゃ深海層か」,「对地光学影像记录完毕，转入GPS核对。……原始坐标数据显示是深海层吗？」,OK,
28,game_t00027,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,「ナイヴス１了解。こちらも記録を完了した。誤差はないようだ」,「黑刃1了解。这边也完成了记录。看来没有误差。」,OK,
29,game_t00028,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,「悪くない飛び方だったな、\wウィル。滑らかに穏やかに」,「飞得不错，威尔。平稳而柔和」,OK,
30,game_t00029,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,中尉,「女を扱うように優しくするんだ。貴様のようなガサツな奴は女にも戦術機にも嫌われるぞ」,「要像对待女人一样温柔。像你这样粗鲁的家伙，女人和战术机都会讨厌的。」,OK,
31,game_t00030,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,やれやれ…\w…\wうまく飛んでも結局『坊や』扱いは変わらずか。,哎呀呀……就算飞得再好，到头来还是被当成‘小鬼’啊。,OK,
32,game_t00031,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「了解です、\wマクマナス中尉。――中尉を扱うように丁寧に心掛けます」,「明白，麦克马纳斯中尉。――我会像对待中尉一样小心谨慎地对待。」,OK,
33,game_t00032,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,「…\w…\wなんだ？　帰投したらご褒美が欲しいのか？」,「……什么？返航后想要奖励吗？」,OK,
34,game_t00033,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「謹んで遠慮申し上げます、\wマム」,「恕我郑重拒绝，长官」,OK,
35,game_t00034,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,「いい返事だウィル。よく分かったよ、\wおまえがまったく分かっちゃいないってことがね」,「好回答，威尔。我算明白了，你是真的什么都不懂。」,OK,
36,game_t00035,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,とはいえ、\w単調で気の滅入る任務の最中、\wこういう軽口は正直ありがたい。,话虽如此，在单调沉闷的任务中，这种玩笑话确实让人感激。,OK,
37,game_t00036,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「――にしても、\wこっちも代わり映えしない光景ですね。…\w…\w分かっちゃいましたが、\wその…\w…\w」,「——话说回来，这边也是一成不变的景象啊。……虽然早就知道了，不过……」,OK,
38,game_t00037,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,何度見ても気の滅入る風景だ。,无论看多少次都让人心情沉重的风景。,OK,
39,game_t00038,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,,延々と続く海岸線、\w見渡す限りの塩の砂漠。人類の存在を示す代物が欠片も無い世界が広がっている。,延绵不绝的海岸线，一望无际的盐沙漠。眼前是一片没有半点人类存在痕迹的世界。,OK,
40,game_t00039,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,マクマナス中尉,「おやおや、\w泣き言には早すぎだねえ少尉」,「哎呀哎呀，发牢骚还太早了哦少尉」,OK,
41,game_t00040,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ウィル,「泣き言ではありません。感想です」,「这不是牢骚，只是感想。」,OK,
