"call_order","id","egpack","scene","speaker_jp","jp_text","cn_text"
"1","game_t00000","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「イーグル６ッ！　中尉、\w下がってください――！」","「鹰6！中尉，请退后——！」"
"2","game_t00001","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「イーグル３ッ！　イーグル３――ッ！」","「鹰3！鹰3——！」"
"3","game_t00002","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「駄目です！　電子欺瞞、\w間に合いませんッ！」","「不行！电子欺骗来不及了！」"
"4","game_t00003","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「畜生――ッ！　はめられたッ！　乱数回避ッ！　誘導弾、\w来るぞッ――！」","「可恶——！中计了！随机回避！诱导弹要来了——！」"
"5","game_t00004","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「ひっ…\w…\w！　きゃあぁぁぁッ――！」","「呀……！啊啊啊啊——！」"
"6","game_t00005","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\w外骨格が動かなくなる前に車輌を確保する。日中は身を隠し、\w移動は夜間のみ行う。――２０日もあれば味方の勢力圏に到達できる…\w…\w」","「……在外骨骼动不了之前搞到车辆。白天藏身，只在夜间移动。……20天就能到达友军势力圈……」"
"7","game_t00006","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「塩嵐が酷い。フィルターの確認は怠るな。水分は定期的に取れ、\wでないと干上がるぞ」","「盐暴很厉害。别疏忽过滤器的检查。要定时补充水分，不然会脱水的。」"
"8","game_t00007","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「さぁ皆、\w立つんだ。塩原を抜けるまでが勝負だ…\w…\w」","「好了各位，站起来。穿过盐原之前都是关键……」"
"9","game_t00008","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「いきましょう、\w中尉…\w…\w」","「走吧，中尉……」"
"10","game_t00009","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「…\w…\w…\w…\wこいつら…\w…\w狂ってやがる…\w…\w」","「…………这帮家伙……都疯了……」"
"11","game_t00010","010_序章_響の悪夢01.egpack","010_序章_響の悪夢01","","「これも…\w…\w人間の業だ…\w…\w」","「这也是……人类的业障……」"
