jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
あきら,晶,contextual,本作；详见使用限制,selected-photonflowers,2,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
すみか,纯夏,contextual,本作；详见使用限制,selected-photonflowers,3,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
たける,小武,contextual,本作；详见使用限制,selected-photonflowers,4,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
まりか,麻里香,contextual,本作；详见使用限制,selected-photonflowers,5,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
まりも,麻理茉,contextual,本作；详见使用限制,selected-photonflowers,6,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
まりも・壬姫・尊人・柏木,麻理茉·壬姬·尊人·柏木,contextual,本作；详见使用限制,selected-photonflowers,7,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
みちる,美知留,contextual,本作；详见使用限制,selected-photonflowers,8,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
やよい,弥生,contextual,本作；详见使用限制,selected-photonflowers,9,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラス,Aquilas,contextual,本作；详见使用限制,selected-photonflowers,10,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラ１,Aquila 1,contextual,本作；详见使用限制,selected-photonflowers,11,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラ２,Aquila 2,contextual,本作；详见使用限制,selected-photonflowers,12,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラ３,Aquila 3,contextual,本作；详见使用限制,selected-photonflowers,13,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラ４,Aquila 4,contextual,本作；详见使用限制,selected-photonflowers,14,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクイラ５,Aquila 5,contextual,本作；详见使用限制,selected-photonflowers,15,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アクセル・ビョルケル,阿克塞尔·比约克,contextual,本作；详见使用限制,selected-photonflowers,16,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
アンリ・ギーツェン,亨利·吉岑,contextual,本作；详见使用限制,selected-photonflowers,17,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
インド,印度,contextual,本作；详见使用限制,selected-photonflowers,18,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オペレーター１,作战管制官1,contextual,本作；详见使用限制,selected-photonflowers,19,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オペレーター２,作战管制官2,contextual,本作；详见使用限制,selected-photonflowers,20,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オヤジ,大叔,contextual,本作；详见使用限制,selected-photonflowers,21,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-photonflowers,22,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
グレアム,格雷厄姆,contextual,本作；详见使用限制,selected-photonflowers,23,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ゴースト１,Ghost1,contextual,本作；详见使用限制,selected-photonflowers,24,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ザウバー１,Sauber1,contextual,本作；详见使用限制,selected-photonflowers,25,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ザウバー２,Sauber2,contextual,本作；详见使用限制,selected-photonflowers,26,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ソ連,苏联,contextual,本作；详见使用限制,selected-photonflowers,27,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
チキン・ダイバーズ,小鸡潜降兵,contextual,本作；详见使用限制,selected-photonflowers,28,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
トリ,鸟,contextual,本作；详见使用限制,selected-photonflowers,29,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ナディア,娜迪亚,contextual,本作；详见使用限制,selected-photonflowers,30,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
パブロ,巴勃罗,contextual,本作；详见使用限制,selected-photonflowers,31,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ヒュー,休,contextual,本作；详见使用限制,selected-photonflowers,32,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ヒュー・ウィンストン,休·温斯顿,contextual,本作；详见使用限制,selected-photonflowers,33,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フランコ,弗兰科,contextual,本作；详见使用限制,selected-photonflowers,34,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ベニーニ大尉,贝尼尼上尉,contextual,本作；详见使用限制,selected-photonflowers,35,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
マザーグース１,鹅妈妈1,contextual,本作；详见使用限制,selected-photonflowers,36,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ミキ,壬姬,contextual,本作；详见使用限制,selected-photonflowers,37,provisional-selected,,仅指珠濑壬姬（壬姫）的名字读音/自称，不是独立人物美纪；来自上一轮暂定专表，不是历史全量基线。
モニカ,莫妮卡,contextual,本作；详见使用限制,selected-photonflowers,38,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
モニカ・ジアコーザ,莫妮卡·贾科萨,contextual,本作；详见使用限制,selected-photonflowers,39,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ユーラシア,欧亚大陆,contextual,本作；详见使用限制,selected-photonflowers,40,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ライトニングス全員,Lightning全员,contextual,本作；详见使用限制,selected-photonflowers,41,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ライトニング２,Lightning 2,contextual,本作；详见使用限制,selected-photonflowers,42,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ライトニング３,Lightning 3,contextual,本作；详见使用限制,selected-photonflowers,43,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ライトニング４,Lightning 4,contextual,本作；详见使用限制,selected-photonflowers,44,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ラザフォード場,卢瑟福力场,contextual,本作；详见使用限制,selected-photonflowers,45,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
リーナ,莉娜,contextual,本作；详见使用限制,selected-photonflowers,46,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
レイチェル,蕾切尔,contextual,本作；详见使用限制,selected-photonflowers,47,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
レインダンサーズ,雨舞者,contextual,本作；详见使用限制,selected-photonflowers,48,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
レインダンス中隊,雨舞中队,contextual,本作；详见使用限制,selected-photonflowers,49,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
レイン・ダンサーズ,雨舞者,contextual,本作；详见使用限制,selected-photonflowers,50,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
三浦,三浦,contextual,本作；详见使用限制,selected-photonflowers,51,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
下北オペレーター,下北作战管制官,contextual,本作；详见使用限制,selected-photonflowers,52,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
伊隅あきら,伊隅晶,contextual,本作；详见使用限制,selected-photonflowers,53,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
伊隅ヴァルキリーズ,伊隅女武神,contextual,本作；详见使用限制,selected-photonflowers,54,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
佐久間,佐久间,contextual,本作；详见使用限制,selected-photonflowers,55,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
候補生一同,候补生众人,contextual,本作；详见使用限制,selected-photonflowers,56,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
冥夜,冥夜,contextual,本作；详见使用限制,selected-photonflowers,57,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
凄乃皇・弐型,凄乃皇贰型,contextual,本作；详见使用限制,selected-photonflowers,58,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
前線司令部,前线司令部,contextual,本作；详见使用限制,selected-photonflowers,59,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
助手Ａ・Ｂ・Ｃ,助手A·B·C,contextual,本作；详见使用限制,selected-photonflowers,60,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴,千鹤,contextual,本作；详见使用限制,selected-photonflowers,61,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・冥夜・壬姫・慧・美琴,千鹤、冥夜、壬姬、慧、美琴,contextual,本作；详见使用限制,selected-photonflowers,62,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・冥夜・壬姫・慧・美琴・武,千鹤、冥夜、壬姬、慧、美琴、武,contextual,本作；详见使用限制,selected-photonflowers,63,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・壬姫,千鹤·壬姬,contextual,本作；详见使用限制,selected-photonflowers,64,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・壬姫・尊人・柏木,千鹤·壬姬·尊人·柏木,contextual,本作；详见使用限制,selected-photonflowers,65,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・壬姫・慧・尊人,千鹤·壬姬·慧·尊人,contextual,本作；详见使用限制,selected-photonflowers,66,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・壬姫・慧・尊人・柏木,千鹤·壬姬·慧·尊人·柏木,contextual,本作；详见使用限制,selected-photonflowers,67,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・壬姫・慧・柏木・尊人,千鹤·壬姬·慧·柏木·尊人,contextual,本作；详见使用限制,selected-photonflowers,68,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・慧,千鹤·慧,contextual,本作；详见使用限制,selected-photonflowers,69,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
国連軌道艦隊司令,联合国轨道舰队司令,contextual,本作；详见使用限制,selected-photonflowers,70,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫,壬姬,contextual,本作；详见使用限制,selected-photonflowers,71,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
