call_order,stable_id,rio_file,scene,source_text_sha256,translated_text
1,pf:static:photonflowers11.rio:14922468:00000415,photonflowers11.rio,crsa:photonflowers11.rio@14922468,AB81097AB0342C031A05BB4653E143AE728A1C780569A026AB940803B5398932,樱花盛开之前
2,pf:static:photonflowers11.rio:487194916:00039032,photonflowers11.rio,crsa:photonflowers11.rio@487194916,960E5A13903F84FAA3C07695F16185B465B31064BD6ADBB9EE0218E7B44E2C81,千鹤【我说白银君！给我好好干啊！】
3,pf:static:photonflowers11.rio:487194916:00039232,photonflowers11.rio,crsa:photonflowers11.rio@487194916,240CBA1CB7C60ED2CC0E3D7A27022CB7B9D6A0FB94CF21AE9B59AD9A8A092AB3,武【真啰嗦啊，我在好好干啊】
4,pf:static:photonflowers11.rio:487194916:00039394,photonflowers11.rio,crsa:photonflowers11.rio@487194916,DBD409AF8F1C13E756D8F16623415E85F43CF2F3544CC4B36AEB29241767EE2C,千鹤【你不只是在把垃圾堆到角落嘛！】
5,pf:static:photonflowers11.rio:487194916:00039576,photonflowers11.rio,crsa:photonflowers11.rio@487194916,F7CEB7E083DF2F8A499D23F21672E2BF1960CF6A6FF48E81279319ADCB50E395,武【别说那么死板的话嘛，班长~】
6,pf:static:photonflowers11.rio:487194916:00039720,photonflowers11.rio,crsa:photonflowers11.rio@487194916,0698FA8C0906C62B789254127F0708306C2B0123026AFA9B5B9AF5DC3878934D,千鹤【四角形的地方就扫好四角形！这才是常识】
7,pf:static:photonflowers11.rio:487194916:00039966,photonflowers11.rio,crsa:photonflowers11.rio@487194916,D412DA08FE80240B075A101B4FE259EAF70EF55529BA42F9E12C3C7C59852D3B,武【出现了！[常识]！那是谁的常识？我有我自己的常识！】
8,pf:static:photonflowers11.rio:487194916:00040330,photonflowers11.rio,crsa:photonflowers11.rio@487194916,968B4D22AFA5772D04BE2BCB1F7CED8DF50F40A91F5163E66B348DAAB55223E4,千鹤【世间把你那种叫做非常识！】
9,pf:static:photonflowers11.rio:487194916:00040514,photonflowers11.rio,crsa:photonflowers11.rio@487194916,102A817BB1A192CEA61EF79FE2BF477097B07EB2B0BC173BCC957764F30F5C0E,武【什么——！？】
10,pf:static:photonflowers11.rio:487194916:00040598,photonflowers11.rio,crsa:photonflowers11.rio@487194916,4A6A2D019499004843C234FD32C38A11D7AA7CD92EBE8A5DCC502CC574B02E1D,壬姬【……又开始了】
11,pf:static:photonflowers11.rio:487194916:00040702,photonflowers11.rio,crsa:photonflowers11.rio@487194916,C32D56CA970D5BADBBBEC0B9356B6E9FE56F480BE1A0725BD3BD48B6B93C0C99,尊人【真不腻啊，两位】
12,pf:static:photonflowers11.rio:487194916:00040862,photonflowers11.rio,crsa:photonflowers11.rio@487194916,83B16D9CDCAE92080890208B7E42845B467B0432DDCB7CD239E3C60ABC49EFBD,武【别把我和班长混为一谈。一直都是班长非要找茬所以才这样的。】
13,pf:static:photonflowers11.rio:487194916:00041132,photonflowers11.rio,crsa:photonflowers11.rio@487194916,186E0D36CCFA2F7A04C710C570FEA8A9E0B1D6EF55B907A5D211C1870F621589,千鹤【你说什么！】
14,pf:static:photonflowers11.rio:487194916:00041210,photonflowers11.rio,crsa:photonflowers11.rio@487194916,3AE002B7BADAC9CBE9849F7711F0B3FE4B69D350A79B81A84D5B95A0EB609382,慧【愉快的小节目。打赏打赏】
15,pf:static:photonflowers11.rio:487194916:00041398,photonflowers11.rio,crsa:photonflowers11.rio@487194916,24B9EB05859C75D4077AFC2FB0967C38C3BF3C50466ACEF39CEEFB6BCA7D6301,千鹤【我说！彩峰同学！别乱扔纸屑啊！】
16,pf:static:photonflowers11.rio:487194916:00041612,photonflowers11.rio,crsa:photonflowers11.rio@487194916,28C38C8AAE673B71B0B8B8A75E18673239CB3056678EE86A459AA5ACCB5BBB3A,慧【打赏】
17,pf:static:photonflowers11.rio:487194916:00041696,photonflowers11.rio,crsa:photonflowers11.rio@487194916,BE00B66F7E2CFDDBCA0DC4087342E1EF48E9181AA2E2124BB7B6F0B74D238FEA,千鹤【哈？】
18,pf:static:photonflowers11.rio:487194916:00041758,photonflowers11.rio,crsa:photonflowers11.rio@487194916,6BEA79F7A19EE124368DD88DBC9003C75159226E665A8FF434D8363E7FD1DA25,慧【给你的。不用客气捡起来吧】
19,pf:static:photonflowers11.rio:487194916:00041906,photonflowers11.rio,crsa:photonflowers11.rio@487194916,CF60749D1B9A7D287AA635BA6CCC91665F4CBB24E28ED62B2442CA6EBF41F68C,千鹤【才不需要啊！】
20,pf:static:photonflowers11.rio:487194916:00042012,photonflowers11.rio,crsa:photonflowers11.rio@487194916,F4AC5F0DB4C692A3843C701B041584C54064C3B158F32B7CF5BB19F95C0BB9CB,慧【明明有垃圾掉了却不捡起来……认真扫除啊你】
21,pf:static:photonflowers11.rio:487194916:00042262,photonflowers11.rio,crsa:photonflowers11.rio@487194916,7D444F76C1807A183CB53747E77B7565C3E6957BC8B912C23B5562379AFD52FA,千鹤【你也是今天负责打扫的人吧！我才不想被只是站着的人这么说！！】
22,pf:static:photonflowers11.rio:487194916:00042574,photonflowers11.rio,crsa:photonflowers11.rio@487194916,19EE1D4B168A7793266334D13A5493265B56B5FDE2E62248C19A404BFB9989CC,慧【诶？】
23,pf:static:photonflowers11.rio:487194916:00042618,photonflowers11.rio,crsa:photonflowers11.rio@487194916,7660626F2D22E835409D5CE2E465A07B11445A82D5EEC56920FF81B9157990B7,尊人【就算看着我我也只会困扰啊……】
24,pf:static:photonflowers11.rio:487194916:00042770,photonflowers11.rio,crsa:photonflowers11.rio@487194916,D53DFA58FE6B0F47D2DCFC0F435D9B9D5BA6CE97D07F3B05D87043F1D15FABC3,千鹤【铠衣君，你也是啊】
25,pf:static:photonflowers11.rio:487194916:00042898,photonflowers11.rio,crsa:photonflowers11.rio@487194916,34A384C9D7E91D4F5A256DE344D6F41B585700370E005B001F7D2E5C56AEC74E,尊人【诶？】
26,pf:static:photonflowers11.rio:487194916:00042950,photonflowers11.rio,crsa:photonflowers11.rio@487194916,57717951E99B9E3627EC8A1F191D1992A09E167D7F883FF111CBEAF5E6D3D89B,壬姬【啊，壬壬壬壬姬可不是今天值日！就算看着我也没办法】
27,pf:static:photonflowers11.rio:487194916:00043146,photonflowers11.rio,crsa:photonflowers11.rio@487194916,8B7F42F36F083E7ECAD0DB3BB1D5DB6389E25CA9D377B9184CA8F3CEADF30905,千鹤【咕呜呜呜……！】
28,pf:static:photonflowers11.rio:487194916:00043222,photonflowers11.rio,crsa:photonflowers11.rio@487194916,6F48E89C3A0B237E157719281C0834D6F5333DE6CD3FD06E34C8E7ECFEAC61FE,武【哇哈哈哈，班长这家伙，被狠狠玩弄了啊】
29,pf:static:photonflowers11.rio:487194916:00043458,photonflowers11.rio,crsa:photonflowers11.rio@487194916,5E43D47413DCF96096B0F71D3BFFCDADD6565F6A45435EE18887C843997A9D3B,千鹤【不准笑！】
30,pf:static:photonflowers11.rio:487194916:00043536,photonflowers11.rio,crsa:photonflowers11.rio@487194916,E39E6DA45CFA27A3F1E90E51C68669216F4BEBE1B1B6E3731369E31C7FB3DEA0,纯夏【呐呐，小武，这边结束了哦】
31,pf:static:photonflowers11.rio:487194916:00043708,photonflowers11.rio,crsa:photonflowers11.rio@487194916,91ED218DA937E7142D66515D6B57A4AF33268FC17B6E1E61BF3211F4A488A71B,武【好—，今天就到此结束吧。那么，解散！】
32,pf:static:photonflowers11.rio:487194916:00043950,photonflowers11.rio,crsa:photonflowers11.rio@487194916,947AE54528F56D0BF8A979812C0294BE07185BF735FDCC3128E3F34E6B956949,武【嗯？】
33,pf:static:photonflowers11.rio:487194916:00044000,photonflowers11.rio,crsa:photonflowers11.rio@487194916,69DC57DBC41BCD3842D45B1183F54F5C64F09A22C22EFB112DA3745376CB6EA8,千鹤【白—银——】
34,pf:static:photonflowers11.rio:487194916:00044092,photonflowers11.rio,crsa:photonflowers11.rio@487194916,BD800FA1A69D721CAE676B125C5D81CE12E255AE2F8A580CCFC63F88B8852CAF,武【干嘛啊？】
35,pf:static:photonflowers11.rio:487194916:00044188,photonflowers11.rio,crsa:photonflowers11.rio@487194916,6E2E5CC682D9D0C34E6A01815DFCF3445F3360502D51CE68086CAF508A6A861A,千鹤【当然，我理解你想尽可能和鉴同学多一秒在一起的心情】
36,pf:static:photonflowers11.rio:487194916:00044516,photonflowers11.rio,crsa:photonflowers11.rio@487194916,1CE4D85C339A2E87AB481DD9402902BD133AF9CFC11F83405F44099C69505733,武【哈——！】
