binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:488631608:00001772:00001,cvm,【美知留】「定时确认——所有状态均无异常。<0A>重复——所有状态均无异常。」<01>,[],historical_combined_review,913b95968d8d574c79e71744e9b07299d84a5ed8d92a41f1755c0c63c2305116,876fe53883dcf86859bff76e4ef3257d675d1c6375bc406fd81beeab721d2e84
pf:vm:photonflowers11.rio:488631608:00003496:00002,cvm,【美知留】「『卢瑟福力场』空间扭曲率稳定。<0A>BETA仍在不断涌来，但主机输出与机体均未发现异常。」<01>,[],historical_combined_review,a0bdaf2e781da19b87cd381a58dad58ca4eabeedd5f26d4fa5209a8ae9177ec2,c4acf5e4b8e4eab9f6090adf3ff609dbfd4c1b80908380ebf8871c86b15f5301
pf:vm:photonflowers11.rio:488631608:00003552:00003,cvm,【作战管制官】「——ＨＱ明白。确认数据链无误差。继续执行任务。」<01>,[],historical_combined_review,b7a1cafce50a0dc21aa89bed1261a898f248fd4182681c027baa5ade9a0d3c4e,06e47e73a54ff431842ce16cf53ec266a5144a0e6b23b9f56e0b4ecb6add8071
pf:vm:photonflowers11.rio:488631608:00003608:00004,cvm,【美知留】「——Valkyrie1明白。」<01>,[],historical_combined_review,1e853628913521d5f17e12fde84f89b5aad398ba45f97e9e6f4ff50fc3253eaa,b1569c5987faed8672f10949a8501bf53b78dd6251f6a21a2b010a195b61092c
pf:vm:photonflowers11.rio:488631608:00004272:00005,cvm,【美知留】「全军撤入安全区也马上就要完成了——吗。」<01>,[],historical_combined_review,a448d5038e543bff3cef5ad17064573b120ad67207786e139e4cab1bb057e863,4935e785957b62ebf270c999582856b72df7a4d5d279f95eec073e773686c88e
pf:vm:photonflowers11.rio:488631608:00004316:00006,cvm,八位数的倒计时平稳地不断减少。——一切都平安无事、进展顺利……。<01>,[],historical_combined_review,3c3d2ae70910ccda35e7b3904304dbfd61dea598b471e2328a6628570341cf00,18c9d4f346d171500a945de28a753118824f570285b3cc49de69404b291d60c1
pf:vm:photonflowers11.rio:488631608:00004360:00007,cvm,但这架机体偏偏总在关键时刻接连出问题。<0A>即便采用手动控制，也绝不能掉以轻心。再谨慎都不为过。<01>,[],historical_combined_review,6883f2589df31ccf0e87196ec3c2f8716a043508ad430a87ee46366a1602ffab,0e9b7f7c96bcb17f35e39afa2b613d6328c228498e891787c36466f6219e1ed6
pf:vm:photonflowers11.rio:488631608:00004552:00008,cvm,【美知留】「至少在最后，也得让凄乃皇贰型好好露一手啊……」<01>,"[""凄乃皇贰型:你""]",historical_combined_review,17fa14c831a839fb0ac280275a5c90245bdb62ad4fce4a1e2352d3877437d7ee,de31567337d8b9cbc106a708148d53a925da48c53cd98168c894cac5ad3e68dc
pf:vm:photonflowers11.rio:488631608:00004596:00009,cvm,……啊，糟了。刚才那句话也会被记录下来。<01>,[],historical_combined_review,14217f7d9a1565dd96317515ad196f876f593040ed4d60cbbd2f214d548b4e78,5a786dbc5c265e846b4ab541be50d043c612302005ff464366d87986e899130e
pf:vm:photonflowers11.rio:488631608:00004652:00010,cvm,【美知留】「……呵呵。」<01>,[],historical_combined_review,3c246ec4ca094a5865503a4e60560e7041c35c2a163f40e42681fde30596b77b,3af542480679239064f6f87112c5ab80c8f1a89f0791148ab10817dd711e4bc0
pf:vm:photonflowers11.rio:488631608:00004696:00011,cvm,算了，没关系。那个人大概连这种小事都不会放在心上。<01>,"[""那个人:・・・""]",historical_combined_review,3b83110e3dcf2a1fc371c8c9e4c9d135a9c379f5e13a0b3c6a5f43ebc322aa23,719bf9b8b04de5b9051838127069e3d566f3ea99f6fe8f70c23a71b4a0a92615
pf:vm:photonflowers11.rio:488631608:00004876:00012,cvm,况且，就算万一真的成了问题，到那时也已经没有人会受到处分了。<01>,[],historical_combined_review,eb327963427a053dc343888ca3936dcc9543ec2e2c57d4245cbe14277b20102c,91b338b479cb4891578fe46e6b151450a150d76df05b8bedfe68b1e34fea58eb
