binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:487283344:00003440:00009,cvm,【小武】「纯夏，你就当盖德拉军团的宇宙恐怖分子！」<01>,[],historical_combined_review,c23ae5bc0ca78a720a96dda5dbeb4032adde3bdcaffe12a8818d2ff6cd5ebb2c,0a5a2096c5f1bcda4cc487bdfc3e51937a45cfb8d735feec17c5e96df4603dbc
pf:vm:photonflowers11.rio:487283344:00003496:00010,cvm,【纯夏】「不要！我要跟小武一样！」<01>,[],historical_combined_review,08d0b1e9cd213acd79da8332c8e094c39a53fb932c9445eb98e93a6a2c5eb450,03d6f44d3c580270ee293864af08a8d1911b6fdb8a195136ccd98f2f7164e9e8
pf:vm:photonflowers11.rio:487283344:00003840:00011,cvm,我的每一段回忆里，都有小武。<01>,[],historical_combined_review,58ca8d04e032b6a5bc84563a8ec547a572b58e29a34f8f02c77281d934e9c0cd,1b3f7d59902a44129ad0f66bae2e79df9b9706b04f758c712fe24e6cc0f68677
pf:vm:photonflowers11.rio:487283344:00003884:00012,cvm,从小到大，不管做什么，我们都在一起。<01>,[],historical_combined_review,572bbf7bb072d065621ea0d5bb48341873e405689169dbced5f5ea6f3a826664,ffb60ac6325efb089c71c151efab7457dcd2f5056ef3fafe5bd3a159cbf44196
pf:vm:photonflowers11.rio:487283344:00003928:00013,cvm,我一直觉得这是理所当然、再自然不过的事，<0A>从来没想过有什么奇怪。<01>,[],historical_combined_review,ecae879ea93ac0cc3bf912f5a6cd7bb8ae79774db32d14c645347753631bfd15,f07e859766bfc9757d2cfce5c7637ef74c1538eff351b4f63e4d2f24d6467a0a
pf:vm:photonflowers11.rio:487283344:00003972:00014,cvm,我深信我们会永远在一起，从来没有怀疑过。<01>,[],historical_combined_review,7a6c65be8a7357fcaf9187280d850379ab777e83437e74ddf5951efffee7549b,6b799df03907a4b88bbbd526c260eab0f0ca22598ca2aa19b4277934538d910e
pf:vm:photonflowers11.rio:487283344:00004196:00015,cvm,【小武】「到此为止了！你这个盖德拉的走狗！<0A>我要用正义之怒肃清你！」<01>,[],historical_combined_review,97811c284b1c8519223f726b080a29d099739ba7743435a704e6bba628f9d4be,a1e69efe238ba32f3609da82a67875d6654ffd7caf28e23d0c30aba74a88b87e
pf:vm:photonflowers11.rio:487283344:00004252:00016,cvm,【纯夏】「哇～快住手啦～」<01>,[],historical_combined_review,2ddd17a01a9d497b154cc7353495cca3f81c5f11e653620ea7fb0a847811ab65,f03eabd735d6fb74f2803256dc8d2415c768ccb11afafcda19137ff868ccd470
pf:vm:photonflowers11.rio:487283344:00004308:00017,cvm,【小武】「宇宙书记长！戈尔班！！着装——」<01>,[],historical_combined_review,b036c422770978faeef077bf1215e5e8a98245ec32f4b4f14579080f23341ac3,c630ff219c0caf099c46dd689e2a38325b865f6a6c08029acbd3c2240c27a3c1
pf:vm:photonflowers11.rio:487283344:00004364:00018,cvm,【纯夏】「钻头牛奶～拳！！」<01>,[],historical_combined_review,6b066dd19cea88c0afc27e11524dc02f91b4b1fce58d1e57075fd10e22271ce0,6b453b5ad2fcaf71d78e85d8dc5b35b297bc19cf141a74d3de21ba59ca42ea58
