binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:487417908:00004308:00009,cvm,【壬姬】「唔、唔～嗯…………」<01>,[],historical_combined_review,96915db6c68172015e9e8944f9934d498864bac7742ebb94f4143eb18e855dd5,491d72ba9bd5b72e17fcda37e867c011eb939868e1057ffe7372c9dd1cbbde90
pf:vm:photonflowers11.rio:487417908:00004388:00010,cvm,人家正睡得舒服，请不要打扰我。<01>,[],historical_combined_review,2f6e14f599d663d8d5ffc65e3c10699aba9f8c42113df7e80c00040a6f48b5af,ecaa86b5a827c9efe7744b00192007be45c9089a8b3b345309b9b36180727200
pf:vm:photonflowers11.rio:487417908:00004504:00011,cvm,【壬姬】「……呜喵…………呼喵…………」<01>,[],historical_combined_review,6017122a711e269ac82c90b950bef4a344a094cee8caf7fbf59dfd7b06098a5a,3aa599c94923f49f68ce283eaf7e0a8de8a6f5f092e00cd6fd49721f102fcbb8
pf:vm:photonflowers11.rio:487417908:00004600:00012,cvm,暖暖的，软绵绵的，好幸福哦～<01>,[],historical_combined_review,40bf632f68858534c3349dc3bb4b5d9f55e704c32b5dc5ebcf775c2a4582b862,73df746a568681ed2dc5e055f6e4125e1268f8c91f2c38dd90de1eb3c0c0628e
pf:vm:photonflowers11.rio:487417908:00004680:00013,cvm,有阳光的味道…………还有消毒水的味道…………<01>,[],historical_combined_review,cdae6e7261dabf528249771ee04fc0743eaad52132b35e9fae8856ca003cd40b,4e483038796beede878f9f3c61172764e38f1757713155591900c78b8d7cd8a0
pf:vm:photonflowers11.rio:487417908:00004724:00014,cvm,咦？消毒水！？<01>,[],historical_combined_review,3b5094fc90c5defe3129aecde2ed70f232404d5a299cea668d233262656ee06d,dd0a6e6e71f299eb2a87e2f68f6be28812cc911263b16ae92e6b07df09894e5a
pf:vm:photonflowers11.rio:487417908:00005384:00015,cvm,【壬姬】「这、这里是？」<01>,[],historical_combined_review,4fed35e6dd294ed642ff29a76259e97332873051ac54c8f404112ac785fd810b,9a44fff4eed5318d1cada7ea254d418cae1e32ec1d3b6b49ffb38829b13b2f62
pf:vm:photonflowers11.rio:487417908:00005548:00016,cvm,【声音】「……哪里？」<01>,[],historical_combined_review,2ae67b1a275b7045f24312b860ad0cc2093fe38d102d0f689d52f4e06bbc9e8f,ad372201602cafebf16deb5210568a366c4b2e1ac68da6f3e9f37617d03fae81
pf:vm:photonflowers11.rio:487417908:00005852:00017,cvm,【壬姬】「咦？啊，慧、慧。」<01>,[],historical_combined_review,6c538a3cc7a9d84a1e15641f8105f422e629839f949aff5eb21b1a14641d294b,0cd6f1ebf1d7335b88839b761f08f487ee1c9efe48918df156aeeffcfb1b451e
pf:vm:photonflowers11.rio:487417908:00006168:00018,cvm,……那个，这、这里是哪里？保健室吧？嗯，是保健室。<01>,[],historical_combined_review,9a5f161b543e682dc0c5459a9261192c5afd373137aa7d969a298ad3733f6f4b,50b5fdf36f4176310d739f084a08dd86d8e0c336eac62e5164e2cb3b975f5c4b
pf:vm:photonflowers11.rio:487417908:00006360:00019,cvm,【壬姬】「是保健室哦～」<01>,[],historical_combined_review,78f61ae73c831ee7a65f116c1a6b6a895e6d28ac9c054295196d22cd9255cb42,07dd0ff59bfedd2e64d67d407297e051f462fcc887246d0e548eeebe11cf47b4
pf:vm:photonflowers11.rio:487417908:00006876:00020,cvm,【慧】「……我知道。」<01>,[],historical_combined_review,5310eec45a10bd66da086e68f7512f8ac21c94d983599f6fc9bce1814d4c5c81,71130b9fdc2d7079742917e98480db7de26d6e720b8a97ebee0a5d721c2aa84b
pf:vm:photonflowers11.rio:487417908:00007032:00021,cvm,咦？为、为为为什么我会睡在这里？<01>,[],historical_combined_review,e758af930aea8530699d2faf97928e3eefa363e69265c400ee0b3a2c7f976074,f0c7aaaaee4979335d81691dbc5f451128187e48bd6f5e5b47aa18b17bfac3cb
pf:vm:photonflowers11.rio:487417908:00007996:00022,cvm,【慧】「太好了。还活着。」<01>,[],historical_combined_review,4e01901db27f80d3a5c9544fc98e5c271fc0c5fdef89262a72ae50b25401f4a8,234384d4083ddc4614f2769881c978d39eaabf98a17f1998378a0d45302c8327
pf:vm:photonflowers11.rio:487417908:00008176:00023,cvm,【壬姬】「什、什么叫还活着？」<01>,[],historical_combined_review,75f96b860528c040037b5ea420837445b8d1969d544ffdd88c353f95cd337e71,d03a0eecba8d7b42edcda79fca3d264e3fedd8aa3e2694ed9f15534574e298e4
pf:vm:photonflowers11.rio:487417908:00008264:00024,cvm,我、我完全搞不懂啦～<01>,[],historical_combined_review,f8f7609c0d21b4fb79bffb4965b7deb173c16cac1de9689bc3a5fec256bfcf33,d5a417288f62b044b45991ecf2e251c605ca19d8d19531e3c7581fa7f4b646c1
pf:vm:photonflowers11.rio:487417908:00008720:00025,cvm,【声音】「打扰了。」<01>,[],historical_combined_review,197aed82c1d502bf7ee239057a78d312dd376dec709453f23a93bcca1d2824fd,ce5a746913bdcdd7ad634a71396301c9d9d5e5c265ef8d8b3c3bcf3395ef98f5
pf:vm:photonflowers11.rio:487417908:00009364:00026,cvm,【壬姬】「啊，千鹤。」<01>,[],historical_combined_review,80e8a1bab15a5c2217574531ff44a35d9fbdf60b8a49eeb389aa9a93db24c11b,54d19d84bf0736dcee99964ff08d8205513db26215e38f856f178b64f34c8fcc
pf:vm:photonflowers11.rio:487417908:00009792:00027,cvm,【千鹤】「醒了吗？太好了。<0A>给，这是你要换的衣服，还有你的东西。」<01>,[],historical_combined_review,566fcf9478e66ecc48ac0200259cf7d4b7ea0998e20322326ada40646cd025dd,d2bab3332b1fb8b8d80e65699e8934d8edc73b8e9978841a1ab3fe8ea77ccf08
pf:vm:photonflowers11.rio:487417908:00010164:00028,cvm,要换的衣服？啊，我还穿着运动服…………<01>,[],historical_combined_review,2409196353f967cad66d63f7dddb67d7ddc33051291e3a8c815dd04b0a1a1f18,1a959c354861d90815ece5eb07244e88802f2aa58db33e9d35dfd6003f460087
pf:vm:photonflowers11.rio:487417908:00011016:00029,cvm,那个，我是在体育课上到一半的时候出事的吧？<01>,[],historical_combined_review,cf7d50df0fb64fde795165a82751fe6148716577d29c9add7eb843b4e6d4db9e,89c4867be86ff158aeff531774fee5c0c48cc555ce9e4b86c785bbc0a0e099db
pf:vm:photonflowers11.rio:487417908:00011060:00030,cvm,我得好好回想一下…………那个，唔～<01>,[],historical_combined_review,1853896ce64a3ce18c7ca0fea9ac0cf3dbfb9718c135871ef68ed24c465a37aa,eff0295d60b230eab0490fb0417fc8fb8e4bb7fd2ca35857ccd3c272dc715a3e
pf:vm:photonflowers11.rio:487417908:00011572:00031,cvm,【千鹤】「珠濑？怎么了？」<01>,[],historical_combined_review,6f7f560e18aba01e0b0f277f680a50cfd580d8953b05bfe47c279790f9c7093b,16a67ac037821a319c906b336de737602e879fab73824df65718575e6a84667e
