binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:488838928:00000288:00001,cvm,——据说，飞过三次的降下兵就是老兵，也是胆小鬼。<01>,[],layout_only,d592236736077975b528948d516f4a1174390098cb0d745dd951f1c16b608c5f,d274a8d56c77aff4365e5b56820e4619cc6e8c19920e99c20c130623f4e903be
pf:vm:photonflowers11.rio:488838928:00017332:00002,cvm,——狭小的空间里只有我一个人。理所当然，一片安静。<01>,[],layout_only,30a6665d59780a2d9bac64c23504f80f1cc905c14ec3a917699ad3469acada8b,2d72d09beea750b295a918a60af6aca4b41141da85784fed925291a54b858e70
pf:vm:photonflowers11.rio:488838928:00017376:00003,cvm,处于待机模式的战术机驾驶舱里，只有最低限度的电流嗡鸣。<01>,[],layout_only,ec5992f080988de20aa74bd3a6185307154ba0c442b8c1db4241f4becfd5e977,a0b8c1bda1084384ab03265bfc7508c2385373798d51ad7eaf3aceae6cb15397
pf:vm:photonflowers11.rio:488838928:00017940:00004,cvm,我感觉手套里渗出冰冷的汗，<0A>一遍又一遍从小指开始，重新握紧根本无须触碰的操纵杆。<01>,[],layout_only,8f8aca510312135e4a16d58e4f6ca7c2bb70b609766a39c739e19e45407b1698,461ec57dc752a8e89ccfc5c93927b9c305f005e24578f45a78195704e7f4c312
pf:vm:photonflowers11.rio:488838928:00018576:00005,cvm,——高度五百公里，近地轨道。<01>,[],layout_only,754099f9dd0f72132b726dad54038fe4f5b569396944184f00af347a5b52fb16,ae0a1c96bb695511de7ef4ef3e02c24a35b2961f9052ed047c4d4ea38e554545
pf:vm:photonflowers11.rio:488838928:00018620:00006,cvm,我被塞进返回式舱，头顶是昏暗的地球，<0A>怀着每次都一模一样的恐惧，等待人生第三次轨道降下突入。<01>,[],layout_only,c06f9dd542de6cd52c4ed6f970333a8c9d4416ea92a157cd5c6930a0a2b0280a,ac6b1241a382b98ab9f59ce735b8bd2a01ddebd32e7255e4c8230b9407c1e851
pf:vm:photonflowers11.rio:488838928:00022252:00007,cvm,双手从腕部起微微发抖。<01>,[],layout_only,254954b4c0daea82de606d7bf334fd925d908c478bbfe58faf32ba26f00e0301,e53e430b8848cf5c6cf828af2e7c42a4b43b2a97a3a783bfd15c616a85a06779
pf:vm:photonflowers11.rio:488838928:00022296:00008,cvm,虽然根本没人看我，但我从刚才起就一直重新握紧操纵杆，<0A>试图掩饰这阵颤抖。<01>,[],layout_only,1c603adb30394aacf994bb840fbd13279813ab96093ccf3d9c6529eabfeb259a,918f22ac3f28a38b76b2997d3db853c44eb131f0c8210fdb398f4378d27f2d77
pf:vm:photonflowers11.rio:488838928:00022352:00009,cvm,【Aquila 1】「真是的，就算新兵也不会吓成这样吧……」<01>,[],layout_only,4319ce5d5fa9c5e04a9c54dd84d7816b854a92e6b035385e617c32f4a8be7672,d94c2469f65f553548bef2419f3ac9016a8ae7f4863f36805daa264cf4af72ae
pf:vm:photonflowers11.rio:488838928:00022396:00010,cvm,略带自嘲的想法，不由得化作声音说了出来。<0A>就算被人称作老兵，到头来还是这副德行。<01>,[],layout_only,086b8dfefc12cc6ccfcbe39d44bb3b72b3aa77618831a13200a903f15d68fd77,59ffd1c5612bb9895b781f5056d71bc0fc11e87724cb6cc8556351ade78b2c22
pf:vm:photonflowers11.rio:488838928:00022440:00011,cvm,说到底，仅仅第三次出击就被称作老兵，<0A>这件事本身便错得离谱。<01>,[],layout_only,bbaee346a49eb1d6898527db75a613bda2f7cecc5c53cbf0363d953d8531a711,2c6d1b07387b3f0a37931f5ef25145a6e3d1afd04020461aaf2c9c3fa60e70dc
pf:vm:photonflowers11.rio:488838928:00022496:00012,cvm,【Aquila 1】「我们是获选的四人，<0A>身经两战的老兵——差不多就是这样吧」<01>,"[""两战:・・""]",layout_only,1d9188286d1c3d9af53c8b3cd68b6079950a8c9bf3a0aaf271dcba449f4c17ab,be3b0666c3b91cf374fffe1d6435a1e5c8c916abfd45f4ade096499c3ca151a6
pf:vm:photonflowers11.rio:488838928:00022572:00013,cvm,……其实根本没什么，<0A>只不过是轨道降下兵的作战生还率不到两成。<01>,[],layout_only,33dcdb80c726dbe64cfaccab181d70987f47702163067fadadc64e838a97dd70,efc01492489d8566a9f2ba461628f0cd782cf98866c2ec51cd9764c9cce248ea
pf:vm:photonflowers11.rio:488838928:00022616:00014,cvm,召集一百名新手降下兵，飞一次，一百人剩二十；<0A>飞两次，二十人剩四个。等到最后飞第三次，人数正好归零。<01>,[],layout_only,cdacc3d0cebef3f7c25f2a786d0f7c4e4eb2cec610a417dc2ca702c3f231bee2,32ccb5ed18a32e30ee9624367a938051d14848d34d882bd3af1753e612fd6674
pf:vm:photonflowers11.rio:488838928:00022660:00015,cvm,虽说作为降下兵还是新人，<0A>但他们大多是从『真正的』战术机老兵中选拔出来的，<0A>却仍落得这般下场。<01>,[],layout_only,1686d8eed40e49c806e0e7fb85da8fee7d065d2784a9c6d1e2f47b5d8d432558,0f78b0f8bff712ff8ad144c985191101169e5e5dd065645485f5b24c9393c741
pf:vm:photonflowers11.rio:488838928:00022704:00016,cvm,还真是一群可喜可贺的冒牌老兵。<01>,[],layout_only,20315f7ef89189261dab80bb56502b14606549cbd0c33f1955ebcd5e35058273,abdef12b9046d30126ecc7563fe953da7e411a592304a5e735b1867e0c775c58
pf:vm:photonflowers11.rio:488838928:00026320:00017,cvm,【Aquila 1】「呼……」<01>,[],layout_only,daa77d8bcad6471ab352d83bb836ed42b01a2957920f6bbdef3d65d4d471b251,5fb30c36d19f53e0ae9f41023f75b5ae0dc9b3888e50fa1885c15046112efec4
pf:vm:photonflowers11.rio:488838928:00026364:00018,cvm,驾驶舱内只装了防霜所需的最低限度加热器。<01>,[],layout_only,8961afafafd4ecf751297ea797c08d575763842f838e46b9dcbdd0fa49d9305f,78e64e93e526ddc288a6c4ac590e9d3291147aa25b894f44cffcd9c59dc0b741
pf:vm:photonflowers11.rio:488838928:00026408:00019,cvm,多亏强化装备的体温调节，我不觉得有多冷，<0A>可呼气化作白雾的景象活像停尸房，阴沉得要命。<01>,[],layout_only,529ef6d809450f950446fdeab9d3db086bf9f85cbd5d6d7d9dcc3e10315b1b51,f66e8eeb8c2ddf642bb7eca0cb29905da389b1688cefeafe8116d494006d10d7
pf:vm:photonflowers11.rio:488838928:00026452:00020,cvm,——返回式舱本来就有个不怎么吉利的外号，<0A>叫『飞行棺材』。<01>,[],layout_only,24ddd570591d0afc62167e20bd5be1321827891e6086b5a1ce57c033a9394152,0d3f1c9b1c2771370bba917ef18211a19bc871fba5a5ce563904232a31fc7774
pf:vm:photonflowers11.rio:488838928:00026496:00021,cvm,背着我们的驱逐舰，据说过去也被叫作『飞行砖块』……<0A>可和我们这种既不能再次脱离、也无法飞掠的棺材相比，<0A>简直如同天鹅。<01>,[],layout_only,a87c6b7beda5567380340adf82df023618a746b9b03b173c8f12bdbc6daaefb5,7ed14030b9946f90ea99f8d37e7ab5759c537181429c8b544881fff2393fcecf
pf:vm:photonflowers11.rio:488838928:00027984:00022,cvm,呜呼，棺材向下坠去，目标是突入走廊的尽头。<01>,[],layout_only,a4acb517dd0afb3183d2e039ea53048a9797659e092e18e6c051479e722eb2be,8f52ddade3b912684b6a1197e96dddd6a24175e702a3690e14d29080b74e39aa
pf:vm:photonflowers11.rio:488838928:00028028:00023,cvm,重金属云层之下，可爱的巢穴正在终点等候。<01>,[],layout_only,d6c6b9a6c2a69c0cdc08b3bd0d4cbd83d43a56151eb1a3119cc99da31c6a23b2,ccd4a971399e85b4c2ff9a6cc611660915c2529ca46181197bc014bc9f517517
pf:vm:photonflowers11.rio:488838928:00028072:00024,cvm,突入失败送去火葬，着陆失败就地深埋，<0A>被BETA吃掉则尽享鸟葬。<01>,[],layout_only,244d84f5054c9cf8c5006cf02efb006ba708dc480f6339834089ace41ebd1969,09d9051a78cf0bad24e6d78f1cb51b9cde3a610e1bd3ec1f1b38f25510e9b28e
pf:vm:photonflowers11.rio:488838928:00028140:00025,cvm,无论选哪一种，最后都得落个身份不明，<0A>连尸袋都用不上——混账。<01>,"[""身份不明:无名氏""]",layout_only,49f4df08f6861970427531916b4656c7ae35406d9c61b18bc74958e24bfdcae6,621c2c08dfb1086315442eaa361345f1ef796656366f08c754de72ca87392272
pf:vm:photonflowers11.rio:488838928:00028704:00026,cvm,【Aquila 1】（啧，你这混蛋有完没完，<0A>给我集中精神应付眼前的作战）<01>,[],layout_only,927f04ea517ade460a04074facca3f1fbd58c667308522f2670069e31d44359d,202c5c16e79e9b356012a80371e1513db38572bce65fd48a0d1a50e873e368bc
pf:vm:photonflowers11.rio:488838928:00032776:00027,cvm,我轻轻咂舌斥责自己，把阴沉的念头从脑中赶出去。<01>,[],layout_only,0b7f96f1e5c1e095b482b98ddf781114ed89ea9482b759bf8f5749e9fa06aa5a,10465c0a87d51a2d2d59e64f70addf892e566a6ac1b5a547f58225222919897b
pf:vm:photonflowers11.rio:488838928:00032820:00028,cvm,没完没了地在脑内倾泻牢骚，连我自己都受够了。<01>,[],layout_only,e93f84400220618b357d94c0754c7dee51f3bdf8bdbe2923ee8a9403c87f7397,2f43904b4571241b860c7f85e25e0bc91dfd8cbcdb94705d1f5bdf8b42b7c094
pf:vm:photonflowers11.rio:488838928:00035128:00029,cvm,检查返回式舱状态监视器——<0A>通信系统正常，生命维持系统无异常。<01>,[],layout_only,0bfb6c34a639321a9530ae4753714dea5eccad9ceaf9e8b0dfe95f8e39136e51,36aa81afe717b13a1d3ea07cf0dc9e1252780fd2767e894a9c9d1f6128c87279
pf:vm:photonflowers11.rio:488838928:00036272:00030,cvm,——轨道稳定，无太阳风警报，碎片传感器无反应，一切正常。<01>,[],layout_only,873b5c9cfc4d1e7a975957e7aaa2f8f003c8ae39a3aa7c2731ba6d8603286747,89dc206c9622292dbfd2993d29e92fd8376ffc31de82168f1e47e3586ecdeca5
pf:vm:photonflowers11.rio:488838928:00042596:00031,cvm,……不过，轨道待机中的战术机本来也几乎没什么工作。<01>,[],layout_only,1a5e362a9ecd005acee3578ac145061dff353f3b19a7595fbea6c296857fffb7,457eb64e3ae0bcac0f76a5d34af767d6ada1165f6903f338a077a6bf348bde7d
pf:vm:photonflowers11.rio:488838928:00042800:00032,cvm,特意在无氧环境中运转战术机主机，<0A>会造成氧化剂等大量浪费。<01>,[],layout_only,e9e4dbe39cd9cbc5b0e8b9dfa5f2e0045b3c621ec592e80fc891860c5423c504,464e639d1e428e885dc66ff355fdbe8fd49eb00ad54d855e965015c0b77996bc
pf:vm:photonflowers11.rio:488838928:00042844:00033,cvm,现在不过是依靠驱逐舰通过返回式舱供应的电力，<0A>勉强维持通信系统和生命维持系统。<01>,[],layout_only,fbcdc52e548869c402baf10905b2e09de9b8cac3ff1fb4658f71491798421fad,89553996597dee42a9bbcbfb0f26c61cde469bdf4ceda7191acafaf0f29dbac0
pf:vm:photonflowers11.rio:488838928:00042900:00034,cvm,【Aquila 1】「眼下，我们的工作顶多也就是扯一扯脐带……」<01>,[],layout_only,762aa840889937fee42d8476448589b3e2ab2aadd31c02152baf1bfa99b39783,eb45b092482206459f51c6f4fdb6a3dc805fda4322724b87ffe5418ca3dd1d5f
pf:vm:photonflowers11.rio:488838928:00042944:00035,cvm,其实就算棺材被扔进大气层，<0A>直到高度两千米从外壳中释放出来以前，也没多大区别。<01>,[],layout_only,0462eaee2f9525c45a74fb1426a186aaf93413facb85568598c2b16746a0e501,6ebd0e684587f0832f8a0179490b7cf318004bc8d4ee30b88d35002089afe7b1
pf:vm:photonflowers11.rio:488838928:00042988:00036,cvm,能做的也不过是靠少得可怜的辅助推进器和重心移动，<0A>进行些许姿态控制。<01>,[],layout_only,dc8c3b66d0db6ab89d4ba9db8ae571974ad2b3b4c08b857c97305b1bb68ac3a1,54fedb528cf4765a0ef3458da22eabc8be6da665b2cfdd8b364c38a0c2c4e654
pf:vm:photonflowers11.rio:488838928:00043032:00037,cvm,真是的，和在被抛出去的棺材里滚来滚去的尸体毫无区别。<01>,[],layout_only,d45efd4f2b2a088b3705907d468ad833610447a0cfd75fe7557bf5ebe8cd78a2,89da4cc6c4a34fda6d656a78131c0a5516087b688dcbf20d7231adc09f2863fa
pf:vm:photonflowers11.rio:488838928:00043088:00038,cvm,【Aquila 1】「大幅减速下的姿态控制，<0A>是吧……我可不想死了还得干这活……」<01>,[],layout_only,e9c165e6783f4fa65bec32c2e1ffe9de33a6d79ec6bd839976ed63d5e21a8a32,3c578913b77042c8b96025d6a9945f581931bc2859dd18947e981fdc4f8e4a13
pf:vm:photonflowers11.rio:488838928:00043132:00039,cvm,话虽如此，若目标上空的重金属云浓度<0A>低于联合国军轨道降下规定值，<0A>又遭到激光迎击，也只能这么做。<01>,[],layout_only,b54ede5e9972b450cd94f3de26a237c65bb244725c0d7c91cca31a4d0bfd2da6,afee4056c05368acd96f761fe6b88d23a182dbb82722e0c7a791d5ca9118169b
pf:vm:photonflowers11.rio:488838928:00043176:00040,cvm,紧急提前投下耐热AL外壳，是只能使用一次的王牌，<0A>按标准做法应尽量保留到规定高度两千米。<01>,"[""AL:抗激光""]",layout_only,9eed9e4914854172eb57e35ada0184967fa6538289cd5d5d7f9e2754ceca6f6f,2e9c136cee743958e5eb6a36d220d907faf3bfb2c1c2f2cf4ec7ccbc1d3f196c
pf:vm:photonflowers11.rio:488838928:00043220:00041,cvm,再说，即便在高空抛弃外壳，<0A>外壳抢先下降所争取的安全时间也只有几十秒。<01>,[],layout_only,936ede3cc96ca774331d414b06cf7e3463795812b45ba79abd4e0ae4ac2aa859,f700f0eb2f83433bb56f157b0587d61596a0a13c283fc8dbfd34a5a487098e9d
pf:vm:photonflowers11.rio:488838928:00043264:00042,cvm,之后赤裸着慢吞吞下降时，被第二轮齐射烤得焦香，<0A>便是最后的结局。<01>,[],layout_only,278a997dc59b6d2bd5ef59fe49e6c47d4f53573a9199e6c46ab1e1cdafd2edf5,afa92389a8ac0a225245a6d917fd32fa5ecaa64a7c219530e3e3c78a2a3a6749
