binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:487194916:00000792:00001,cvm,【千鹤】「喂，白银同学！给我好好打扫啊！」<01>,[],historical_combined_review,0ec1ebe37cf81183dc28a203cf5b863166e92bb99dcda72d6855976781d83bc3,7ea54c4d215caafdb3565d49eaaef43aeafbcd5a8fa8eac16210c124b806c72f
pf:vm:photonflowers11.rio:487194916:00000836:00002,cvm,【武】「真啰嗦啊，我不是在好好干吗？」<01>,[],historical_combined_review,d447c6a9b0a3359fa2d644fc70f4cd183b1da746d039ddddc6b9ce79aa3f252c,8c117f07cfcda232e39fbb307e27a862c69cb858e5d88164d216d435be36dfb1
pf:vm:photonflowers11.rio:487194916:00001240:00003,cvm,【千鹤】「你不就是把垃圾都扫到角落里吗！」<01>,[],historical_combined_review,31cb01079949823568370b8372068b49cee7331da284519af23489408d204d6a,f9c24160b84d5ce3a69ffd1a804aabe9968237171e492b65b5766e4b5ab9ac6e
pf:vm:photonflowers11.rio:487194916:00001284:00004,cvm,【武】「别那么死板嘛，班长～」<01>,[],historical_combined_review,4e3fd3973e67116a8c6a3a0ebc4ab8a081a0c2f18d37048691d9a5aefa3c315d,77c69561cd411b8f27cc159f1abab88ff7414fcc0d59d04f793eb7b5d9d1a231
pf:vm:photonflowers11.rio:487194916:00001460:00005,cvm,【千鹤】「方方正正的地方，边角也得扫干净！<0A>这才是常识。」<01>,[],historical_combined_review,c48b7b64906bd0b3888f9f9ae0f7b23b148eaea1a3dc86460552b3839547608f,32f21843d7f19d0f2bc5134ea25be3bca23c3ee1fdf927c2277fefb9dbe0fff8
pf:vm:photonflowers11.rio:487194916:00001504:00006,cvm,【武】「又来了，『常识』！那是谁的常识？<0A>我有我自己的常识！」<01>,[],historical_combined_review,49ea1e93a644d0f290aea896200b5ae52f0fa8854a32bb1fe1a708ec78e92094,5741e9c143f559b4bbf7fae32276654ebc1155b49a2c063fad3f0b8fe46ff061
pf:vm:photonflowers11.rio:487194916:00001672:00007,cvm,【千鹤】「你那种在别人眼里就叫没常识！」<01>,[],historical_combined_review,ce76f9a3f5fe545b59341af65d15ce8dad5a2688d7948771653f1a155a8791c4,297804d4cda0d2eb3f70682a7ea89c2de9e4f843dd6db25d8d4f9320f3b72868
pf:vm:photonflowers11.rio:487194916:00001852:00008,cvm,【武】「什么——！？」<01>,[],historical_combined_review,0663b5f23f39dca607ae0216a76632aa34362ba90750a5a978ed4fdb00850356,854698c36495bb801c975eec27b9ec572a78966b2f8c7add098ecd8a1ae1f2df
pf:vm:photonflowers11.rio:487194916:00001908:00009,cvm,【壬姬】「……又开始了。」<01>,[],historical_combined_review,8a7299d91b398b97f43921afe427a6e44932d867d183c06389fcd3842d8f251a,e58073f1b100b51f55156c823e1c9128ea3b6c50c6d7f908fd16ee31bebbac01
pf:vm:photonflowers11.rio:487194916:00002572:00010,cvm,【尊人】「你们两个还真吵不腻啊。」<01>,[],historical_combined_review,a05ed573bd73ef1d72aedeb2c078499ac0ec78e43c34688fefb1beda1c725a48,7ea086ade2eab9a85277e1ac691d15f4578242838f29c349e3638fe1ee137b13
pf:vm:photonflowers11.rio:487194916:00002988:00011,cvm,【武】「别把我也算进去。<0A>每次都是班长自己跑来找茬的。」<01>,[],historical_combined_review,2e2b228e90078f8ba645df4eac65443df57c647776dd5ef96aaf00768aa42840,8ef431e7a3e836d6b1045f7cb2acd5e385685afe72ac74c3bdd9fb2773769cfd
pf:vm:photonflowers11.rio:487194916:00003156:00012,cvm,【千鹤】「你说什么！」<01>,[],historical_combined_review,117ec6dee457120d11c0ec38cf5f808190a473326283ca363dac0113a78b234f,b550294a9779d2a74972f868c7374ffa0ae272e7e81f124b5d9d1561698c3893
pf:vm:photonflowers11.rio:487194916:00003772:00013,cvm,【慧】「挺有意思的节目。赏钱，赏钱……」<01>,[],historical_combined_review,8fc939986db0705457ab697f6ab123510403bf514c2a92c2eabfe4fed4b43b50,7c7e95bbdc21386abd6de5cce9b4c76e14e62a6fecb6e1d3f74e72c8bc014d2f
