binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:487716956:00006652:00013,cvm,对，就是这个。<01>,[],historical_combined_review,237c70c0790af39a031fb3d832f5b10f8fc9d2de36779b6577de206c93ce48ce,f7eccb9f3b1418e533a012b0597d3c0603c074361fb40af4345f17d3b4a357a0
pf:vm:photonflowers11.rio:487716956:00007792:00014,cvm,这种颜色，这份光泽…………<01>,[],historical_combined_review,da4441a90bdc32107f939997474f3666d2b4249a9be714946c66a810bc882bcc,fd701a55c258145683d3a38995e34410dcca68633b68568155c2af6dc2c3bd6a
pf:vm:photonflowers11.rio:487716956:00008932:00015,cvm,这种香气…………<01>,[],historical_combined_review,6aceecbe4e002145cf15e00652d7692f3133772350f93a1db603405147f62496,bbc557ead8cce24c179fb95029eeafc7a8d735cdb5f7d1f4f2ad0fbeb3bc453b
pf:vm:photonflowers11.rio:487716956:00008976:00016,cvm,夏天果然要吃炒面。<01>,[],historical_combined_review,3c26f3da68973d636c8482b8b86d17a4369dd3ae8d6ff7d9b2205012ffbbd516,8b4106274ef28febd5a3199710945d6168b5437446358275682c7db5c02699a1
pf:vm:photonflowers11.rio:487716956:00010116:00017,cvm,酱汁的焦香最棒…………<01>,[],historical_combined_review,9f3b22e4444b841371374f6a9fac5afd6c5656d9aaec20723a230a32293a0898,576e50268f3bd9231e1f1673aa0f5ed49992f3d618b2b610d339d72e76890813
pf:vm:photonflowers11.rio:487716956:00010160:00018,cvm,寻常食材造就的终极奢华。<01>,[],historical_combined_review,29b4d939f5b8b69673578e40ad50cc4dc61db568d92fb7b8d4caa5800f529334,5d62f6bf901c2155c731de7db22c655cefb87749ddd07d9379cc4c8b18cd371a
pf:vm:photonflowers11.rio:487716956:00010400:00019,cvm,一年一度，就在今天——炒面祭。<01>,[],historical_combined_review,bc33f9c0c27578b9e5579516d4d598f219f87f255e3ac6b4499daee7b262aa67,2bc38d683e04d71fb83e8869268cc031c21439c2a63a90f7b809188d8394d5ec
pf:vm:photonflowers11.rio:487716956:00010444:00020,cvm,烟火大会应该改成这个名字。<01>,[],historical_combined_review,d01db92ad742d2e0c0423d68c1209531e755d7cdcf03c4099fa5564a1d8efae3,f5c776ef189463456aeebd28809937d8b1c1b9341e2cb9184644f8a5559c58cd
pf:vm:photonflowers11.rio:487716956:00012028:00021,cvm,连《月刊炒面》都没介绍过的绝佳去处。<01>,[],historical_combined_review,44b77345e1daf9e7733594e9900ed26ea59e1f9a66b92d50c15f812cb7dba46c,c8b662b967f60db75fc6a60707c63f8a24ec60649113c9ef888da2ab1e3bcc6b
pf:vm:photonflowers11.rio:487716956:00012072:00022,cvm,这里的大叔手艺很好。<01>,[],historical_combined_review,29497d3b86bc2b1512eb2a0559cbec7a96cdcdabb2f7d3d4634d0cdbf1c26163,3ee695670c7d08ebbd06ec23277150bab90aac36433eee9acb449cda6a9fc54a
pf:vm:photonflowers11.rio:487716956:00012116:00023,cvm,有好好培养接班人吗？<01>,[],historical_combined_review,2b0a3a48362cbfd7adc6f8a8dd60ffc10791600cde95cc4749f8a61a90f62333,1297b09f12714bee26a8e4ba15ce73ec2b473ee7db6476e55d5470da69a8f86c
pf:vm:photonflowers11.rio:487716956:00012160:00024,cvm,这门手艺要是到他这一代就失传，太可惜了。<01>,[],historical_combined_review,8f0215591c8d1ad97902c9f41769784259d7764b3a7e0094618accf03630fb07,eaad01b59674f113e2bef19011d36e3bd52e40563742effd8ff6b571789eae04
pf:vm:photonflowers11.rio:487716956:00013464:00025,cvm,【大叔】「小姑娘，今年也来了啊？」<01>,[],historical_combined_review,878f2d283d65d181d01c45a697f03519792a81bdf8fa3d19bd8943d97359f860,c5e1b4398cd1a3251455072c704fb06d7dd896098b248d561f1cc81e6e4e0dd9
