binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:488751288:00000612:00001,cvm,【晶】「哇啊啊啊啊啊啊！！」<01>,[],layout_only,a932b0fc2d352a6f9415ec46da2a54298f76a30dfdfe5e1a42637f72cd914eca,6ff9248fb35eae75281f2f19690f28107409ba1b72e91ec9e6bc4efd18d3c543
pf:vm:photonflowers11.rio:488751288:00007280:00002,cvm,【晶】「可……可恶，这些混蛋……」<01>,[],layout_only,d2e64675d36ff96d8e8593db3fe29647ed8365db74dfa34a0ab42a52532fd395,6d41d5bde136c10fdd64b07cfe492d108853465f86fbf94673e79d3eccbd530e
pf:vm:photonflowers11.rio:488751288:00008116:00003,cvm,【帝国军卫士4】「——去死吧，怪物！！」<01>,[],layout_only,e40ef17ab1ae39215ddb8e0c170d793bad0d15895edfa761bade9577d76a3986,0d06b2fca43164d3d282a71fec25378aeea2ab6503704e41a01d425d222aa1c6
pf:vm:photonflowers11.rio:488751288:00009656:00004,cvm,【帝国军卫士2】「——可恶！根本没完没了！<0A>联合国那帮家伙还在磨蹭什么！！」<01>,[],layout_only,de9bff8c7cdd825ce6b63660684e7818418c423f3d698c81fe0d1dc62a2c91c7,1c36610aa53483d72811672f1ef4f7b369ef6ea4407ee045e0b9f2bc28bbc605
pf:vm:photonflowers11.rio:488751288:00011280:00005,cvm,【帝国军卫士1】「——破击者1呼叫ＨＱ！！<0A>支援炮击还没恢复吗！？这样下去我们撑不住！快一点！」<01>,[],layout_only,167ee45cee0c7567d5b0c51f758f577d545bc38a64173f75ecb95051c5d57917,045de16097ab93c0e58852279e86f298d7ea3875f3af28709945580bdc860db8
pf:vm:photonflowers11.rio:488751288:00011360:00006,cvm,【ＨＱ】「——ＨＱ呼叫破击者1，<0A>支援炮击恢复时间未定。<0A>重复——支援炮击恢复时间未定」<01>,[],layout_only,0b46385543d62776b47079f7a6bcaf0591cd0cacc33053a1a9fe5ec9cdb26af7,913a4b6134deaca587b1231afb98f49ad03664f703b16780ac57631931d71670
pf:vm:photonflowers11.rio:488751288:00011788:00007,cvm,【帝国军卫士4】「——混蛋！！<0A>为什么支援炮击不到我们这边来！开什么玩笑！」<01>,[],layout_only,d1fa18a805a22e679d61dbdbab3ab578c5aa291760f58a34b035cc93f457297a,6692e29910edf7585228ca07d311ecb2ad6caa0f0578d336b6af7360616aedca
pf:vm:photonflowers11.rio:488751288:00013844:00008,cvm,【帝国军卫士2】「——呃啊啊！！」<01>,[],layout_only,3afa830d24b66c0e14a3d9f8fe8e66bd72169e42e9e3512ddc899c8c218d8b7d,06162d13310b989ad97d19cbcd076e5d2661c8a4d5e28221aecd3987ff12bd23
pf:vm:photonflowers11.rio:488751288:00016424:00009,cvm,【晶】「——02！？」<01>,[],layout_only,42beeae1c7cfab3ec1c7a91ba0bd8360893c7dd39cd6f6246680420a371fd9b2,4c07c6c74ed6a8bd00a1f950a96345c8b385f56393ac74629b77264c93c17e2f
pf:vm:photonflowers11.rio:488751288:00016480:00010,cvm,【帝国军卫士2】「——别管我！我没事！！」<01>,[],layout_only,1b45fc5511dc96aa2d4c19b03d4c64e25b6b51e2e4cc83278fe9fa5fb8b4c70e,fa13579585ad34f37638bb3ef4ada24de917a0e09a4c36a66edb8d5a75ed02d0
