binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:488271272:00000244:00001,cvm,谁能不思念故乡。<01>,"[""谁能不思念故乡:归乡""]",historical_combined_review,a782086c1a8686be71efdc213d29ee6b083da4d4d1af56ee0264b6f9cf780cb2,85eceff9bf852d89f629b6fead44c961da5cc2704521be870ec33b2dafca2964
pf:vm:photonflowers11.rio:488271272:00000520:00002,cvm,1973年 BETA开始入侵地球<01>,[],historical_combined_review,edc8a88b12b50d17436f3962cf394df5644957e133573fe92cbd6d56366f5189,4a1d90942b7d508cf6dbe1e3874af2d882a70f3b8447ed4fe14a2369b2bb69a8
pf:vm:photonflowers11.rio:488271272:00000768:00003,cvm,BETA登陆舱坠落于中国新疆维吾尔自治区喀什<01>,[],historical_combined_review,d5048686180fe799d8b3225d14efc0b7a25c5dd8b68e3d57d54577bf8152e547,a75153780002ad5f551c9322b9325271d93c0cda06df195bc77e476da4df8c09
pf:vm:photonflowers11.rio:488271272:00000812:00004,cvm,中国军队迎战，但终告败退<01>,[],historical_combined_review,1f1af7194aa0ab8fbbc2fccbb6c502dd366aaab58317a9f5efe7778b3475481b,39a20a4de49bed48609a3f4e1328c60e347876f1b5ce3521ac6d8cb5dbd0f086
pf:vm:photonflowers11.rio:488271272:00000856:00005,cvm,母巢开始建设<01>,[],historical_combined_review,558946432ce5d3e74931b1dead988958381df34423b4a3c7c2398390a6eac4d1,a527a8c18e02215b1d52bbf456c7d3d8b44944ee90454016ce168d6fbdc8d0e2
pf:vm:photonflowers11.rio:488271272:00000900:00006,cvm,1976年 BETA开始向欧亚大陆北部推进<01>,[],historical_combined_review,a92760c34b0f143c6c21231f1ac6feef7da2bef8702152a926c58422c39415b0,7831c1d728d852df253fe4ee67f0976128615cfbcee7dd7f6e40860a98d2803f
pf:vm:photonflowers11.rio:488271272:00000944:00007,cvm,1977年 抵达乌拉尔山脉<01>,[],historical_combined_review,042dfc1a1699c001489e519bc908982aa770220d83522f2eabfc5065ea39b1b4,ff153c432a1927e1c7291006c92638b9d6ccf3d26080fee3bc742db4c4b0731e
pf:vm:photonflowers11.rio:488271272:00000988:00008,cvm,1978年 北约与华沙条约组织联军发动大规模反攻<01>,[],historical_combined_review,1b5de137914728113a64b841dc93128343cb45cc235ff70a098c110871ba2695,716a5f54ab7cb8168a4dcc92477d59c2fa37a80ae58df45ff375052523631ad1
pf:vm:photonflowers11.rio:488271272:00001032:00009,cvm,——实施巴列奥略作战<01>,[],historical_combined_review,d73f020f30f13176ba768a29c133aed4e2ee65bdd67aedd264f7884e0822a7b8,e6b5622185b867603bdd31ebf16656857a490276ed8afed00eac781cb64fd868
pf:vm:photonflowers11.rio:488271272:00001076:00010,cvm,虽成功突入巢穴地下茎构造，<0A>突入部队却在数小时后全灭<01>,[],historical_combined_review,5991d744415c32dd9354966cddb06c1227a76d6b0e429872a8a76127e422de11,d7eb269d8d745fc3379bd13b6bd78e13e3a60a731877e4c5e996c363c3efb0a1
