call_order,stable_id,rio_file,scene,source_text_sha256,translated_text
772,pm:static:photonmelodies11.rio.003:0839604068:00173298,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,9A4C54B263CB3C58B175C55A0D5F3C4C55B5594BE4DC7A5A418872D3478475A5,【武】「…<03>…<03>…<03>…<03>」<01>
773,pm:static:photonmelodies11.rio.003:0839604068:00173364,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,839D3A4C52780E542DBACC411E5E2B7FDE56A19C35BEC14A105355C18674BB89,上午的课…<03>…<03>怎么说呢，<03>也许是全校集会的冲击让我一直发愣，<03>一眨眼就过去了…<03>…<03>。<01>
774,pm:static:photonmelodies11.rio.003:0839604068:00173758,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,413936C8935E4F2525D9D51285EBAE42E937658C0D223E1AE91C912F178F2667,"连老师们上课时，<03>都明显还在动摇…<03>…<03>。
感觉他们也没能从突然更换学园长的冲击中缓过来。<01>"
775,pm:static:photonmelodies11.rio.003:0839604068:00174138,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,8EC249621FCCF2F2D8E6DC81D83331A7E335D96E5E9DD3D5D3DB882FA2C5C4DB,结果集会上只介绍了新学园长，其他交换人员一个也没提，<03>再看当时那阵手忙脚乱，<03>看来，<03>这次交换留学确实是临时决定的…<03>…<03>。<01>
776,pm:static:photonmelodies11.rio.003:0839604068:00174682,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,CFADA445AB38B842A93B48109EFEC5768B23FD88A71D426B266F3AC7D9D43625,【壬姬】「——呐呐，<03>小武哥，<03>好期待球类大赛啊～」<01>
777,pm:static:photonmelodies11.rio.003:0839604068:00174908,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,06BDAB2D2EAF1504F37CF1CD612B10DA5D068E3EEE05D92982BDD38EA2D256AA,【武】「嗯？　啊，<03>算是吧，<03>嗯。」<01>
778,pm:static:photonmelodies11.rio.003:0839604068:00175020,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,183601AEE7AD41C3382FC04F05BD4057FEA7F0CCB3567FC807AEFD705A458D4A,只要早点输掉，<03>剩下的时间就等于一直休息了。<01>
779,pm:static:photonmelodies11.rio.003:0839604068:00175270,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,58749D9B7CE5C83644E1FBFF787964BEBC070731317909AD53CCE14FD72E9EEE,要是赢着赢着打出兴致也不错，<03>总之肯定比上课强多了。<01>
780,pm:static:photonmelodies11.rio.003:0839604068:00175654,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,729F914876521451125077F0F45AF7617505F6048259CC24A2755D015BA606DF,倒不如说，<03>要是因为这次交换留学的混乱，临到当天取消，那就更赚了。<01>
781,pm:static:photonmelodies11.rio.003:0839604068:00176106,photonmelodies11.rio.003,crsa:photonmelodies11.rio.003@839604068,86A23FFCA9782C43F3924E897E3B64DF78F4D596AAE3EFC5B4219DE7BC9250F9,【纯夏】「今年会不会多什么项目啊！？」<01>
