call_order,stable_id,rio_file,scene,source_text_sha256,translated_text
5622,pm:static:photonmelodies11.rio.004:0131862200:00148038,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BEDE8098AEEBE95FFF051BEFAC63DE7D9F0B8808680FD6B4174D9840AAD58154,…<03>…<03>。<01>
5623,pm:static:photonmelodies11.rio.004:0131862200:00148062,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,91B83448ABEF00975E4ACB5ED0CFD6EA354222AF015F4C680BC4C9EC59595A94,…<03>…<03>…<03>…<03>。<01>
5624,pm:static:photonmelodies11.rio.004:0131862200:00148100,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,91B83448ABEF00975E4ACB5ED0CFD6EA354222AF015F4C680BC4C9EC59595A94,…<03>…<03>…<03>…<03>。<01>
5625,pm:static:photonmelodies11.rio.004:0131862200:00148144,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,E93E720BC42AEAB5B98DBE483097619C112D02F2B2E430F965C3544AA359DDDF,【悠阳】「…<03>…<03>…<03>…<03>」<01>
5626,pm:static:photonmelodies11.rio.004:0131862200:00148210,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BEDE8098AEEBE95FFF051BEFAC63DE7D9F0B8808680FD6B4174D9840AAD58154,…<03>…<03>。<01>
5627,pm:static:photonmelodies11.rio.004:0131862200:00148234,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,91B83448ABEF00975E4ACB5ED0CFD6EA354222AF015F4C680BC4C9EC59595A94,…<03>…<03>…<03>…<03>。<01>
5628,pm:static:photonmelodies11.rio.004:0131862200:00148272,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,5CC98AA3A9244957646327C7F9E1886E2222DE5E4E509E99976EC3887399A286,【冥夜】「…<03>…<03>…<03>…<03>」<01>
5629,pm:static:photonmelodies11.rio.004:0131862200:00148338,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BEDE8098AEEBE95FFF051BEFAC63DE7D9F0B8808680FD6B4174D9840AAD58154,…<03>…<03>。<01>
5630,pm:static:photonmelodies11.rio.004:0131862200:00148362,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,91B83448ABEF00975E4ACB5ED0CFD6EA354222AF015F4C680BC4C9EC59595A94,…<03>…<03>…<03>…<03>。<01>
5631,pm:static:photonmelodies11.rio.004:0131862200:00148400,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,E93E720BC42AEAB5B98DBE483097619C112D02F2B2E430F965C3544AA359DDDF,【悠阳】「…<03>…<03>…<03>…<03>」<01>
5632,pm:static:photonmelodies11.rio.004:0131862200:00148466,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BEDE8098AEEBE95FFF051BEFAC63DE7D9F0B8808680FD6B4174D9840AAD58154,…<03>…<03>。<01>
5633,pm:static:photonmelodies11.rio.004:0131862200:00148490,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,91B83448ABEF00975E4ACB5ED0CFD6EA354222AF015F4C680BC4C9EC59595A94,…<03>…<03>…<03>…<03>。<01>
5634,pm:static:photonmelodies11.rio.004:0131862200:00148528,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,5CC98AA3A9244957646327C7F9E1886E2222DE5E4E509E99976EC3887399A286,【冥夜】「…<03>…<03>…<03>…<03>」<01>
5635,pm:static:photonmelodies11.rio.004:0131862200:00148594,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BEDE8098AEEBE95FFF051BEFAC63DE7D9F0B8808680FD6B4174D9840AAD58154,…<03>…<03>。<01>
5636,pm:static:photonmelodies11.rio.004:0131862200:00148618,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,9A4C54B263CB3C58B175C55A0D5F3C4C55B5594BE4DC7A5A418872D3478475A5,【武】「…<03>…<03>…<03>…<03>」<01>
5637,pm:static:photonmelodies11.rio.004:0131862200:00148684,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,FE42BD61492959ABAA28E39C4F37653E09F7FE1CBA5A8C359C36D6DF709E091E,我知道不经过这个房间就没法出去…<03>…<03>…<03>…<03>。<01>
5638,pm:static:photonmelodies11.rio.004:0131862200:00148928,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,6F53601F181850F5CB850E1698737E2E876D0B094D7F5EDD358A46ABC4269EA6,…<03>…<03>现在才六点啊，<03>喂。<01>
5639,pm:static:photonmelodies11.rio.004:0131862200:00149066,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,30313BEF0F693BA8B2D25CCF60E57479360FC5DD376DB6EFE47838FE0B7366BE,【武】「喂！」<01>
5640,pm:static:photonmelodies11.rio.004:0131862200:00149120,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,CD884B1AA09DEA985E04708643AC8E850E7E73E63289EAD427EA0AFCAC30DA8A,【悠阳】「武先生？　您在这种时间醒来，<03>是发生什么事了吗？」<01>
5641,pm:static:photonmelodies11.rio.004:0131862200:00149326,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,9A4C54B263CB3C58B175C55A0D5F3C4C55B5594BE4DC7A5A418872D3478475A5,【武】「…<03>…<03>…<03>…<03>」<01>
5642,pm:static:photonmelodies11.rio.004:0131862200:00149392,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,9A229755BBCB0E83441B20417AA8DC447A9989811508D85FBCB2774EEBDB968E,【悠阳】「武先生…<03>…<03>？」<01>
5643,pm:static:photonmelodies11.rio.004:0131862200:00149474,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,85B5529E1A90B21C6BEEB4A14BAB17DBE3F9C39C3188B9102321BF8D56F51A30,"【冥夜】「嗯？　醒了吗，武。
早上好」<01>"
5644,pm:static:photonmelodies11.rio.004:0131862200:00149634,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,BE6D39AAC94561E8D74A20CA61A4FABD7EE48DDA6A20CE59719A48456A1DD15A,【武】「…<03>…<03>你们两个，<03>从刚才开始来回走个不停，到底在干什么啊」<01>
5645,pm:static:photonmelodies11.rio.004:0131862200:00149844,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,B331B5EC2B09AB075F053C062A44DEBEC25FC9C9CCED6DF96735E5D2911663FF,【悠阳】「当然，<03>是在为旅行做准备」<01>
5646,pm:static:photonmelodies11.rio.004:0131862200:00150004,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,AF55583B409F008A33188ACD2CB8FBDCD12BA06B5E5EF6C43777E4BD00E019F9,【冥夜】「嗯。武呢，<03>已经准备好了吗？」<01>
5647,pm:static:photonmelodies11.rio.004:0131862200:00150180,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,C86884E188D1426E64CF910CBEED91849D3B735EA9AFBB8DC35D0F3E49E0CF7E,【武】「我早就准备好了…<03>…<03>这种事交给月咏小姐不就行了吗？」<01>
5648,pm:static:photonmelodies11.rio.004:0131862200:00150510,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,A50FBD110442668C6598D3F75550D3F7AFC495E317B4A6DDD9BD674C61C03683,"【冥夜】「别这么说。
我想亲手试一试」<01>"
5649,pm:static:photonmelodies11.rio.004:0131862200:00150714,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,B8BFC7D386348A1FD07B78D40EA09EDE54D3BE2016DA35FBCC045C4F151501D5,【武】「悠阳也是？」<01>
5650,pm:static:photonmelodies11.rio.004:0131862200:00150790,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,803E471775922AB9EB87FBFA286694DE1F003313D6DB9EE8948C3905F0DDEAA9,【悠阳】「是的，<03>我从没想过，<03>亲手搬运自己要带的行李竟会如此有趣」<01>
5651,pm:static:photonmelodies11.rio.004:0131862200:00151120,photonmelodies11.rio.004,crsa:photonmelodies11.rio.004@131862200,9A4C54B263CB3C58B175C55A0D5F3C4C55B5594BE4DC7A5A418872D3478475A5,【武】「…<03>…<03>…<03>…<03>」<01>
