binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:cstring:photonmelodies11.rio:637744:444,cstring,\Aバックログを閉じる,[],,4a3c51621f4facff5427f7d7d0fc401ae05cfc92c8113087125e2db3218c5faa,
pm:cstring:photonmelodies11.rio:1339066040:3415,cstring,Muv-Luv photonmelodies,[],,1408a2dfbc04cd96e179e231229bea632bc5aa4da0cd24f84813f2c13f649ac4,
pm:cstring:photonmelodies11.rio:1339066040:3500,cstring,返回至游戏标题菜单界面,[],,aad8b191d7878fc19580d7855384448c274ad8f4440624c3babff46a726ac6bb,
pm:cstring:photonmelodies11.rio:1339179508:415,cstring,樱花盛开之前,[],,ab81097ab0342c031a05bb4653e143ae728a1c780569a026ab940803b5398932,77f03f677438ebc00f5460034a9c227f523424803d751c10eb104c124935f0f6
pm:cstring:photonmelodies11.rio:1339179508:523,cstring,和小武在一起！,[],,3396be9c718d8a4b9cd7d2407e39d3419f3cd35151ef544b1be7ab362b300097,ea684da2bd9caff263f37a76a58d4ea3b008d0241c33f09adceab0d3300b17cb
pm:cstring:photonmelodies11.rio:1339179508:649,cstring,小武哥的尾巴,[],,718df85ded900a37305b736c0b1e7d9abd561045c4fe0edef4c78ac64745b4c0,b9d5da98e27665fac92c6f4a278fa4eb5750b7720d9fbdb6008956acd01edb7c
pm:cstring:photonmelodies11.rio:1339179508:759,cstring,白银同学，等一下！！,[],,b9542dcbdb6a59b40a3b1b078e0bf2c710a224723a5d3316fa10c40f9327850d,1187bf03078bd77f84e2b18ebf029ec1bc301f4ece6844163a3573af06b0ce01
pm:cstring:photonmelodies11.rio:1339179508:875,cstring,白银……在吃吗？,[],,a9a1451d9de4ceaf4cd3e4b975e1729b8165d6e51ca573b7539ed448808b1668,faabcb05fc34da9c4874c7abe2a6f990526b47b51187a11870efb4e77fac0dac
pm:cstring:photonmelodies11.rio:1339179508:995,cstring,其名为武,[],,c71116323f0129e53b767ed5b48e83042c1f344d27f603bec2032f70b1276d36,88c71f785067563c12f6f1e82efe961cf541e72e88bb536394d28745bfd4acb9
pm:cstring:photonmelodies11.rio:1339179508:1101,cstring,我名为冥夜,[],,45e12a047072307f52337a8ecbf1077e69fa52387bb55f5f7d20d2c3673b4a0d,72538bca4be13e25c2616408654d56fe943c62075f18102f2ab5a090caf70cef
pm:cstring:photonmelodies11.rio:1339179508:1205,cstring,编年史～赎罪～,[],,3a28833c6c9470680dcd7a7947d3f02ff3c73bb4075b8ea40ff7e8e50943d8a5,90a52396c7a3b0a4034be674a655b45f43819f25c8ef2c3efbe4fcf0670f1841
pm:cstring:photonmelodies11.rio:1339179508:1303,cstring,雨舞者,[],,7e6efdc4ae85a4fbb610ad169b2de2ad3022132214a79100bab16c40c536a2d4,8a6e2bad5623cfe763e7ecdad0c8c3166f3193f342a27023eeb028c76c021ffc
pm:cstring:photonmelodies11.rio:1339179508:1405,cstring,编年史～告白～,[],,37d11fe13b2b9f253a1c41111a66d9f067e8686c3a02e1e374ada1ed212fa1cd,a43dce5a4681791d5e7d25f3886a3a644ceef368c5fc250a4d54883098469194
pm:cstring:photonmelodies11.rio:1339179508:1507,cstring,编年史～继承～,[],,1a12b16554c29d3e99febf91afe6bc8fb7a37035c6900c19b41e298af5e45404,9f0c392fa6116f32713c79b9167714b59834a159ce2f7b160c142f49b0bc2040
pm:cstring:photonmelodies11.rio:1339179508:1609,cstring,小鸡潜降兵,[],,fe621c0bce1095add4506f0b8b8b4a5cb6c9fc94755ea3e89fc8b4fa65ceded1,7e4658f58b4a36fca961ef8824b1aeab2b27b27db14805fa44e88d6c9d8232f6
pm:cstring:photonmelodies11.rio:1339179508:1715,cstring,时空的欠片,[],,d19629dd9be3075ec4e9e475d831ce1a416fa9d858eafdc6b8201fbc825a7630,69b725cdb6d83f39f7c52a7a72e29cef55fac9489dec8cfb827edf49af9e2e0c
pm:cstring:photonmelodies11.rio:1339179508:1825,cstring,编年史～憧憬～,[],,fb96dbbfe7be40a10ed2ddbf313e4539f9c188431a83abb720bca53ddff091a9,1f43e34b07fcbbc9393399fb9d6860348faa6863f95120c24094d0c1f8a210fb
pm:cstring:photonmelodies11.rio:1339179508:1923,cstring,编年史～再诞～,[],,bba00186882fbcff4da543111c0aeb32203a0f97eb8cbc9cb0bfa2f4cf7e66cf,7f65e66d7b992f00e39bd0933f6ed9732c99bf22e061c0fbf46af3aeb1c52bc0
pm:cstring:photonmelodies11.rio:1685841352:433,cstring,正在检查<0A>系统数据。,[],,8088f8057945d082b65a219cc85154a5e73bfdb9df9e9e35ca8894ec63212edd,e1c59fa2eac61063b31662f44477fd76c39d63944b01fdd904405998a68b26c8
pm:cstring:photonmelodies11.rio:1685841352:712,cstring,该系统数据属于其他用户。请退出游戏，并删除“,[],,c013ec93ec7a8f8dfd3c780fbce21db4cbad9b1a1837cb5e2046e66c1f9983ed,
pm:cstring:photonmelodies11.rio:1685841352:881,cstring,”的存档数据。,[],,edfe87bcb989de2cdb91a00ac81cde0c09c03dbabbfa14b37af027f85694f216,
pm:cstring:photonmelodies11.rio:1685841352:987,cstring,该系统数据属于其他用户。请退出游戏，并删除“,[],,db59b91d1bf60ea514718de989bae4b9f79b90c18690d1050b824a2425fe2f96,
pm:cstring:photonmelodies11.rio:1685841352:1223,cstring,”的存档数据。,[],,d80945a45a731d09848b64f7f02f0de1e1ee1ca4e945ae7b3b0030e6ce98801a,
pm:cstring:photonmelodies11.rio:1685841352:1315,cstring,如果继续开始游戏，将无法获得成就。,[],,d5d1b9cd8cce69ffed9b2ad39ae203455b147faa3f78b8097b365cb603dfaefa,9b3c207b48706816d9c02e388269b7930f92da0288e460dfc34e83d2139d8bd9
pm:cstring:photonmelodies11.rio:1685841352:1626,cstring,系统数据不存在，<0A>将以初始状态开始游戏。,[],,1435ecabba6376c4a08c375f17952cbba512a512e0446fd8bb78604c77c09c91,1b8663e08de7696059b1a726ff9df27e45ee302a11499dd20f0a825388addb30
pm:cstring:photonmelodies11.rio:1685841352:1926,cstring,系统数据已损坏。<0A>要重新读取吗？,[],,70459998121f853639ac08d8d122ff3a06550497df4483a903b7404f8b3eece7,4c090c9a3e60c5ac7c27836168f66982401a47a94cc498dd6343f6c547b97a64
pm:cstring:photonmelodies11.rio:1685841352:2242,cstring,以初始状态开始游戏,[],,4ff89e72274233c2c8ee1966f80eec6323423f18e1c4a553b7e144b39120921a,8892eff514291d2952f4daec93071761a8d42e49e6ca6bae40036547cad1ecc4
pm:cstring:photonmelodies11.rio:1685841352:2450,cstring,系统数据已损坏。要重新读取吗？,[],,e144034766792e1a66f41a46ef7426c93cb409052429e94b506fe7baa56a2d60,73cbd3b14b7d4791f96c7fe1c24a603ed36fbccd7f044b6c39abae921956cadf
pm:cstring:photonmelodies11.rio:1685841352:2687,cstring,以初始状态开始游戏,[],,4ff89e72274233c2c8ee1966f80eec6323423f18e1c4a553b7e144b39120921a,8892eff514291d2952f4daec93071761a8d42e49e6ca6bae40036547cad1ecc4
pm:cstring:photonmelodies11.rio:1685841352:2866,cstring,系统数据读取失败。要重新读取吗？,[],,576485240e8724d6e7fa9534b1f4f8efdcf73935d204d34e2f57b17b04cc23af,73cbd3b14b7d4791f96c7fe1c24a603ed36fbccd7f044b6c39abae921956cadf
pm:cstring:photonmelodies11.rio:1685841352:3109,cstring,以初始状态开始游戏,[],,4ff89e72274233c2c8ee1966f80eec6323423f18e1c4a553b7e144b39120921a,8892eff514291d2952f4daec93071761a8d42e49e6ca6bae40036547cad1ecc4
pm:cstring:photonmelodies11.rio:1688114244:1211,cstring,无数据,[],,775d6f99bdddbd9ced6c132a93407a767da7f1eec0fe0ee8138012ec9794cf91,
pm:cstring:photonmelodies11.rio:1688114244:89802,cstring,存档时间,[],,bd6a386a3139ce3fe24bc9dd36f9ec1f6f84677a3a2374bf692ac0356ee8e05a,1faaaba346b39ca8231b182483104fa929175cace17634b063169e42ca7b5d61
pm:cstring:photonmelodies11.rio:1688114244:90700,cstring,%H时%M分%S秒,[],,825f002d9d7b1008b0a5527f125ab5fa82fe48c37be44a8d8b83aa09e34c0d49,16e212372fa49717d8014a587cddce532417071b7e4f3f9977dc7b38cdc434b4
pm:cstring:photonmelodies11.rio:1688114244:94454,cstring,存档时间,[],,bd6a386a3139ce3fe24bc9dd36f9ec1f6f84677a3a2374bf692ac0356ee8e05a,1faaaba346b39ca8231b182483104fa929175cace17634b063169e42ca7b5d61
pm:cstring:photonmelodies11.rio:1688114244:95352,cstring,%H时%M分%S秒,[],,825f002d9d7b1008b0a5527f125ab5fa82fe48c37be44a8d8b83aa09e34c0d49,16e212372fa49717d8014a587cddce532417071b7e4f3f9977dc7b38cdc434b4
pm:cstring:photonmelodies11.rio:1688114244:99106,cstring,存档时间,[],,bd6a386a3139ce3fe24bc9dd36f9ec1f6f84677a3a2374bf692ac0356ee8e05a,1faaaba346b39ca8231b182483104fa929175cace17634b063169e42ca7b5d61
pm:cstring:photonmelodies11.rio:1688114244:100004,cstring,%H时%M分%S秒,[],,825f002d9d7b1008b0a5527f125ab5fa82fe48c37be44a8d8b83aa09e34c0d49,16e212372fa49717d8014a587cddce532417071b7e4f3f9977dc7b38cdc434b4
pm:cstring:photonmelodies11.rio:1688114244:103758,cstring,存档时间,[],,bd6a386a3139ce3fe24bc9dd36f9ec1f6f84677a3a2374bf692ac0356ee8e05a,1faaaba346b39ca8231b182483104fa929175cace17634b063169e42ca7b5d61
