binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.002:1214091360:00000372:00001,cvm,【清十郎】「……你说……什么！？」<01>,[],layout_only,0acd821f9a044583d2ea849a28822bca7eef8c9ced2a74327919c32383d6acca,f3911e27a508e371c99164df1b74cb2ebc748e64bf01a859606a368a9ddc34e6
pm:vm:photonmelodies11.rio.002:1214091360:00000652:00002,cvm,走完从军用地下铁路站台一路通往地面的长阶梯，<0A>眼前竟是一片泛着乳白色光芒的异乡森林。<01>,[],layout_only,bb338c852303aea09ed03221afc51f99a4b76e7ee282e0997c950087e17a9ce2,49fce533cc17b1b37334c6c1c99c3ed347d896b3653c292cc38e864a19dfff2d
pm:vm:photonmelodies11.rio.002:1214091360:00001132:00003,cvm,这里是激战正酣的欧洲最前线要冲。<0A>是号称守护人类的要塞线、声名远扬的多佛基地群。<01>,[],layout_only,6fcc694ecbc5b70cef28557128fedb53cb6b706b6a1350d807165f3a063ae36a,fc728204836f58caadc473f201c54e3085393694b33bd2962483b7bcd5f31b50
pm:vm:photonmelodies11.rio.002:1214091360:00001176:00004,cvm,――可眼前这片美丽而梦幻的景色，<0A>和这些词所唤起的印象相去甚远，<0A>让我一时有些不知所措。<01>,[],layout_only,826940a8186f63d91d8ebd3b18757a5d01c6c0e7af66e84fa2e97e8cfd40b8b7,7e8a4cd0dbaa7bcec6a1cebc01d1e48eef842e16f9a1fc578d8cce87b27b49c5
pm:vm:photonmelodies11.rio.002:1214091360:00001220:00005,cvm,不，这哪里只是困惑。<0A>说是气势被泼了冷水也好，期待落空也罢，<0A>怎么形容都行。<01>,[],layout_only,585fb131ad9be2a7460265237a34467af8a0f4d08a0121aec93b52a2df4d7747,7846b68a8b22dc1ecf065cbea48ca5ad447bfbaf45580c13510f0ef5445c7090
pm:vm:photonmelodies11.rio.002:1214091360:00001264:00006,cvm,我千里迢迢远离故国――<0A>作为帝国斯卫军士官候补生代表，也作为真壁家的男儿，<0A>本是抱着破釜沉舟的觉悟前来参加海外视察研修，<0A>却被结结实实地泼了一盆冷水。<01>,[],layout_only,a8397f84b970fd6978906dffbeb1365858d8c68f98fe38c7542e88cf3f0e1b20,fcd3b9a05e5b6479afeb16014205b2cc41f902b96eb49b239cb4b0289aa411c5
pm:vm:photonmelodies11.rio.002:1214091360:00001308:00007,cvm,更何况就在刚才，还发生了列车因运行上的差错<0A>比预定时间早到一个多小时这种“好兆头”，<0A>这份落差便更加沉重了。<01>,[],layout_only,8f2f6684e11cc9b755ace5ee43dfd79c5bffdd4d3498e4288d6f2332c4eeb999,f379ff4665fda2625a361fd428cd6af30f982012c878999ef5d3fc064bc370b2
pm:vm:photonmelodies11.rio.002:1214091360:00002188:00008,cvm,唔、不甘心……。<01>,[],layout_only,7be148fbea0012ccfedea24f18838340a1f48ce28d275f0ea420da5ee0494878,0194bac6184d9bda0c3853a52e880e3d0f1839c8126e3f1a5125e9c06abac2f0
pm:vm:photonmelodies11.rio.002:1214091360:00002232:00009,cvm,我原本希望开端更加冷硬、更像军用设施，<0A>带着一种毫不留情的紧张感。<01>,[],layout_only,535ded0e57df5f9337ee4c3974e44a15a1bf9d3bae7854af9aac6c93f4f6c64d,12a3222c6fac6a82b315ebdc81e41c897e41847803ea1844ed719380f5f9f4bc
pm:vm:photonmelodies11.rio.002:1214091360:00002276:00010,cvm,而不是这种仿佛温柔抚慰着人的大自然；<0A>我想在欧洲刻下的，<0A>本该是硝烟弥漫的钢铁与强化混凝土城塞――<01>,[],layout_only,52db5200cb5dbed54f895e723a9cf3cee09dfb23c9be3e935663c5ac10610ec3,cb0398d058e133e9c9f5523e02a66e4e67f05ffe9acab380d423ee9fcf9d1796
