binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.002:1544313288:00000676:00001,cvm,——小武——！<01>,[],layout_only,7f62a8537932efe39dddc1e12fa632c5a40858a696bbba6977846c6f6d331f9c,818a4ec587efb92c515b5f68ec18beeb7e523adfd5f3cafa328e0ad24264c253
pm:vm:photonmelodies11.rio.002:1544313288:00000732:00002,cvm,——小武——？<01>,[],layout_only,9b55ab9cfe1eae2a7784d3df37bb5db6feb8460b64395528fed34504dd61e207,8c2d7f3e7db1c31d27e264f906d1c0fe3cdc138ae38a67922acaa3062354c23a
pm:vm:photonmelodies11.rio.002:1544313288:00001040:00003,cvm,——小武——！<01>,[],layout_only,7f62a8537932efe39dddc1e12fa632c5a40858a696bbba6977846c6f6d331f9c,818a4ec587efb92c515b5f68ec18beeb7e523adfd5f3cafa328e0ad24264c253
pm:vm:photonmelodies11.rio.002:1544313288:00001084:00004,cvm,嗯嗯……<01>,[],layout_only,90d6862b513126d0d08090b28e5a98b95531106f2612cfb1778463766f9ebc82,d0c911a699981dcd5458bd30c4a8a1843c85828fdff0e9d68a58f23a2cdaeae3
pm:vm:photonmelodies11.rio.002:1544313288:00001140:00005,cvm,——小——武——！！<01>,[],layout_only,dc27f875e41d8041b0a1a888420782dff89afcfd6d174c72b26e270a04702130,113285e74327fbc228cfe773bc782a9a71fe3637d368670bb80398b9c8ab1601
pm:vm:photonmelodies11.rio.002:1544313288:00001212:00006,cvm,嗯嗯嗯…………<01>,[],layout_only,8ec07a65fb9d78c1e3b70637f278ec2a91b55b0cfd18e3d7062f47f7d515019e,885f2cfc14315834b7a64a30aa11ece6d0939bb72da1a9db6754b0434bc325fb
pm:vm:photonmelodies11.rio.002:1544313288:00001268:00007,cvm,【声音】「嘻嘻！今天也打起精神去叫他起床吧——！！」<01>,[],layout_only,bd4bbeeec324ce959d07dae131caea3c338d02bf620a3ca142317e6deed93c75,f9edbf81414deff09504deec2361dd2b826eb6e47a582952bdc7b43822936e6b
pm:vm:photonmelodies11.rio.002:1544313288:00001572:00008,cvm,【武】「嗯嗯……嗯啊～～～」<01>,[],layout_only,954b5a3e7936697cc18554687b0d381fbf2358804a9ee0d4c9bed9fa0bac91c6,1520699f7777be6dce25ba226107bf7ad9cdceeceeb8115c29914e39a9632419
pm:vm:photonmelodies11.rio.002:1544313288:00001928:00009,cvm,【武】「…………」<01>,[],layout_only,770975bc8d76964cd0683d1a3ba2ec947971272f34819d29aa5c66d3964a88d7,6a17c608647a040376434d02fd50f1e4124a141fe417bdc98ba4d3f27bdee35c
pm:vm:photonmelodies11.rio.002:1544313288:00001984:00010,cvm,【声音】「你终于醒了……武」<01>,[],layout_only,cd31d15a0a669becd49d559e8b7514c9d94bd7d7727dcbf41ac4483ef46b2d77,6c7a4be278b162f6cf5d5543622530c47e2c8a5cd078a67f9868dfe1b41bf893
pm:vm:photonmelodies11.rio.002:1544313288:00002056:00011,cvm,【武】「……咦？」<01>,[],layout_only,7638c2ca4d5d7a9e551fc21d7003fced312f974fec0b8fafadf4e0d477f938b2,a2515ecc76de6f227a6b597c406a361dbd8a5ab9c14860c3532a4572b2a07ebc
pm:vm:photonmelodies11.rio.002:1544313288:00002112:00012,cvm,【声音】「也请您把脸转向我这边」<01>,[],layout_only,4d10d9405354e622dc9f7643217f16e16cc6d39566e878678ff8e9e11b8baf5c,62fd07995ea85967c2f409b39cd0f3e01916982c5686056184e7a3b289609006
pm:vm:photonmelodies11.rio.002:1544313288:00002416:00013,cvm,【武】「……哈？」<01>,[],layout_only,81064aeb3e41be3e444bbb2a926b21c20ae366dece0a033ca51f6e23b4e6357e,c8b420bf9d6f45a8711cac097d094cf782ae664f9e21e8f5a78366d0a15b7e21
pm:vm:photonmelodies11.rio.002:1544313288:00002520:00014,cvm,【悠阳】「……您这是怎么了？」<01>,[],layout_only,e06ff224aac59d9898176e9b30bc168f32817667828819cd8a0e7fd3051968c9,6d69059a7ded618dc8b0c475ea10b72f420c557eeb8b11a8af4982d95b9e1318
pm:vm:photonmelodies11.rio.002:1544313288:00002564:00015,cvm,【武】「不是，呃……还问我怎么了……」<01>,[],layout_only,5da9ebd0a88ec2bca34e5182d711356952f46c0dbfb1f66ee4c7dd9c52565b07,dedd517944d30124ad00c613a9269d39cb267f987cb01520620710cb837bd58b
pm:vm:photonmelodies11.rio.002:1544313288:00003076:00016,cvm,【冥夜】「姐姐，武是不是还没睡醒？」<01>,[],layout_only,836847cc24a403b5489c2b210da28ba43b473f7bb27145ae269d96de889f6553,51ae6cc1f9abaf5cc52cc90232ff7112a98988094da854198b8cfb86e3c36faa
pm:vm:photonmelodies11.rio.002:1544313288:00003328:00017,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.002:1544313288:00003384:00018,cvm,【悠阳】「也许是呢。哎呀，武先生，您的头发睡乱了……」<01>,[],layout_only,b8ddd7e6fe19a882b33c3482fa37064dda12c5d9f88c7139359e8c07bdd2bc91,3e0c19dc7d26722a540ba81db4d559580e273ff56006def60920b0eb27521f0d
pm:vm:photonmelodies11.rio.002:1544313288:00003660:00019,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.002:1544313288:00003920:00020,cvm,【悠阳】「不过武先生，差不多该起床了，否则上学会迟到的哦？」<01>,[],layout_only,a409ecbc8c2af93e4acb4bf47ee5825d67b88605a8f1467e429fac95ccbd104d,002cc9e110825ad1beae8ba6e78103aaf08838c8e8364a2da412ff8c6e2d17c8
pm:vm:photonmelodies11.rio.002:1544313288:00004016:00021,cvm,【武】「……嘛、其实我早就知道了……」<01>,[],layout_only,d8560735c4559dfdb91be30ccf37e2cf8384312a90a0a3d889e0b5ff5998c442,b16fe504f77cb583fb5d78c763d653a8cb9e5c81b1f7dc0ca1ece387f3e991b9
pm:vm:photonmelodies11.rio.002:1544313288:00004084:00022,cvm,如果这是一场梦该有多好。<01>,[],layout_only,4d59f60f5609f8b33a60e420b4ab9c538977d18b5435b6ba4a8bacb78ee7dbc4,efa47c2357ff6bb6413004d299ccd8a7a6522a4786d8b78b8b59fa2dc3ca597e
pm:vm:photonmelodies11.rio.002:1544313288:00004328:00023,cvm,【冥夜、悠阳】「……？」<01>,[],layout_only,e589ecd1b3dc04b81e1200aebca1b97ce036e3995d60ce3a608cbfa56cfbc99b,1ecdb83395118bf37ddeefe97e2672bc1c569ccc1b40ba004e8b0b77f48aea03
pm:vm:photonmelodies11.rio.002:1544313288:00004460:00024,cvm,这种话…………。<01>,[],layout_only,04a7b52664dc11853642537335da29463ab74f7a3c55392f7eba276a2cb0504d,af16b76e25e4202e5522eea9bc8725eaba451a9fb08e54e24f503017d09f3f8e
pm:vm:photonmelodies11.rio.002:1544313288:00005088:00025,cvm,现在根本不是说这种话的时候啊啊啊啊啊啊啊！！！<01>,[],layout_only,f7052ce08d9ada9d2d2fe66b9fce91d3dc09c05acee4dcfa066dcf8687337d74,bbc8cbc6f4e54c3233c482aa7e5efb6ad885c8f805ac493cb1c8ba2f51ef54f1
pm:vm:photonmelodies11.rio.002:1544313288:00005348:00026,cvm,【声音】「来，小霞，打起精神，一起上吧——！！」<01>,[],layout_only,7e9ad49f16bd72be0b95e9d8d6ace8f606638e1ce7fa8e8c045087a88f833637,80dbe5cb8546f2cb6546e44d3b10469edc9c368bd739c1491a4ca055ece94728
pm:vm:photonmelodies11.rio.002:1544313288:00005528:00027,cvm,霞、霞也一起来了！？<01>,[],layout_only,94dc7359cc0a3596cf29141dfd22021b402939c760ec04f690d54ac44c0caa97,b3b2f428e335a50a1e42e0ebf6d1f11a32204337cc2bf597189a47b27654c5ff
pm:vm:photonmelodies11.rio.002:1544313288:00006316:00028,cvm,【纯夏】「小武——，天亮了…………哟～…………」<01>,[],layout_only,f5e3867a83bef29d9c142e67537a7c80629131cfbc00d1f6d057cfa95c7b7a35,f76506ca83e2c9b6384557089b88ecad76aca241500fbcf040c53eb5e7312bf8
pm:vm:photonmelodies11.rio.002:1544313288:00007312:00029,cvm,【武】「哟、哟，纯夏……」<01>,[],layout_only,e55c9f50ca91f258a8b8b08da3bbe956b62b0617463723d4cea31d98d64d5d9b,43b1ee1e7572bb05663e5c4217c466ef0bb65a280009e86346266adecbbd9a23
pm:vm:photonmelodies11.rio.002:1544313288:00010168:00030,cvm,【武】「哟、哟，霞……」<01>,[],layout_only,f34878dad92de181c18ec369ab9af12681bbba37f05e7755932d3273d3bfbdea,33173bb5877389d3604af16385ef81342b97ea7e9f1e663abcc0936ac7b3d63a
pm:vm:photonmelodies11.rio.002:1544313288:00011188:00031,cvm,【武】「等、等等，纯夏！这是……」<01>,[],layout_only,0871254a33e21043cac8e9c59bbe98b39ae3201ea8ffc0619195cd88c013f53b,0481a54a4ada9eeeb645720c84ce38a46f1be42ceee2ac95cde04a07e114bb48
pm:vm:photonmelodies11.rio.002:1544313288:00011268:00032,cvm,【纯夏】「……为什么……又·变·回·原·样·了——」<01>,[],layout_only,b1555c602dbe16f1194567fa0113e9b0575700c52a194b24476d69c546c6fdd8,3a52ca2b845d2df8e09470169a4d1d74e63caa54fb09c6d07d941abccdee01d1
pm:vm:photonmelodies11.rio.002:1544313288:00014456:00033,cvm,【纯夏】「——呀——————！」<0A>【武】「咔哩哦――――――――――――！！」<01>,[],layout_only,e5c7c375089a5f36e8b3c4e01c3bef280f4bfb614eb8d1fe51c10276cf1ac85c,2aaab4a075392ba55436c2f2b1024c2c8760f1b1ffc5e08e9cfb022d335ec2cd
pm:vm:photonmelodies11.rio.002:1544313288:00022692:00035,cvm,【武】「疼疼疼……你这家伙，我脖子这边还不太对劲啊……」<01>,[],layout_only,ad5ea78b3a18d8d674a27a94fe682fabf53b0aad99cac66f473a30db81a52998,e2347e538b8b49f3458f0fe246154c3ac65c04ada8d09a531d9f5c98463585e6
pm:vm:photonmelodies11.rio.002:1544313288:00022924:00036,cvm,【纯夏】「怎么又变成这样了！？」<01>,[],layout_only,aff3882e32d3a7692a87b13c4942d99d7780c0b254e26663a91754ef388e85fb,b3fb36f056cf4a7d0b95c3376112315435eb9cf7b17f33f58fc6abc522312a04
pm:vm:photonmelodies11.rio.002:1544313288:00022968:00037,cvm,【武】「别冲我发火！」<01>,[],layout_only,f36c6912256d8f547c6a91c6f728485b15aaadd647f181280383755e398dc069,ccbd251782a652fd2ba38d3d3d212ec2a496ef2b14c3a525338493215f6e08ec
pm:vm:photonmelodies11.rio.002:1544313288:00023012:00038,cvm,这种事明明我才想问吧！<01>,[],layout_only,08d294e4103be8dfaae5a1c9535fcc3d6d1a2329bd3e4f9dc32a81ff3d18d45a,5fdd693af326e8006ef1710b479434567c2e19e5d92784052c5ecc29afefbe01
pm:vm:photonmelodies11.rio.002:1544313288:00024040:00039,cvm,我那道“简明扼要又极具说服力”的“禁止睡在我床上令”，<0A>到底是什么时候失效的啊？<01>,[],layout_only,653dcaecfdb144886703905be1698a2d0e6895c78e79551644d626b45f5138e0,a9460ee68a034b211ac2326937f38a43d7ae12249e67480526c0bcadafffd3b4
pm:vm:photonmelodies11.rio.002:1544313288:00025140:00040,cvm,【冥夜】「……怎么了，武？」<01>,[],layout_only,f56b43c8ee45f2bc001f0fd16e47a78f63e0ccfa50f839c78d15579d44f620f4,4ecff4232682cbd6a7d98da99b3b44fb4a96306a81410a61328b074578b333e9
pm:vm:photonmelodies11.rio.002:1544313288:00026388:00041,cvm,【悠阳】「武先生，您怎么了？」<01>,[],layout_only,3e6a2e97e3ee19136cecf37e9efff383fa9529522fc9830d394fe2176bae707f,a82531657df53c1329604e3a9350b2642f26980eb4503398d9f2c156f37bb4a8
pm:vm:photonmelodies11.rio.002:1544313288:00027264:00042,cvm,唉～～～～。<01>,[],layout_only,241b80e3e92cb120482bcac6a0612580d2d7d7b0c1bae8749dace7af93ca92f2,a7a336106e53d1d1d0b7962166529dee6b1c28df46b8bafd4e97bccaa31d84dd
pm:vm:photonmelodies11.rio.002:1544313288:00027308:00043,cvm,她们一个个都没什么常识，可我还以为至少都还算听得进话……。<01>,[],layout_only,15aa5242a8007160582f9f2e8ab6604b97f9b60cae930633f893564485f84245,94da33c5a4845acd23d04f804fa23533e4967eab9d31264e36be56c3c9898093
pm:vm:photonmelodies11.rio.002:1544313288:00027532:00044,cvm,果然，从那天起，我的生活就已经哪里不对劲了。<01>,[],layout_only,5dc3f643c73b5cc1b512b2b3b6d491b3903b0b8ca709f03de8c63c11a728afdd,ff91b2782fe589205b3b75559fc1492bc4aea30dfde2555d4b55df060a41f3dc
pm:vm:photonmelodies11.rio.002:1544313288:00027576:00045,cvm,已经回不去了啊……再也回不到过去那些安稳的日子了。<01>,[],layout_only,d65396afe1d293916766aed9a15194d18e1dfb78e4f85afcc7bd57af70891de0,cc45850bf974bcb1db7b47da3a6e47afe01fbf2dd9f15e19e4171c2725d1c23c
pm:vm:photonmelodies11.rio.002:1544313288:00028008:00046,cvm,【纯夏】「小武，就算摆出那副神游天外的样子，<0A>也别想蒙混过去。」<01>,[],layout_only,671b144fc5c7930a326076a78a8199801cee9a90f827b9dc1e932538306bdf28,f85406028c1444ce3d570c3f6675ea7df9a79b13eae3f0508aebe69c26eb6897
pm:vm:photonmelodies11.rio.002:1544313288:00028052:00047,cvm,【武】「吵死了…………」<01>,[],layout_only,2fd8ddfdeda3548ce2d21e1ee8a5cf86b50353b9d8d2f0291c87ca50230c9b82,e899508177fb4461c88c7e9c715359bb7f71796a6e78acfbd8a5107943410c7e
pm:vm:photonmelodies11.rio.002:1544313288:00029548:00048,cvm,——那一天<01>,[],layout_only,f2bb5742c5b01a3d9f01d9921ebf48233ab9df4166d1fe6170b921ca1313a75d,185674b7d52609b83b7bd3de5054baec61ac1e051091708513eebd1887dbd25f
pm:vm:photonmelodies11.rio.002:1544313288:00029772:00049,cvm,冥夜和悠阳转学过来，<0A>说什么叫我冥夜就好、请直呼我悠阳之类的……<01>,[],layout_only,eb14ffc3e3eb5012a8601d989094c3be1543e08b0903cc2d173d21b82eac38d3,4707f4bab0c4c655e23100fd7ca5c6e86bde8fa78895f208e1ade7c0c9e2b2d2
pm:vm:photonmelodies11.rio.002:1544313288:00029996:00050,cvm,没过几分钟，霞也转学过来了……<01>,[],layout_only,10f99bf85a6be2a8d495cfff3a662980fca2826f49048efb84cf311779f433df,1f61dc283ad9ca594a433d3d1efc4491942ebae6048333c062de61178e5365ff
pm:vm:photonmelodies11.rio.002:1544313288:00030856:00051,cvm,一看到纯夏，她就突然哭了出来，于是场面整个乱成一团。<01>,[],layout_only,cf29ba16463c7ba2962228ad877b198c30d6bdc6e134d8449f4042b6822e5cd8,7e2131e4f30e96ed67a48403b6fe80100977229c006cdf9b0051d0d2f04885ef
pm:vm:photonmelodies11.rio.002:1544313288:00031080:00052,cvm,而且还被说成是我把她弄哭的。<01>,[],layout_only,0f54bf29a89a5c0484d1461a15fc9af96ed2efad65a451e4717c219a6e95f2b4,1f0245a8c065300189fdbd150a9b13725cd0ae433facb36c818f5ce8940e1d99
pm:vm:photonmelodies11.rio.002:1544313288:00031124:00053,cvm,而且在那之后，还净是些莫名其妙的事。<01>,[],layout_only,6db50e3e6dfd54928f3cf71c295cccceab738bb68b91891b657610c21128b295,ff4a12169c898eafc808baa134c8e0b5d62fcdbbf52c35b3c0a2020988724f9b
pm:vm:photonmelodies11.rio.002:1544313288:00031772:00054,cvm,好不容易回到家，<0A>冥夜和悠阳却不知为什么已经在我家里悠哉起来了。<01>,[],layout_only,8412f50067b490537f2bac6a43ad35534eefd177730673577a9161fa7db6cd90,ecfb899d981bcba022752d8d8e5496fcba606976a5246afb28133b917a793331
pm:vm:photonmelodies11.rio.002:1544313288:00031996:00055,cvm,甚至还拿着什么“不纯异性交往许可证”。<01>,[],layout_only,923a9449dc9a131662c533d810c10e77547860c171b5ec901c58d8a41eb8d7b9,7e5f2c3d322f8b299e6ac6d4fea7d6fa97be4c45c749a7fb6a1c3b477fd322cb
pm:vm:photonmelodies11.rio.002:1544313288:00032040:00056,cvm,小湖首相和老爸的签名……。<0A>结果连老爸他们，其实也早就被赶出去了……。<01>,[],layout_only,1f9325b46a96814169c7496fd8e3d6e06313bd03007314d82ea4b0a1144d10d5,19ae4b0c816314051ea7fa88ffc664ce00c68c227a9d2dd9027887c454c03d21
pm:vm:photonmelodies11.rio.002:1544313288:00032084:00057,cvm,……咦？<01>,[],layout_only,9303a969577ea6b3b136802f10d82a2297a80eb9d870f00d94ed5520c4532771,7f1eaac0d67d7b0dc5c62fe50dad34f51e9bb969bd6805a78c1e87ff1f87b215
pm:vm:photonmelodies11.rio.002:1544313288:00032732:00058,cvm,也就是说，早在“那天”以前，我的生活就已经乱套了嘛。<01>,[],layout_only,1f7510096f3b33eeb7311d6a60758cdaa1e607b059eab6188ec873200f10aa84,5aea24c87764d9a95e8c3665e1d4c53b323cef3d855f03d9cb9e223f7bc8e8ee
pm:vm:photonmelodies11.rio.002:1544313288:00032776:00059,cvm,……。<01>,[],layout_only,a8c0841fada26437e06edf4cc99a2f89302a31715e6fffabf09bae04dbbc9a80,8b9838ce3d87979c99406185b29994e51c8853c86ecd9f0c3a80843c34808661
pm:vm:photonmelodies11.rio.002:1544313288:00032820:00060,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.002:1544313288:00032864:00061,cvm,我发现了不该发现的事啊。<01>,[],layout_only,affd1d2a71060b4ece0c055b2cedb49b887918b1f3768d70f02d4387276584d2,6688d3e9312e676a06eab5f2f62c4f81e4ca6500400ff48d0065731ff4c87365
pm:vm:photonmelodies11.rio.002:1544313288:00032908:00062,cvm,不，真要说的话，<0A>应该说是被迫承认了自己一直不愿承认的事，这种心情才对。<01>,[],layout_only,fd64f2331dc20fd7ec70daea0946c176b912181af9ad97d547917e2ff25706f6,8f5459790da2ebab807b69a7374d27d501c2a2e1e4d0ed120bff495308200e51
pm:vm:photonmelodies11.rio.002:1544313288:00033340:00063,cvm,【武】「――总之！！」<01>,[],layout_only,66bdd9160e656dd6e70089dd4e22c2fa53d6a53a4675854b575000a74c258801,55970201b5a988b082adb2cc3d53b1e5fd7cf4f516de1c4daa592b99e46174d8
pm:vm:photonmelodies11.rio.002:1544313288:00033396:00064,cvm,【纯夏】「――呜哇！！」<01>,[],layout_only,e76f1f1eea3bde36d0a804d0e91cd8def2f4f86ab699c72aceb215d9bda2e24b,f5076be154dd61f9973dab6b350864082811e177bcecb4d8844d5cc863ccedd1
pm:vm:photonmelodies11.rio.002:1544313288:00033968:00065,cvm,【武】「你们几个，我不是说过，不准睡在我床上吗！！」<01>,[],layout_only,30976bb108b9fd5c59a157b953948673a6f5ab3f5cd3ebd1ab26ed8edc6513a7,dbd93d0884eb891c4ff615de655cdb73e15444454d68cb9e4c924ea77b29da7c
pm:vm:photonmelodies11.rio.002:1544313288:00034864:00066,cvm,【冥夜】「啊～……这个嘛……」<01>,[],layout_only,6c9ff3274717a217f6b2956751672f213eb65a4ba96128b9e5815405753b7bc6,73587f4659e7ce829193c3e21c8e8f38f9341ce74025ae1e49684d1c33777177
pm:vm:photonmelodies11.rio.002:1544313288:00034908:00067,cvm,【武】「你们不就是为了这个，才特地把周围的地都买下来，<0A>又盖了那玩意儿吗！！」<01>,[],layout_only,51f6e81235a992dde299087bab8abbed4cc1cd38793d0be2ac19178a4327c38c,a254ff880720c551b39b24b9f9518a30417d9b6d4cfbe5f77e4978dd0f144158
