binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.003:1487490840:00001452:00001,cvm,――诸君此刻，即将见证一个伟大时代的开端！<01>,[],layout_only,e1c9b66689d02508f4b0fca4e5339fa7b3201bcbd53f18d771d8fd111dd9cd1b,c8b79d3a9eaa8e971ff6080518ec0b56781c27dd2e83ebde3980bd24fde8640b
pm:vm:photonmelodies11.rio.003:1487490840:00001508:00002,cvm,――将名为“跃进”的利刃刺向“传统”的锁链，<0A>试图用自己的双手开辟未来——那份炽热的灵魂，<0A>终于将迎来回报！<01>,[],layout_only,e0ae64f2a7487d9fb41d23feba6d4d5899602b6a77d5edc57454802bf39ef404,62656761395edc78d3cb2a70a21339dc788803e8cc65c535e8db63b2b53dc578
pm:vm:photonmelodies11.rio.003:1487490840:00002428:00003,cvm,――我等诸君～，如今虽已遍体鳞伤……然而，<0A>那双眼中闪耀的光芒，岂不是越发神圣庄严吗！<01>,[],layout_only,85645923e0e08584e7e50b2a04dfe86a7579e367600daa4cf7b4c3553ae9cd1a,f196d956d83a759953596486ae69fd7849e00ec91a5175a8d9afd03d17df0186
pm:vm:photonmelodies11.rio.003:1487490840:00003352:00004,cvm,――诸君为何要走上这条艰辛险峻的道路？<0A>为何非得伤到这等地步不可！？<01>,[],layout_only,2fcd2b923fe401452557c6cf754fd6228f9a9eb42a5cc80d4e7df1f240b4f511,decd9d1ce260e16d64fd263ada02443b22522bd59d53c543db908caa628cdb5f
pm:vm:photonmelodies11.rio.003:1487490840:00004024:00005,cvm,――那正是唯有生活在现代的诸君才有资格经历的，<0A>名为青春的战斗！<01>,[],layout_only,eb0759c9799f8dc968d3fb04edfb9d8e466db90e305543a433737d238be3e04e,884055fbf297cde437ec733b81127936767c764379eff8bd1f81e6f59278b387
pm:vm:photonmelodies11.rio.003:1487490840:00004312:00006,cvm,【武】「呵……」<01>,[],layout_only,3bb2c7f1654def766ca45baf3dc9eb84ab0e5408f06730da59384fc59b69408a,e6c8c356cb2f84285dde64f5e640ffb7bca0316f6c908cb2d4fa5005f77df073
pm:vm:photonmelodies11.rio.003:1487490840:00004356:00007,cvm,呵呵呵呵呵呵呵呵…………<01>,[],layout_only,61665b07625a8c2309c0d6c1f920615406c1437766295ad037d9113678d0fb81,a6e53853835e7fed03085577b61191c1e98b89e479c718e5533c64e344afcf50
pm:vm:photonmelodies11.rio.003:1487490840:00004580:00008,cvm,这一天终于来了！！<01>,[],layout_only,8a1dcb6e21df29c2c343ad571346e47802f68d807966a6d20b5fd4b4454976ce,357b766344f2960be3d3fa28f3e1422182ecd1b381e529377b2143e3fb35fe05
pm:vm:photonmelodies11.rio.003:1487490840:00005056:00009,cvm,哦～哦～，一个个眼神都跟死鱼似的。<01>,[],layout_only,c060eb42be6224776d2e15ab610546e0d76b6eab9910222fb4be90f9e7802180,c583a817685b832ca5d7b7e324cf63c20b4b361f047e496c18f735898c6b4135
pm:vm:photonmelodies11.rio.003:1487490840:00005100:00010,cvm,你们应该再这样，贪婪一点，两眼放光才对吧？<01>,[],layout_only,1e854ff7e149d80f3786b939bc8ebe687d3f3f357e99cd36c488a63ceaa4c8bb,95b4a1b66c994d24ab0a923cafd1366193b68f65098f2c6939bfd6081e9e0e88
