binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.003:1808201404:00001076:00001,cvm,【武】「呼……真是的……来，把手给我。」<01>,[],layout_only,cb708fc3aec5e083265be31c6bc94108c1bb9cf5dfad750f1250ae58e4e9d389,ba5d1dfd062a77b1af9fdb7022a50a4c016cc4d8d91246db8b6919bc0dc8e906
pm:vm:photonmelodies11.rio.003:1808201404:00001416:00002,cvm,【悠阳】「谢谢您，武先生……」<01>,[],layout_only,cad5fd53843f0ca875f8c457466b3c6926438f5252c5b43fa3624b5da1a82d4f,5690cbbf833c87eb200932286b04cad44bf5efcc40b8464b6d9354fdacf38d09
pm:vm:photonmelodies11.rio.003:1808201404:00002484:00003,cvm,【冥夜】「――武！！」<01>,[],layout_only,e47941512444aaf599f4f77b25fdce878c85aaf9ec4f7598c0b2c97c549b4b5c,d1111a790fc79c7039907ca6e951c5186f60bd1ff69df2547c9fe44a083020cf
pm:vm:photonmelodies11.rio.003:1808201404:00002796:00004,cvm,【纯夏】「――小武！！」<01>,[],layout_only,e4d2c02c00338e4f2ce6693598dddd93a24f1464465d35e437e2435c493101a0,19457bbf224f9fe93f0757c700fbc66ca55f3adc2f80274829c48ae2c1b53ea4
pm:vm:photonmelodies11.rio.003:1808201404:00004356:00005,cvm,【武】「抱歉啊，大家……我们输了。」<01>,[],layout_only,bf411eca84ad6f5bfc445d1a3b6a3d83ffaf5f8249364b76d3ca6651a3c7f156,6d07b666722e8c04bf6e0452ec67b041e6ff87cd8b3fee765f4676fb791598c0
pm:vm:photonmelodies11.rio.003:1808201404:00004412:00006,cvm,【冥夜】「输赢倒还罢了……这究竟，是怎么回事！？」<01>,[],layout_only,e83ad115967f0b1d7c777234155b6e51995885076c0018961cfef8f1c326065b,3c0240e7f2bf1765f981e9b452741cdd8720f5c2fcd7837d3c3597ec467bf7be
pm:vm:photonmelodies11.rio.003:1808201404:00004456:00007,cvm,【武】「这个我也完全搞不明白……」<01>,[],layout_only,69eeffbd762b50aabcfabc9d43640d206a20129dc1d59ccf0f13bfb1a341e2e1,09ee2eb84063b9f5df095cff76d917cdf532366f8bdb60aa40225ec168a961e0
pm:vm:photonmelodies11.rio.003:1808201404:00006212:00008,cvm,【武】「哟，两位……所以，你们这场宿命对决分出结果了吗？」<01>,[],layout_only,45900a061f9abd4644d84d7bfa5d68aec4ecdb904235fbaba67f8dbacec58071,64cbc1689a2422020bd8bf585f46906fc3bdeadceda5935042558edd5268d232
pm:vm:photonmelodies11.rio.003:1808201404:00006268:00009,cvm,【千鹤】「――才、…才不是什么宿命对决！」<01>,[],layout_only,9d6b8b6cf3f79b6c18687b258f986b48c6f11deb8cc97a104cd3611ced2de6c5,c7cfde9d329b2b1a76eb90379c30922e85445932c1626a2ff25a56f88dd5464b
pm:vm:photonmelodies11.rio.003:1808201404:00006632:00010,cvm,【茜】「比起那个，到底是哪边赢了？<0A>感觉，好多地方都在打……到底怎么回事？」<01>,[],layout_only,683576d85c9bb646c645556b864740cf60a14129c01619b6d31421767238287e,cee890adfe7ece3b5cc541202318a73a5e77159d85440ea4a7f223d088b753e9
pm:vm:photonmelodies11.rio.003:1808201404:00006676:00011,cvm,【武】「啊～，要解释起来可能会很长――」<01>,[],layout_only,97e15843676be94bdb7dedd34b800541cd39d18a92973696903a1c69f24d95bd,9468466ba8f1521736a71552c1c2ffd4149b48ad18678378929dd13360082db8
pm:vm:photonmelodies11.rio.003:1808201404:00007584:00012,cvm,【筑地】「――茜——」<01>,[],layout_only,2541483d65b83039b6832e323ed6cfad6d6ae645adb47121655da27799bf4bd8,d51ff89ccc645c349596dd61b81e0edc58390930b1e325e3a28c50c9ee6834dd
pm:vm:photonmelodies11.rio.003:1808201404:00007640:00013,cvm,【茜】「――啊～，大家！」<01>,[],layout_only,b3d4575eeae4b22b06cd116db4c9cd0956ac14a68146798777f7b6e0066f86de,1390dd55ae40701112fe6c9631b4656d3b1aefd4bfc11fa3e5f8abcb1fe16223
pm:vm:photonmelodies11.rio.003:1808201404:00007948:00014,cvm,【筑地】「辛、辛苦你撑到最后。很累吧，没事吗？」<01>,[],layout_only,09ea76fa9ded4aae6a8e748035d5c09a0b856d1cd2d576f57639c4e9def63725,656168ff90327ad2324d672e5d749c689c3d5750f1849604a7956bf3d6b30d7b
