binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.003:1933169644:00001028:00001,cvm,……。<01>,[],layout_only,a8c0841fada26437e06edf4cc99a2f89302a31715e6fffabf09bae04dbbc9a80,8b9838ce3d87979c99406185b29994e51c8853c86ecd9f0c3a80843c34808661
pm:vm:photonmelodies11.rio.003:1933169644:00001124:00002,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.003:1933169644:00001680:00003,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.003:1933169644:00001724:00004,cvm,【武】「哟……冥夜」<01>,[],layout_only,67dfba5a51c1b6a5022a766b35ae52f5e29cc877db97ff80f5b9fb08efda19c2,3703ef1d4120916403899a8230003fa7ffb11eb9fbd793757235ab9d140f1d11
pm:vm:photonmelodies11.rio.003:1933169644:00002104:00005,cvm,【冥夜】「把你吵醒了吗？还请见谅」<01>,[],layout_only,ff3c037a910aa9209201cba71766cc144c187939dee1428d2027b0e024043f2d,6b0bb11015f50992ae1a1539026bd36c22aefa2c7e6e4f1f8444e1ebcad61a91
pm:vm:photonmelodies11.rio.003:1933169644:00002148:00006,cvm,…………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.003:1933169644:00002192:00007,cvm,【武】「不，倒也不是……不过，你在干什么？」<01>,[],layout_only,d106ad738dc5140248b032c92a98268dfe89798dbed8ac28641424c76406dea6,37a18d2e3dafd91abacbbc109567837a404648db18235b13c3d37f8e76592699
pm:vm:photonmelodies11.rio.003:1933169644:00002572:00008,cvm,【冥夜】「没什么，你睡着时被子掀开了……不注意的话会着凉」<01>,[],layout_only,0d8addc9638f102e48943925cc5a3924bdfe947f7d25028cd16daa263ac57dde,40b92769509c927a99eff1a212b55a1c3f0cdd2bd20ddde4dfec6b856bb37733
pm:vm:photonmelodies11.rio.003:1933169644:00002616:00009,cvm,【武】「啊，这样啊，麻烦你了……不过，我这就起床。」<01>,[],layout_only,61bdab31fd56a78560129ea8f51ee4c191a5aec3d6b4acb5dd6c3a1e672d0bea,7f42433be85bf51a93ac5e5bc24f931f5ca7ffd9e1008a4ead8cbbc17be2fdaf
pm:vm:photonmelodies11.rio.003:1933169644:00002672:00010,cvm,【冥夜】「好」<01>,[],layout_only,ae96c35712d7feda01376966f506ea4fccf1cd0d6047028ef13b5da2e5baef9f,1bd722d39ee6fc5420ed7f0c0123fe29262b3c83e68925709a04aa33ac510e14
pm:vm:photonmelodies11.rio.003:1933169644:00003228:00011,cvm,【冥夜】「但没关系吗？我想再睡五分钟也来得及」<01>,[],layout_only,571edab5fc0a95e11990a6a81d326bc91cf946d6cf07321fccb185c1f38985d7,56d1cb65984459d74377e3fc65e51d9d418eff7e6bb9878867d21783e28d9ed4
pm:vm:photonmelodies11.rio.003:1933169644:00003272:00012,cvm,难道说，她是为了那五分钟才帮我盖好被子的吗？<01>,[],layout_only,2c7fc2d4e8a5d9ebf948b28b4c81d3ec664c4210d959185581ca23ca822fa57e,767d1916669976103650ff6477b15dbc58aacd277f893df8a2f452941ac29d17
pm:vm:photonmelodies11.rio.003:1933169644:00003504:00013,cvm,【冥夜】「……怎么了？」<01>,[],layout_only,ad69caa0a3429e27c29f894d13fcc611d90eb9cd80f0e41f1c92e1a1402a3cbb,bfa68cd539909b66fc422e01871b45da708a65c4b5a87b732b0b56abc0b1c5c4
pm:vm:photonmelodies11.rio.003:1933169644:00003548:00014,cvm,【武】「啊，不，没什么……对了，纯夏和霞呢？」<01>,[],layout_only,dc56d6f79e9cb812ea71d66660f80cfd72a1f55fb98aeaf5e238e60c57464682,156d3fbae6d0cf6ebe635c7d20f0456943fc33760537d423475f334b04a1813f
pm:vm:photonmelodies11.rio.003:1933169644:00003780:00015,cvm,【冥夜】「今天没来」<01>,[],layout_only,9185e6537922d45edbb371ebc7abd4e03a1330233ab58efa4ea5c85242571c55,cc9083bf0ccaddedd25272beaf598fa299fe17c892e77e23c775f45b8dbbeeeb
pm:vm:photonmelodies11.rio.003:1933169644:00003824:00016,cvm,【武】「怎么了？睡过头了？」<01>,[],layout_only,1643ffe4eaf3afeaac4cc7cdf87eed17889acd81a5d3a041705c728488f4d920,8f52e99404ca466796dc8c3ed1dc82affd9fb723d675135309a78e7d0b86273d
pm:vm:photonmelodies11.rio.003:1933169644:00004056:00017,cvm,【冥夜】「今天我什么也没做」<01>,[],layout_only,9bb1b03da67d8826c6846e461014375c1038b96fbd41a5d6ddd4191c13d9c6bf,bdd5331014e2053fb2fa34a11701a76328049e8390df5f8ac6b5a5e92a064082
pm:vm:photonmelodies11.rio.003:1933169644:00004100:00018,cvm,【武】「这样啊」<01>,[],layout_only,d997d228646736b3d85a421d6596fc34c564b123d275f5ae265a9edda54259d6,89eff0d62f9dd8e5fad06175218ff4e18eb3ce3483ca5e8787e937cc64c0db0c
pm:vm:photonmelodies11.rio.003:1933169644:00004144:00019,cvm,是啊。<01>,[],layout_only,ff796e0c0530d1a2900445a674f0581154034904f8f46f966de896caf20d6f6b,6c80f7f65be228ae90e9fe181bda60153107d5f313464f7e064ab27b3ff40ded
pm:vm:photonmelodies11.rio.003:1933169644:00004896:00020,cvm,冥夜她们那些动不动就用链锁，<0A>还有新开发的隔音材料之类搞的妨碍行动，已经全被我叫停了。<01>,[],layout_only,18c9bc2aed93995be6f4c4aa43347bab812c27113319c794b8fc5d55954ca812,cdb52aed824157ef71be67ae9220a3aa0b3663d81def8e8590491a3c4ad54e1e
pm:vm:photonmelodies11.rio.003:1933169644:00004940:00021,cvm,……这是出于关乎我健康的迫切理由。<01>,[],layout_only,914dec06dff20808d1f1dd0b84b903d4cc0c294793492d06d4973215eedf25e0,022700f344dfc5f9039284ddb9dec5491499b6e07343dc98431048ce284c0347
pm:vm:photonmelodies11.rio.003:1933169644:00005164:00022,cvm,当然，冥夜和悠阳睡在我旁边，也一样禁止。<01>,[],layout_only,769c5b66e56c7d66b2bc1fb2d997b0d7f29edf940143f1e9615e0b7a47e56b7e,eb2ea26a8c1b967d7100cf22f33bab4e15adbae4512c32426530fb34b278dc9b
pm:vm:photonmelodies11.rio.003:1933169644:00005208:00023,cvm,天天早上，又是心跳骤升，又是听纯夏的怒吼当闹钟，<0A>无论对身体还是精神都非常不健康。<01>,[],layout_only,ec4caefa6eb6d3ec036417d08bbc219a8d46691d47a1605a72b6320b51a62857,12bee7970fb6e285a7029775ee0d57c78b255d95d0cfbdb67c93eea7b32a6e37
pm:vm:photonmelodies11.rio.003:1933169644:00005252:00024,cvm,又不是读了就会折寿的报纸，<0A>再让这种事天天重演，我肯定要少活好几年。<01>,[],layout_only,51c5f81341c8f998ad6924f9547e4d6b747cc4499409f28ee6618878cd94590d,a40bd9be4b5a9a0fea24f129efcecaf602167f4c73d852523afa24235ce28725
pm:vm:photonmelodies11.rio.003:1933169644:00005608:00025,cvm,【武】「那，她果然是睡过头了？」<01>,[],layout_only,a359fc37c4a602581bb1c88c02cde32f8c2555578067fa498c32c4a5ceccdc1a,aa61a0e3910515258d1f9db13b908d68dd224f0d778a7c2e6f7d4ab8be76f089
pm:vm:photonmelodies11.rio.003:1933169644:00005664:00026,cvm,【冥夜】「这就不好说了……房间的窗帘是开的，但里面没人」<01>,[],layout_only,ff0d8d503967e3e0e1094f660bd2ba8ae738567bc58147b6d35dee78d2a128b7,191cade99529debbeb8db4136634e1351f011fd7060c7742948ced7d64eee0bb
pm:vm:photonmelodies11.rio.003:1933169644:00005888:00027,cvm,【武】「…………」<01>,[],layout_only,770975bc8d76964cd0683d1a3ba2ec947971272f34819d29aa5c66d3964a88d7,6a17c608647a040376434d02fd50f1e4124a141fe417bdc98ba4d3f27bdee35c
pm:vm:photonmelodies11.rio.003:1933169644:00005932:00028,cvm,不对劲。<01>,[],layout_only,9ce9933cbbaf7d4273fe54b2045980b5a4d6bb7669225c704772254e4af0540d,52e86c77a51ed4f62d5b9f59aeef8ba15a01d8a63c43b420c288e122a74a6738
pm:vm:photonmelodies11.rio.003:1933169644:00005976:00029,cvm,纯夏睡过头，这并不奇怪。绝对有可能！<01>,[],layout_only,6c2b524e260428a13a046d87ca1351c9a58651990013a02421bbf99084b6fd90,458bb841775305f70f4675b6f6ff73083e735fc71ac226c6eabac27e9d3573a3
pm:vm:photonmelodies11.rio.003:1933169644:00006020:00030,cvm,可是，霞睡过头的话……大概、肯定、绝对不对劲。<01>,[],layout_only,0f6113503f212f5273315d60517f126bd461826cd44c620bfa5bc75cfd08e866,3d82a9a4b97cdb295a127f0a7f5393b19cb994103c74d3609695100b7537b893
pm:vm:photonmelodies11.rio.003:1933169644:00006064:00031,cvm,而且，正常起床的霞会把纯夏丢着不管，这也很奇怪。<01>,[],layout_only,a062c3d1e5465f75c0c2039e00eaba97185c2220be9a732a23545be56b39e4e0,eec47d81936a4b1d9d94ba6f3bb0580efe9e6e34541f9cb87488eff19e0e4004
