binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:751768580:00000772:00001,cvm,【武】「咦……去捉贝壳？」<01>,[],layout_only,efcc62834775986082094dc67d8db119256a03492f505f5e24cad28a972ce875,ae319120d5fd358ede312af57fbf4866311167306f0e80ed0ff293b8865db302
pm:vm:photonmelodies11.rio.004:751768580:00001300:00002,cvm,【霞】「是的。贝壳在海里。海非常大」<01>,[],layout_only,ea086029e50273f0673ab9c2429e2b1cb51ccb69a24172dce7885ac64d18846d,65fa0ccdeaf25db26ec4a5675b5c9f52f23928a952c78c8f975271360309854e
pm:vm:photonmelodies11.rio.004:751768580:00001344:00003,cvm,【武】「……嗯，是很大没错」<01>,[],layout_only,4be4f1a1aeabeb706305f1fd2a77b1c6249bdee123515f69b8f23d6e2eaaf8a3,8f89e654b4a9876f80a24356d5cf86298ad4a0e01ede3408af353599fad48036
pm:vm:photonmelodies11.rio.004:751768580:00001400:00004,cvm,【霞】「我想去海边，捉贝壳」<01>,[],layout_only,e776353a1f885dd9ba8857c8e45e3fd69f714ff72c57fa4e466ef1a16c263b38,6cbff163715a271e8279b7961961c8da089032d382e07d7260df37c94984b0c6
pm:vm:photonmelodies11.rio.004:751768580:00001456:00005,cvm,【纯夏】「小霞，你从来没去过海边吗？」<01>,[],layout_only,b7a81245706d7af1b7e12b21e537c17c76dc3cdadd6d4212cf41daf7225d67b7,ded8fe8c1297d35b426115833dd647c59c281796d088e152059355f6f4347e0f
pm:vm:photonmelodies11.rio.004:751768580:00001688:00006,cvm,【霞】「我曾经从远处看过。可是……从来没有去过」<01>,[],layout_only,fab5b5b964a24a9573166cc36d8e1452c098b8804c1a593f525b9563d4b8309c,bb969209efd39808c5a26853fa2537bdc56e0303818b34c67a7e09ba7e74fbfa
pm:vm:photonmelodies11.rio.004:751768580:00001908:00007,cvm,【武】「真的？」<01>,[],layout_only,0a6e05d0f96ccddf365f6bad7ae5efb63b600d5ec628fac46c3fad20d9c15674,005eeb1393a10b2084b5e321c58695a3c863f2d8e2a2eb4e0284e08c289f521c
pm:vm:photonmelodies11.rio.004:751768580:00002140:00008,cvm,【霞】「那个……大海这种地方，是会发出声音的，对吧？」<01>,[],layout_only,c97dd4d737b4c2013c012ab80e79e8feb86328d5ed2648972fdbfd2588d6e442,84b37f56525b4990e5d6eb0374a734adb166473dce0b0eb9c9fb363a92365a2f
pm:vm:photonmelodies11.rio.004:751768580:00002360:00009,cvm,【武】「会发出声音？……你说的难道是海浪声？」<01>,[],layout_only,75327a5658fe9745160ae1e9efb0e8ad89d985b7d6b513e37f83dd9fd8a7660f,bc07da369afcd8e0e07915b707dcc657b2150ab7e00c138575819a5db1bb0476
pm:vm:photonmelodies11.rio.004:751768580:00002836:00010,cvm,【霞】「海浪……我想听听那个声音」<01>,[],layout_only,52d26d28fd45ae2c8048690bddbd8bdd76c6607c6ac2a35a64e5d17cbb5dd750,aedaef025fa642dcaad31aee63b1393d8493cee4cd42d7d2e94d540c4bb20f56
pm:vm:photonmelodies11.rio.004:751768580:00002880:00011,cvm,【武】「哦，哦……」<01>,[],layout_only,677c549fc6a30af9574e058ed65468cdd4e984c67d0a4ed31d4a6f753569969a,a21315735c9623421acd30514f03c3f61a3f3f2b426328d8072f9e6155bd27de
pm:vm:photonmelodies11.rio.004:751768580:00003188:00012,cvm,【霞】「那个，海边还有一种叫沙滩的东西吧？」<01>,[],layout_only,109abc99c105f71961177071f6fdd3b4aeddeedb0177bcb6fb5659ac3d46def3,56ae7ecea04a62677a799a77b920bcc72b8a7988b26f7e84a40904201d7152ad
pm:vm:photonmelodies11.rio.004:751768580:00003244:00013,cvm,【纯夏】「沙滩？嗯，有啊？」<01>,[],layout_only,be9a8a287842f81774a86ea518de097c3a093e643ef1d8933fd08f9f2616712e,ebe7d3b04f16e876d64be3855e512534abc41a3438d1d504e190de7c11e4371f
pm:vm:photonmelodies11.rio.004:751768580:00003460:00014,cvm,【霞】「我从来没有见过」<01>,[],layout_only,8ac5da22c678e05f94de80a750966d67348bdbf10c3f1dc4038d10ea7faeaf4b,1705227578c54f1046d50c6862f2cc2d4ec6225ca4e12f2b84ae2e80d2f13bce
pm:vm:photonmelodies11.rio.004:751768580:00003516:00015,cvm,【纯夏】「啊，原来是这样……」<01>,[],layout_only,6ac1367e7d9145fe19e468ca23f553a70a6e733871db1ddec2b1755962bba24c,6bf533a2f1b307de23d80004a63f13c43f66602437915d0e3c8bf225a5d79d30
pm:vm:photonmelodies11.rio.004:751768580:00003732:00016,cvm,【霞】「所以——」<01>,[],layout_only,9c2995b1a2000b3ebe8188eeea11887e8b543259b632853632a478432881b03d,f6b1c060029d9229b44934a007c4e4beb7b4da83ceea73a8706848fb8faf89cb
pm:vm:photonmelodies11.rio.004:751768580:00003912:00017,cvm,【武】「好，我明白了！霞，你能在这儿等一小会儿吗？」<01>,[],layout_only,cf3fca11308e87e54b4cd3a186d0e7fd0d9a01a52b7d7af09e9f31b4f00e5689,2f1f550d00e6568ec9bdeee7b86d604f7c77c347a3e4a8bd6c3845c302a284e1
pm:vm:photonmelodies11.rio.004:751768580:00004144:00018,cvm,【霞】「好的」<01>,[],layout_only,0fcf89a8f8d99f37435a903619f68e6f81c4eb389d4496581be9ffff99bcc86d,784a2ac1cb37bc7a9dd2f442eb51c94840b26a1f0d8570a217460c9a87a2c85c
pm:vm:photonmelodies11.rio.004:751768580:00004324:00019,cvm,【武】「纯夏，跟我来」<01>,[],layout_only,feef141e69027eea280211761d5fd7ba14ba17fe6b754653b01fd50977fcf04d,618dbe0af1cfcf6de7c396840851c7cb2702ee16641099f544b4008bd07926e2
pm:vm:photonmelodies11.rio.004:751768580:00004556:00020,cvm,【纯夏】「啊，好」<01>,[],layout_only,9e240fb488e27cc9a0288553d3f381346ea4f9339b4173ec76d426aaf86aae48,c0fc4ff11c31b01d37db2532e5ae5cc2ea8c63c76c937a8972a63020e3a30f13
pm:vm:photonmelodies11.rio.004:751768580:00005160:00021,cvm,【武】「喂喂，霞她根本就不明白大海到底是什么吧？」<01>,[],layout_only,4466131edb9f295dbc855d5a9d3395d933cf6d1174860cde17568cd2794854a0,e88373316c312d5b3a8894d492c2cace7dd384166b1c31dfb76e8e5987524bb8
pm:vm:photonmelodies11.rio.004:751768580:00005460:00022,cvm,【纯夏】「她一定来自俄罗斯内陆地区吧……<0A>那样的话，不了解海也没什么奇怪的」<01>,[],layout_only,0c4d5b2611faea27dfa7f56c5ff55bdf9645c39529989bc12619602d6f4b301b,f15979a2d4bf3405558975818e4532c12b6313ea6d2213262547a541c9edf3e3
pm:vm:photonmelodies11.rio.004:751768580:00005504:00023,cvm,【武】「话是这么说……可就算这样，<0A>大冬天跑到海边捉贝壳……会死人的吧？」<01>,[],layout_only,19f4816574e1a89282e0ed6e9857212c4f21f5dbd4dc8a83dd5885f9149d8299,e498b9f8567892769186d4d4b9ecaaf82b0f548c6532fe028fbe400b9503892f
pm:vm:photonmelodies11.rio.004:751768580:00005792:00024,cvm,说到底，我只是问霞，今天这么个空闲日子打算怎么过。<01>,[],layout_only,24bd994f17d81129f97982d5bcce81ca88a8b4ee9ee2b801097da471322f8014,1ac22764906f44a4903ea5db9e9def03a6f94ad052b4c4fae5c8d4266d618a2a
pm:vm:photonmelodies11.rio.004:751768580:00005836:00025,cvm,没想到霞竟然说想出门。<01>,[],layout_only,b513d136aca24415ebe2dafb88ef6ae2765f15febd68794600dff37bbf43f35e,c2096bc56ba123e249ba8f17e382db0ea4edd6f61772357d9992faae43d6c0bd
pm:vm:photonmelodies11.rio.004:751768580:00005880:00026,cvm,我只是随口一问，她却说要去海边？<0A>而且还是去捉贝壳！<01>,[],layout_only,397d3e3ddbebaf67bd65364f4429dfd7401a419af54dfe7f4e0e8ff12e5a6a85,5bdac7e685c579b9c5de4fdb67c4f416deabd28d6b4b8bfd8e65c6c88369acbd
pm:vm:photonmelodies11.rio.004:751768580:00006180:00027,cvm,【纯夏】「小武，你不愿意吗？」<01>,[],layout_only,95140fb981cf86a367493d514f525c226af85a0ed4e650318c3e950f3c821389,f842fc06a41872fff4e0fe1e7ffd35b06d6bc25cef036cc349afd8ecb2e83c69
pm:vm:photonmelodies11.rio.004:751768580:00006224:00028,cvm,【武】「不是不愿意，正好相反！<0A>我要是不愿意，随便敷衍几句不就完了吗？」<01>,[],layout_only,cdb28eb0305d76b79343abb0d71271d19f7b48fb3090a52da5bf2829fb0adf6d,fa1dcb7f7e627e244bab2ff610c5bf4d3019e3e966d761240b53e49eec473555
pm:vm:photonmelodies11.rio.004:751768580:00006268:00029,cvm,【武】「不是那么回事，霞既然向往大海，<0A>我当然想带她去。可是，现在能去哪里？」<01>,[],layout_only,7a9c7d75b024ff278cf1a875a6310b2c4ca3703cfac82be668553c958b97a593,6d3388a7d8fd9d47c15bc0a0ff959b314f11b1188143062442a3495b89827c79
pm:vm:photonmelodies11.rio.004:751768580:00006568:00030,cvm,【纯夏】「嗯……」<01>,[],layout_only,6d2874c41efc27daf79b6520e2997b894ff7c7b404408499ae2d57b9351d3eaa,63936f71ed7f099f1d514840f5791b049456e6de91b121507888dfd50e318117
pm:vm:photonmelodies11.rio.004:751768580:00006612:00031,cvm,【武】「总不能拿橘町的公园敷衍她吧？」<01>,[],layout_only,11fc62a80eac8b20098d5cbe7a3143b5c2cdf6084f439d7d2b3648165618abc0,f563f2463713f14fdcb5a90cb7ccd6a017c65491d49165808ab4928c6fca0791
pm:vm:photonmelodies11.rio.004:751768580:00006912:00032,cvm,【纯夏】「说得也是……」<01>,[],layout_only,a0d10692dc06847df3b6e7ac9c7c82acd22429d259c2bff56d315568ace52356,add5c056a731172f7e2c818ba95197d6fa09c3b546c4c87e15d02f2dbc5bc074
pm:vm:photonmelodies11.rio.004:751768580:00006956:00033,cvm,【武】「而且啊，这附近那种脏兮兮的海，<0A>我才不想让她看！<0A>更何况这个季节，海边既没有梦想，也没有希望吧？」<01>,[],layout_only,34737174763c73a8c0c94a00a94e02f1e4d5b97f76edac61d2307cac26a8dcce,038d57fd12493db722a0c02b14db2db303c49a2cf78db58bafe1bfa85d87b8fd
pm:vm:photonmelodies11.rio.004:751768580:00007000:00034,cvm,倒是可能到处弥漫着一种让人忍不住想自杀的悲壮感！<01>,[],layout_only,463e5d33a57e0de613cb92e6f2b60cd6b67588bebbc0a5d648cbb67ac783ec85,a7cf9ad8bb7d0068620db83207408fb920150186d75778d766fcce7bcf61ccb1
pm:vm:photonmelodies11.rio.004:751768580:00007056:00035,cvm,【霞】「那个……」<01>,[],layout_only,5228ed9066f8dff4f421f6825695b78b2dcab0f375a5d9699a5e06dbff4a7c56,ef1ec2be77d356c05483f65e95a8a63653c6ecf4178d0db055c881d57eee08cd
pm:vm:photonmelodies11.rio.004:751768580:00007396:00036,cvm,【武】「哦！再稍微等我们一下～～！！」<01>,[],layout_only,e32b5bf5702d1d3f86ed8f37672de00e1a8922075fe321e56ebf86ea17e94132,41f33a42a514e23b85145c791e1e381812165292082a886618278b527eb8e326
pm:vm:photonmelodies11.rio.004:751768580:00007452:00037,cvm,【纯夏】「等我们一下哦～～！！」<01>,[],layout_only,ee3e6cb834a572f2481d7420dbf77c81067edc80dcfe6254094c2f8f79ba30d2,7c7cb7031a11c99e30a18c7d3c61ef0a16f4ee8b896a87b6a29bdf842826d019
pm:vm:photonmelodies11.rio.004:751768580:00007508:00038,cvm,【霞】「明白了」<01>,[],layout_only,e95f2a7b8a3d222cacea89f4eae32f5fe585f5e20d91052f713c530192ceec3c,f91483d8e1683b2375f9825780aba4476bc00f91d0f671c7c89e6a03259372f7
pm:vm:photonmelodies11.rio.004:751768580:00008208:00039,cvm,【纯夏】「榉町的海岸怎么样？<0A>就是医院后面那里。那里有沙滩哦？」<01>,[],layout_only,71d654f2280988ae04f25fcd0ff8569bd209cf9a84e5d48d6ded4fb888eef2df,dcb9ff8c5df14e8294813d44702b4b49e3c988bafb5b17b27aa072b3c9ba54e5
pm:vm:photonmelodies11.rio.004:751768580:00008252:00040,cvm,【武】「啊……这么一说，那里确实有……。<0A>不过，至少比橘町强一百倍」<01>,[],layout_only,3ad30058dbb3eabd4aeeaeb371580e7802d9c814abb9b10249ee72ba1353006a,b65fd8f6d6e14d4ff7566f09db170c888d75e7342324406386790151eaefcfdd
pm:vm:photonmelodies11.rio.004:751768580:00008308:00041,cvm,【声音】「但是，无论强上多少倍，<0A>那种妥协恐怕都不会为彼此带来好结果」<01>,[],layout_only,89ace4ae959cf2979c10ec2405957b3cbdb01ae28abcd8fb5db3a07221505ae3,98624916878ce1efe92b044207520b445582be012f157cb861438a5b77e56195
pm:vm:photonmelodies11.rio.004:751768580:00008976:00042,cvm,【武】「哇！！冥夜……还有悠阳？！什么时候来的！！」<01>,[],layout_only,0f3a541ae55dd6f09cf67fbb15ab516bb3f6dd62e9d024a521fa99b8fd748c99,68eedf606573e8fde5a5c7528c87794248b3565993a76582bb45b9cd32176d83
pm:vm:photonmelodies11.rio.004:751768580:00009032:00043,cvm,【冥夜】「真是的，你也太见外了……<0A>只要跟我们说一声不就好了……」<01>,[],layout_only,855d43db2b1549d6c841055f7585139f3926075f378a67059bdf7ffd952bfc98,bd45bf662223ae95e196dc0510d311a5ec19101ab425ca7f6967b235fdc219ca
pm:vm:photonmelodies11.rio.004:751768580:00009088:00044,cvm,【悠阳】「正是如此，武先生。社小姐的事情我们都听到了……」<01>,[],layout_only,0fdb2db2f66cf9f6bb5bf71b56a6e0966be84da2acff4d70244d8490b3d52b76,14c419d3290826e5accf6353f48292514979cc80964b6cd3047904e054dfdd3e
pm:vm:photonmelodies11.rio.004:751768580:00009700:00045,cvm,【武】「啊，等等！」<01>,[],layout_only,3dc3576c1c2fbf95cb5f91a50ac3e8a645fa71668bd33f5f0924ead4c88bc932,9866ee1668c24e296c585cd8a6fa3bdcef7b1ffaf81c1a41c860ce97e464e894
pm:vm:photonmelodies11.rio.004:751768580:00010192:00046,cvm,【悠阳】「社小姐，大家一起去海边捉贝壳吧」<01>,[],layout_only,521757406398291a3fcf20928b79b1ced372d9adddf59479856a3af9516d916f,52490f16423023b80fa1fd11cf2afdebf19b229049fc76bbace510c022083f06
pm:vm:photonmelodies11.rio.004:751768580:00010424:00047,cvm,【霞】「真的吗？！」<01>,[],layout_only,6b657331bc49b9f5a4179823f429df0d79d5f76ca9bf1e7c951c90e4d3f4a0f9,3416dc729884066f98974e46534c9cf5ba9ddd4e02cd2d3723970b82f16012b4
pm:vm:photonmelodies11.rio.004:751768580:00010644:00048,cvm,【武】「喂，喂！随便说这种话真的没问题吗！」<01>,[],layout_only,1d5962001c9b3ae4a29423e700034492f54e14616e963ffcd2c168070f2cfed8,6f318e1ae07346e5f7df21fd567c6a4b89f3642fb1e448d5caaebbe279c67590
pm:vm:photonmelodies11.rio.004:751768580:00010864:00049,cvm,随口答应这种事——<01>,[],layout_only,99fc345062de860c6685b015480a3452eac3f90ba5c45347b6e71a7fc92ecc77,af19e2399729c5e0307ae39b92f746d1b056733e051d383c8cc3af20f833a845
pm:vm:photonmelodies11.rio.004:751768580:00011096:00050,cvm,【悠阳】「是的，当然没问题。<0A>那么，既然已经决定……冥夜」<01>,[],layout_only,beb4a72adf3b4fd70ba343e51e2eec0ea212981192fc83d0f42fdd542b78c76f,dc026f88427b2b3925a3a3b1e38675c99088eeeaec4b8623735fc93579628d41
pm:vm:photonmelodies11.rio.004:751768580:00011140:00051,cvm,随口答应这种事……<01>,[],layout_only,d36ca9a32df79e3bcd0f564a5fd6c19b4fa80413b70f4c9aa1a68e1892378dd8,41087322ea957bea6408d6e9baa41810cdfeee2499e204ef3a7bc24cb8ce4197
pm:vm:photonmelodies11.rio.004:751768580:00011504:00052,cvm,【冥夜】「是，我立刻安排……月咏！」<01>,[],layout_only,428949b920c237e60d75a69602622a2bdf4193b38a9a9f17daf4318e292240c2,64d479d96695ea1582be44e34971d663ca8f6638fb22fc2be5b40441cb2c94ed
pm:vm:photonmelodies11.rio.004:751768580:00011860:00053,cvm,答应这种事……<01>,[],layout_only,90277d50823fcf6fbb30ee4406d65c7dfaed1b2b595db9c7525f3dc68e0e816d,19065929897dfd23de62cdab266d84b95b8f73472370d92b8c5ffb1250d20b3d
pm:vm:photonmelodies11.rio.004:751768580:00012124:00054,cvm,【月咏】「冒昧打扰，请问是珠濑府上吗？我是……」<01>,[],layout_only,aa684a378a149c34aea7ca12fd3aadba47ec605e02724a90788d5a860b9d31b0,11c935723cd1df3cb2be7ad33af50a215bbb004f3e7f37cce3009d9503f144f0
pm:vm:photonmelodies11.rio.004:751768580:00012204:00055,cvm,【神代】「那么，事情就是这样，现在马上集合！拜托啦～～」<01>,[],layout_only,02aacae5572c6cd2626cc8c441e2b149248de7bb236f0c648c7f8d4ded87bb7d,732d6bffb901d94271ad2c75136adcf6797384007b2e65ce934366056b20efdc
pm:vm:photonmelodies11.rio.004:751768580:00012288:00056,cvm,【巴】「糟糕！<0A>听说铠衣小姐刚划着木筏驶进东京湾！我去接她回来！」<01>,[],layout_only,4d6c646cc573f9f3071418a537b7ba2d007de59ebfc39dbf581dde133eb58c08,b3f27450f839cd9a26bac1d1cc38b7ba3b9e285af09fae6b0afefa6de78be6d0
pm:vm:photonmelodies11.rio.004:751768580:00012448:00057,cvm,【戎】「一路顺风——」<01>,[],layout_only,a10a3a3cdc2fedff5d5d7aaf10ef4ddb55fe3e2c6843194a78e7711690538c1d,8d2d6ecd3c26732a18be6a23b35929dd1eab9d45894cd263809743456c862405
pm:vm:photonmelodies11.rio.004:751768580:00012612:00058,cvm,【冥夜】「姐姐，有了第二次经验，整理随身行李也熟练多了呢」<01>,[],layout_only,d24b982ec6b6f80cb8ea5d5f0ab0a4ed85eab7800fcb59924e0608dccdca7d5f,a79ebb198273a178ec8148aaa09b3ba0feaa93f16f0bfdf0d0c964911a285e1e
pm:vm:photonmelodies11.rio.004:751768580:00012748:00059,cvm,【悠阳】「是啊……哎呀，说起来那个放到哪里了……」<01>,[],layout_only,5e30da2d434dfaf4eab2090eee17f9c9789ef353a74c67740638b2387d7c6a79,ca876c71b3640035edf7b2dbe3c7eabaad34219bff430cd981377f29c7de2f02
pm:vm:photonmelodies11.rio.004:751768580:00012812:00060,cvm,【武】「…………」<0A>【纯夏】「…………」<0A>【霞】「…………」<01>,[],layout_only,8be97ed3662be45326b4b1316a37736655d1d6ef4884c2bf212543a5ca924d2a,2d22db1ae15eb26eb69901f81f6e1d1ff6b1065c7cb8d88fa4ea57db3e49d28c
pm:vm:photonmelodies11.rio.004:751768580:00013036:00061,cvm,……也是哦，我们的常识对这些人根本不管用……。<01>,[],layout_only,b6b9bee96820b56e1a2454ac56a437a457b01bb934d831183333a710355c990e,ef6efabd61def9729a08cc0b5180958211e2bb530220942befd6d50718aa312b
pm:vm:photonmelodies11.rio.004:751768580:00013080:00062,cvm,可是，究竟……要发生什么事？<01>,[],layout_only,6893500b70c104065aba3c11183589b436cbc65b493513a0d9a4dfd70e389e94,b91adf258562fa5148f7423bf99c7106f7b3622fa530f1e349c0f36ce230855e
