binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:780938508:00000632:00001,cvm,【月咏】「各位，长途乘机，实在辛苦了」<01>,[],layout_only,56bef210ddde277f617056719c10afc112a1887f034e49753584ecd910f35949,ac6c44c13df893d5c203770f60aa36e942766aa18ef36f7fd1a4a770420bcd9a
pm:vm:photonmelodies11.rio.004:780938508:00000676:00002,cvm,【武】「哈啊啊啊…………」<01>,[],layout_only,3baae7bd5c11d2a4b562fab305304431fec488d7608755ee0e8e3040adde8c7a,0638748910a36a2dbf40a01523159fdcb891317b3c249484cf1d07ad7bc7f16b
pm:vm:photonmelodies11.rio.004:780938508:00000732:00003,cvm,【月咏】「各位，时差已经调整好了吗？<0A>这里现在的时间是上午九点三十分」<01>,[],layout_only,1a8eb74f59a03a0bfb78986bd1503ba74a9a99ba9865c6a179ad237cabbf5235,6200bb73f63e64b1f2e883cdf89dee22b6f08852fb410785b00dd9e72896a593
pm:vm:photonmelodies11.rio.004:780938508:00000964:00004,cvm,【月咏】「接下来，我们将送各位前往住宿处，<0A>途中请允许我介绍一下这座疗养设施」<01>,[],layout_only,2852f812867ded87c2bc3810d601970e8a580a84f010b3931400cede9eefbe2f,59b21ee3b84cf05bd3d475acb4de2757c43c459ca882542c80b9be2f5589d3c0
pm:vm:photonmelodies11.rio.004:780938508:00001020:00005,cvm,【纯夏】「哇，快看快看～～！！」<01>,[],layout_only,46c3ea376ab73aef5ba667d5e9ec4ed91a36f88374c503927bfff9632062297e,ca8c25220c5dc01811014531692f1368748bf433a43034a1b684ca5ce25c53c5
pm:vm:photonmelodies11.rio.004:780938508:00001244:00006,cvm,……不过话说回来，无论气温还是天气，<0A>都让人完全感觉不到现在是早晨。<0A>这一天恐怕会很漫长。<01>,[],layout_only,dfe5ecfa37acac689e6ac6a08342bcb8e00ab31abf4517422bc52def01f41e3d,0a5c859fa6e1458ae741e84939481695778eac187955003ffdd9d6f77fd5072b
pm:vm:photonmelodies11.rio.004:780938508:00001300:00007,cvm,【月咏】「本设施名为『塞尔西乌斯度假区SI』，<0A>是度假区开发部门负责的『塞尔西乌斯』计划的一环，<0A>目前仍在建设之中」<01>,[],layout_only,5e4f293773e5095f9c49af3fe088b615d16cf664f4cb29a481887d10b050491d,71ee2d8bc46e1d51f2348a183eeeedeca2a58c4eed05ef14e46a2226a66eb9d7
pm:vm:photonmelodies11.rio.004:780938508:00001356:00008,cvm,【月咏】「『SI』是『南岛』（Southern Island）的缩写，<0A>但这并非正式名称，正式名称将在全面开业前决定」<01>,[],layout_only,8b516d5b1b8dd0dcc6929cea39370fcdade81676d2090362517e1b54bf8e2192,8616762212ac56bc31ff38fcceabe8f092917f9b818f0ca52fa6ad40308f6aa0
pm:vm:photonmelodies11.rio.004:780938508:00001400:00009,cvm,【武】「——喂，霞！大海！还有沙滩！」<01>,[],layout_only,983884aab06e35501324b987973fc141357004547e86667e107689a577699668,1da48e6c114c388c1059d209dec73aceb8f89309378f2dfeba34885944f33eee
pm:vm:photonmelodies11.rio.004:780938508:00001636:00010,cvm,【霞】「哇…………这就是……大海……」<01>,[],layout_only,a46e3ffd97e3187cf19fd10cbc45671b83841d0d820a49643582899d654c253b,a21b08987a25245ae95f54d897db299a974a776ad3f9e108796667073aa410e4
pm:vm:photonmelodies11.rio.004:780938508:00001680:00011,cvm,【武】「这里啊，贝壳多得反而会让人捡不过来呢！」<01>,[],layout_only,33b4e251fa9b73d3c432571e15ce42cf3550ca79e2643e68eff62382e35cb1f6,c8ea8d9e419013aeb0448993375408179776b775230e01444a0c0be400765112
pm:vm:photonmelodies11.rio.004:780938508:00001736:00012,cvm,【月咏】「塞尔西乌斯度假区SI目前正处于<0A>仅限相关人士入住的试营业期，<0A>除各位以外，还有许多客人正在此处停留」<01>,[],layout_only,c122f7d2c3b90e65fd19f4606821177ac470720fd78187f61ae2ef1752da1eb6,5a3b8271be380f8aaf89a15bb9a80cae32d070758069aef95020a6f90a44028a
pm:vm:photonmelodies11.rio.004:780938508:00001792:00013,cvm,【月咏】「那么，要说塞尔西乌斯计划<0A>与传统度假区开发有何不同……」<01>,[],layout_only,79a6aebd0e89dbf41b983cd98d3c377cb2236141503001d01f5713f03eb2d444,af58967b8b946306ca4595cbdfa7836eee617e2008a75d704910fe1409db3192
pm:vm:photonmelodies11.rio.004:780938508:00001848:00014,cvm,【冥夜】「月咏，这些一本正经的话就免了」<01>,[],layout_only,6e07bc476942328b0df20197c937a6a44a53da468d5c871b9e311c7530a01d30,bc2742f9c121977118b77f44ba4f7835b6a7d741a8df0427c8fe20f0cdc50bc3
pm:vm:photonmelodies11.rio.004:780938508:00001904:00015,cvm,【月咏】「明白。那么各位，请看显示器」<01>,[],layout_only,0d8541e1f18f7ec76be57f72a7851dd5f903c69b6461fcaaa186449a833932d9,cc6467c435bfed86e90bbf08ba3fcc8e9531dcdb913ba0a6d6c6a43dd953dec9
