binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:812258960:00000696:00001,cvm,【武】「喂——，纯夏在吗——？」<01>,[],layout_only,e76db4ac47fe055fb8de3b02e7a1aefd5971f142e1707f6eb0dfcc5133d886a3,34467e07e328f42246d2cbcae8a48791ef367fc3de7e62c16bf2aa749802cd5e
pm:vm:photonmelodies11.rio.004:812258960:00000752:00002,cvm,【纯夏】「在——！」<01>,[],layout_only,756ec39e9926ee143587ac971c6516759f230c974573c1ed853421c67a871986,3baac99b9b95c91166e87c3375ad036ebc6151669f5060583e8a65e331cfb47b
pm:vm:photonmelodies11.rio.004:812258960:00001784:00003,cvm,【纯夏】「啊，小武」<01>,[],layout_only,7759eef3e45e0220f5f57659f7d796448c6442caf4e6551893418793c3885fa0,80bff4249fa0c86777c85fdcbcf319769b52984da16aaef051c98a5f6110e99a
pm:vm:photonmelodies11.rio.004:812258960:00001828:00004,cvm,【武】「哦，在呢在呢」<01>,[],layout_only,08b6884b3c6dd4dfbc9fedabb609424005ec60211fa20b4f10d7292b85f7fc6a,569efa7ddadc183430fd9898945df6ab88cdceb97c554d00165b8af0c5be9c32
pm:vm:photonmelodies11.rio.004:812258960:00002060:00005,cvm,【纯夏】「怎么突然来了？」<01>,[],layout_only,e8d969506f4ec20de32ec5ba6f15b2cbcb2bb492e641f8248a30715fd4e1c86d,ee262d9a68af65cdfe3590778159f56ae8a240c4066f63ecca2872a32abc4045
pm:vm:photonmelodies11.rio.004:812258960:00002104:00006,cvm,【武】「没什么，就是随便逛着逛着～」<01>,[],layout_only,d8df170ccc49bc29586cb12dacb9ae3911c08269a1e6755a6f6a97e61e7d0643,7d23a258fee4ed7748f16fe6d9c9fd98c70920278cb6b1aaaa3e1657491abb67
pm:vm:photonmelodies11.rio.004:812258960:00002468:00007,cvm,【纯夏】「咦？你已经整理好行李了？」<01>,[],layout_only,49f7e125cd7a64386a74a80362830f02dd34930bc901758eba782f346d4a0385,e0a7c48a642694b9b8ff78222039335a4892c036a29e39b8d7eda037e2587462
pm:vm:photonmelodies11.rio.004:812258960:00002512:00008,cvm,【武】「那当然！哟！霞，你在做什么？」<01>,[],layout_only,d7625774d99436d9bc7f228ba7f31c50728db15a10f0c4710870ba13b6dced1e,9e64d3d3a67ef0f47ff3a6542519e14819e5971c493e5528497b5ba41a82a7c6
pm:vm:photonmelodies11.rio.004:812258960:00002744:00009,cvm,【霞】「我在整理行李」<01>,[],layout_only,eae38a1dd90b0332218135f07721a931bb52a75190cc2303ef61807b5ec958b5,400d19b25bd1348bac62ac2f87a5664ea2eaa221f0f1b97eb66e3e12c96a3b4a
pm:vm:photonmelodies11.rio.004:812258960:00002976:00010,cvm,【纯夏】「……反正小武只是把包往房里一扔就算整理完了吧」<01>,[],layout_only,8cd739dd3131c51a3363d77e90479f3a554ed6d54a30863353c3dd4106c4c23c,5275c5b73fdc24e458a83ac5ef703a10c0a241a6ccaa5458bc92e027c91f4c1d
pm:vm:photonmelodies11.rio.004:812258960:00003020:00011,cvm,【武】「少啰嗦。我这是想把时间用在有意义的事情上」<01>,[],layout_only,80565155d1c541b2e92be7cacd23cc092e1eada711db3dd8e3cdbd2ec2b26268,f5c2db21522c8834715ffbd8aeb93d76e0013b5710e3eb492e6722bfa8205395
pm:vm:photonmelodies11.rio.004:812258960:00003252:00012,cvm,【纯夏】「哼～……。算了，随你吧。<0A>话说小武，你决定接下来做什么了吗？」<01>,[],layout_only,9f88140c2c9bb9e05663bb9c4462be9de845ff690a555196f223c5a7d5f6f854,b9595b73d13187edec8af5d5df4adc2e2eccf83ce60a9ff85d9288afd04009c5
pm:vm:photonmelodies11.rio.004:812258960:00003296:00013,cvm,【武】「嗯？没什么特别的计划……你们呢？」<01>,[],layout_only,05d56e38e6a6abff05aac6fa33ecfcb34b39ba7485a6a8f454b7762159f0de0c,0f9a2498c78779ce2136bb6d31304c13a21834accf6c6d158c271354c71d7e27
pm:vm:photonmelodies11.rio.004:812258960:00003528:00014,cvm,【纯夏】「行李整理完以后，我们打算去沙滩。<0A>毕竟就是为了这个来的嘛」<01>,[],layout_only,40dc07699de13f834dc4fa0f38590a0b0cba683242f77e310eb4f9a1fce8a897,8883fd6b1c76b29e31ff9430b0f9c736fea6c59448d6f5b8fc2eb53c8595bfdd
pm:vm:photonmelodies11.rio.004:812258960:00003572:00015,cvm,【武】「说得也是，霞总算要如愿以偿了」<01>,[],layout_only,bcf36c8039b34b9a01dc7f8170f419e0b4a41af03dae35a0ff29cec0b9dc2d1c,fa03b7192cf8825a61ad5a480524eacaa8b82c8a298b98f65914a6a867d88c53
pm:vm:photonmelodies11.rio.004:812258960:00003628:00016,cvm,【霞】「是的。我非常期待」<01>,[],layout_only,20cfdb49e81ced0420a8adf1240ea1a87a7dd45cd9a89de2ddee4762b790cf8f,21129aabced30266ba028ce3436fcf951df054828752015675d0842a59bd2c67
pm:vm:photonmelodies11.rio.004:812258960:00003672:00017,cvm,【武】「先提醒一句，游泳的时候可别游得太远哦？」<01>,[],layout_only,6675121d371aabf3cfc0d83b9e9223717fb301de12c163dbc05e701156967c88,1b2f616eb9932634a451abd0b69c88a112731e623e689d66b7dd261a5a3eca40
pm:vm:photonmelodies11.rio.004:812258960:00003904:00018,cvm,【纯夏】「没问题，我会好好看着她的」<01>,[],layout_only,4d9d5f9a2425be5a4dcd61b907fc16be3c89c647de0179fee6e93085b8e4e650,5fdcb5d8b1d72685b95a946c9fafb9b92c5b143aece837a123ff651d2d8eee6f
pm:vm:photonmelodies11.rio.004:812258960:00003948:00019,cvm,正因为是你，我才担心啊。<01>,[],layout_only,5c6a676861516e2cb2f0805b313f333cae76a6f6e5fdbca4d1a1fa42ff7dded8,a7df9cb977b2afe9126139eb5c61f97b3f7f51faf41fb4f5c99bdf58cad3429f
pm:vm:photonmelodies11.rio.004:812258960:00004180:00020,cvm,【纯夏】「而且，我们暂时还不打算游泳」<01>,[],layout_only,802960322fb0cc9e3a60123bcf68daee400a763f60c37f8ef05e14743d4e4dd5,4c6688a1c0e9cd05bac5bf8a8b75832743821bac54a18c7b5ee8fdc4133ee2f4
pm:vm:photonmelodies11.rio.004:812258960:00004224:00021,cvm,【武】「是吗？」<01>,[],layout_only,055fd5281240449c2f9af7d79487a02ff9eac9fa2af5f9b15d730ceb764863bf,0e2f54c00700fd03016c5e15fcad2e7ddfa8c4b3f40bdc5f8d8273624c938243
pm:vm:photonmelodies11.rio.004:812258960:00004456:00022,cvm,【纯夏】「啊，对了小武，你过来一下！」<01>,[],layout_only,d030921752314de2b023e3679852546b85d4d227bdd241daba9148442c0d48c1,2accbc2a0e7451e03a61ed624e76f12bbe7aa4a9169e16770842428ebb82c91f
pm:vm:photonmelodies11.rio.004:812258960:00004500:00023,cvm,【武】「嗯？」<01>,[],layout_only,4cefaf289558ddca1ab2f696152cf6f9e6a5d78a59baa3a6c0e8fba08d2956f1,b35f9bfe594accf67a9d0fca9074c3f132b309f4412f86cb490aba00427019c5
pm:vm:photonmelodies11.rio.004:812258960:00004556:00024,cvm,【霞】「我继续整理行李」<01>,[],layout_only,df93ea7a70e950a01b5bfd1b7a51fe9f76e909cce4fe2395bc50dd062e186304,b9a4d9384bafda48643a0c6907c9630ee36dd7096d802ed7853bcddece44bd3b
pm:vm:photonmelodies11.rio.004:812258960:00004788:00025,cvm,【纯夏】「嗯！」<01>,[],layout_only,8ba581a8a1816a8be2c18299b277a1701badba9622ef6504f7510416e28a0729,79d20cb701d2dfca2aeee1886cf224702887a21443858017791fd62cf8659085
pm:vm:photonmelodies11.rio.004:812258960:00005596:00026,cvm,【武】「怎么了？」<01>,[],layout_only,046168ceafda7f97ee7366f0e4c3f4f7897c2ab4777feffca3d15506bd63f7ae,61d8ff12ba8abc06b6a378cce902105e746d7fe28f779cd4ef4eed135ebcce18
