binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:874373084:00001112:00001,cvm,【纯夏】「……我说，大家下午都打算做什么呀～？」<01>,[],layout_only,c10cd87cfc42b137b0fb566aef2c44fe7ece2a9a415ab4ee1a8c7f783fa02afc,f13b42fe849a7414e846abc2a203597ad8c0944bb5e67e803fab4cfacbd2b014
pm:vm:photonmelodies11.rio.004:874373084:00001168:00002,cvm,【柏木】「我呢，接下来马上还有课…………<0A>不过今天好像傍晚就能结束…………<0A>你那边呢？」<01>,[],layout_only,f74a57086e830bb70e1628810d8295b930299a7b1e382e72c104887c96814242,dc79a300ee594650f15695efae2a186110636bf25e29a5d85901c15b487fb8de
pm:vm:photonmelodies11.rio.004:874373084:00001812:00003,cvm,【慧】「我正好相反。大概四点开始实操，<0A>一直上到晚上…………大概七点」<01>,[],layout_only,c4ac1105a7332c55f9141e07cf74979dee5a991a18847ba3c021bd1ffe47805f,0730350ad06fda9355e811b57885bccb534d5682899a98645ec25b614e3de547
pm:vm:photonmelodies11.rio.004:874373084:00001868:00004,cvm,【纯夏】「开始得挺晚呢」<01>,[],layout_only,50c3e94500059b4f05e34062819cd0f1aac9ec3b96b85b6e90f4e310a862f2f5,875c42ccd51f832d87c385d9108a1a8b94f643594da2a8eb44cdd1f0267e3c4e
pm:vm:photonmelodies11.rio.004:874373084:00002100:00005,cvm,【柏木】「天黑得晚嘛，到七点左右都能照常进行」<01>,[],layout_only,14614a8902362764a13cd6a9e662b9b4c0aba5a7d5a4a8dfaee551c73efcafd6,df7c454e688800604cdfce14b0ba81906ec5b8dffe02fec43f01a5c025147cc1
pm:vm:photonmelodies11.rio.004:874373084:00002744:00006,cvm,【悠阳】「请加油哦」<01>,[],layout_only,2db76575688e5b3c01ee7ba7dc7e672a9eb3e2f513373efac4b753533d7081c0,cd6c9b7a395fdafa938946f76affe9bf6fecdec1bbca0641a1a5e682d3c66de5
pm:vm:photonmelodies11.rio.004:874373084:00002800:00007,cvm,【柏木】「当然！毕竟好不容易得到许可了嘛」<01>,[],layout_only,fd3b16476eec3e690abc79ddb3f99dff81fe3f735c9ccaee9ff2925d1ca3ab42,9affaec13b636727aea817713dfedc59f8f4d9bf17227fe32f81929b57029156
pm:vm:photonmelodies11.rio.004:874373084:00003464:00008,cvm,【武】「什么嘛，结果你们还是跟悠阳打过招呼了啊」<01>,[],layout_only,c0f9a5cc60c55cedfe1751a77f860cf366b35c01370ec55dd20aef13d5f57002,7665684ebdbdba4fc07ed90b990f8274e74085e3ded68cf03f3a51652306e5ab
pm:vm:photonmelodies11.rio.004:874373084:00003696:00009,cvm,【柏木】「与其说是打过招呼，不如说，<0A>是被她发现了…………」<01>,[],layout_only,8c42df9ec26d6d3e23833284a7af0e694ece35758520e76bcebc204bd266ab2c,8aebcbffcddc9891b00f36d42e8268afd98989cfb758db8fcf8429694708c045
pm:vm:photonmelodies11.rio.004:874373084:00004020:00010,cvm,【慧】「坏事果然不能做呢」<01>,[],layout_only,0fb635ae4ebd108c4296dcac5c08194cd58a05160df23bb3f30effe03a1f3949,9033f4a554aa23a2dab65da5effd5962b98ba4b164331bf2742e6dad33ebc785
pm:vm:photonmelodies11.rio.004:874373084:00004240:00011,cvm,【武】「少来。你真是这么想的？」<01>,[],layout_only,e63b3120013a3f2df3612ab3ae22125e98791dbecb3840a3ee862f16f9a96da6,21d6b0ba8d3168d0a949a4b60c05ddfa0663f63cf333408a0825d51252037f60
pm:vm:photonmelodies11.rio.004:874373084:00004296:00012,cvm,【悠阳】「不，这没有任何不妥。<0A>我反而认为，这是非常有意义的时间安排」<01>,[],layout_only,9c15c66188f63dad35eb54eeded7188f37c3e064881e824fa758506842257bae,1a5bd8509d66f986e7fcebaa73b13fb12679423673628966acfef1d98cd720c5
pm:vm:photonmelodies11.rio.004:874373084:00004528:00013,cvm,【慧】「不过，我就知道你会这么说」<01>,[],layout_only,2dd464030bf4c942fff6bad46482e9e65e441d51224b5d705a6c03973f2c97e4,8eb5e5b396d0f348bd73c5c459efc3904f82e4d61f066da833b3d1f89c2e8e7c
pm:vm:photonmelodies11.rio.004:874373084:00004572:00014,cvm,【武】「你啊…………」<01>,[],layout_only,432bae0bd9f46fb225bf5d5af538144f25dc714f7e3bfa31da69245192297c53,8e9f2b61014bec283a8ef782d47c6d9b4342c328aa107fdf0cdae75137958a7b
pm:vm:photonmelodies11.rio.004:874373084:00004648:00015,cvm,【武】「我说，你们从刚才起到底在聊什么？」<01>,[],layout_only,bbe11de21d1e933d4d06b732177523fa387dfaf5f247b77e9bbe901dc0db5162,1f43906965dea415578bd247b38a34578de3a9b843b7a30f06fe7786b842b9bd
pm:vm:photonmelodies11.rio.004:874373084:00004704:00016,cvm,【冥夜】「柏木正在参加水肺潜水执照的课程，<0A>彩峰则为了取得限定小型船舶驾驶执照，<0A>眼下也在接受培训」<01>,[],layout_only,11f1a18b57df38dcb5154022b2743f80fdf78511edc08d8c49b45684ae247c76,32dbdb460bb8e5fd155ea0cf0b6652e465f7fae2a7ff9710b4ea548c0be0e4b3
pm:vm:photonmelodies11.rio.004:874373084:00005336:00017,cvm,【武】「咦？原来你们在做这种事啊」<01>,[],layout_only,3634c4266fcae52cad5a9be49825038757ed139073e6b16e6ec1d4c964d88826,9ce85df25b3c13b398f9fcd85dff146274482fcde825a08c896f43c809b3ffe7
pm:vm:photonmelodies11.rio.004:874373084:00005392:00018,cvm,【柏木】「算是吧」<01>,[],layout_only,b0d093df4cdebe266911243997550cd8ef0123e0ea7958bd31539de90379a5fe,43a9ef5dab3f685a5e2e7c108b0f66f773046ba61d18ac86d83992353360f70a
pm:vm:photonmelodies11.rio.004:874373084:00005436:00019,cvm,【武】「水肺潜水也就算了，船舶执照能用来干什么啊？」<01>,[],layout_only,f38f56d34c1c727c6a07dea8121a24f1f9cc95add1aa2cd923b74180b93e8051,2bc874ebc3a80c47821567865915c5d56551ef80c153b6f1571d3f018de2343e
pm:vm:photonmelodies11.rio.004:874373084:00005492:00020,cvm,【柏木】「有了它就能骑水上摩托艇」<01>,[],layout_only,f1f3db4df783626bc401543bd1531260afae3142f4a3e3d09bc73a54695a797c,94d5a56ddbb8daaca00416a0fbe0a232c853a57898fd87b1378f7c2c324022ed
pm:vm:photonmelodies11.rio.004:874373084:00005536:00021,cvm,【武】「哦！我就觉得那东西肯定不能无证驾驶…………<0A>原来是这么回事」<01>,[],layout_only,be160c5b276738f15bd5ec28faa23d0b6fa17bb9ddce77cf1f72a97f10afcea2,b6369bded6df2a361503d94929e405fdf0ddf9ab7bfcd76a5260155b39401c86
pm:vm:photonmelodies11.rio.004:874373084:00005592:00022,cvm,【柏木】「其实不管是水肺潜水还是水上摩托艇，<0A>在特定情况下，没有执照也没问题…………」<01>,[],layout_only,3c759ae9818b2870b8d942f66082ef9e1dec0f2ab5137e6a86610b79f8de5389,8269e733758ac937ceaddb865a52960e7b19c92c1a8e6764bba6d1032f19942b
pm:vm:photonmelodies11.rio.004:874373084:00005636:00023,cvm,【武】「特定情况？啊，<0A>比如只在这座岛上就没问题，是这意思？」<01>,[],layout_only,fd8a328fe1dba69ab2525a725a8fb97a1b6378103730cc2d0fdbeb41c59c6d0d,7781857aec8a563dfd8b3e7b362be5bcb048eb4def7334fda1159160ec75b139
pm:vm:photonmelodies11.rio.004:874373084:00005868:00024,cvm,【慧】「觉醒了？」<01>,[],layout_only,057ea0b7eb871277c010b6de7fc43c2827cb6c4c6aaace29f2f1891f589e1c7a,d14892f3fa26e2bc7ee18f86c0f6a0410bd6f96a683e9d9c3737d539d622f839
pm:vm:photonmelodies11.rio.004:874373084:00005912:00025,cvm,【武】「…………什么觉醒？」<01>,[],layout_only,91531e4eded729e4f54b61bdf634b98fd93b2160bf462ac6285f506c59a0dfd2,71e0b90e1d58cefb3ad382164f317936c010258f6370c0f7beab9a62fd7ea482
pm:vm:photonmelodies11.rio.004:874373084:00006276:00026,cvm,【柏木】「怎么说呢，难得有这个机会，<0A>挑战一下好像也不错…………」<01>,[],layout_only,8cba4124e58ea328f34ddbea91d97dc52207fc074fe64f556a488459085e951b,248e172271beafacca013e7c71cc49b3770a1830628ed2da7cb502f587d4dd00
pm:vm:photonmelodies11.rio.004:874373084:00006320:00027,cvm,【武】「哦…………既然要做，<0A>与其只是体验一下，不如认真学，<0A>我也不是不能理解这种心情」<01>,[],layout_only,d3d55f4af3205d3aff6c196b84bddefe910c5c9f567c5c6f5e54efa54b6a5f89,156b88e9315f537291145f9cb1f50ff9a2f6315bf425a3da345f4d076ee9afd3
pm:vm:photonmelodies11.rio.004:874373084:00006540:00028,cvm,【武】「不过，柏木也就算了，<0A>彩峰居然会挑战这种东西…………<0A>总觉得挺意外」<01>,[],layout_only,3c9d38d710a6e9bf7729d772fc70445088478cba2338c006b46173cba66c408b,069c331731916f9889594b6fba3e0ec962a506061fd8bfc554a93f23be1ddea1
pm:vm:photonmelodies11.rio.004:874373084:00006596:00029,cvm,【柏木】「也不奇怪吧。彩峰同学运动神经又好，<0A>看起来也挺喜欢这种东西啊」<01>,[],layout_only,94c8ccc6a73427b822e22a90f62173caefca13029b4d4ef1d745d72803a4008f,ec99e5d5d8559cadb94cf4fff2690ab2345c211628edf1f56d18fb5f1691ab87
pm:vm:photonmelodies11.rio.004:874373084:00006776:00030,cvm,我说意外的又不是那方面。像她这种懒人代表，<0A>居然会为了考证去上课…………。<01>,[],layout_only,fca047bac643e0e65d6302e14b6cf22d30392c072c8cef3ec58721ba8b980c79,5941c136f168d22a5e30b1fae85f93c22a69fe6d436850254b73d21154f311fa
pm:vm:photonmelodies11.rio.004:874373084:00007008:00031,cvm,【慧】「…………反正，又不要钱」<01>,[],layout_only,287dab7b2d1197cf2e5dca3a01673e0ae8ab5bef82b9a0a0b2c9120d6fd2fcad,66181d2929dd4739355cf305c41d71534015cd768334f14edbab0c43de1a18da
pm:vm:photonmelodies11.rio.004:874373084:00007052:00032,cvm,【武】「……………………原来如此，<0A>这理由简直太有说服力了。<0A>这样啊，所以刚才才会提什么许可」<01>,[],layout_only,e8131433bcddfff48442f0af93a77e874d2a939cc7a1d3718681a022168659ec,4b6b03b87790e7697ae09423ea9a84168a56b24a4b6251368079e0de8d1bbdd4
pm:vm:photonmelodies11.rio.004:874373084:00007096:00033,cvm,那种课程，应该挺花钱的吧。<01>,[],layout_only,dac7f7295e8e3a89b4452225829dc0b2107f0511c598a9d137008f8b8bee9bae,cbd77d968c95284080ff901c57e6a9734ca06fc71ff19e13e9f89aa237ddf9a3
pm:vm:photonmelodies11.rio.004:874373084:00007152:00034,cvm,【悠阳】「不，我说的是此事根本无须征得许可。<0A>我方才还在赞叹，这是十分有意义的时间利用方式」<01>,[],layout_only,4507d10cd0a2421a0aba2de4efc8c788afb85d339e4aae2a7bb0d761d83d2fa1,89c2283cb771f6b28eb31c2844b564dc51acfaa3ff550facc81e9ca68ffb710e
pm:vm:photonmelodies11.rio.004:874373084:00007384:00035,cvm,【慧】「反正，跟普通的闲逛主义者可不是一个档次」<01>,[],layout_only,7f8f217052f2444f18627ce2d0ba1f1c3a8ce99632ea43584c9eb17fca40631b,4de2404539ad5f487f429911edb6653a3c038a0672c98167bfc45a244298b6fd
pm:vm:photonmelodies11.rio.004:874373084:00007428:00036,cvm,【武】「你对我的外号还挺了解嘛」<01>,[],layout_only,5a98c3ad75fd6a8e4f6aa045b601a06ec9c4c163a8fcf2a9c79df088d08ff041,1476d5f8e1cf5e55675a00631700b0380aa8c0e8f420ce2bc0a0071de13fb7c4
pm:vm:photonmelodies11.rio.004:874373084:00007660:00037,cvm,【慧】「咦？那可是我的原创。想用的话…………很贵哦？」<01>,[],layout_only,33c1db1cd1fb7e6de59dd1ead0e4d7087ec92990c1ddc54472f236cd2747d764,333795ff5fcfd10639923d0bc615b964fb33dc53b320e97e40a15255872a3486
pm:vm:photonmelodies11.rio.004:874373084:00007704:00038,cvm,【武】「少来！什么原创啊」<01>,[],layout_only,cb8999c565c97808f6daeec115a05ca81ac896f262353bad53397909212f5bcc,eef005dd8ac752fc5d7c53c49902803ff6bdddf05cc2008f203f176752e579e3
pm:vm:photonmelodies11.rio.004:874373084:00008244:00039,cvm,【壬姬】「我说，那其他人打算做什么呀～？」<01>,[],layout_only,dc9471acc319ba4b6d18529861faae1141c34edb91d28c8f8dbdfab4f62a974a,ea4a520d6b5195c942c315f7a074e956db9f8cf3b0e7cf3cda64586e8ace4540
pm:vm:photonmelodies11.rio.004:874373084:00008288:00040,cvm,【武】「那小珠呢？有想做什么吗？」<01>,[],layout_only,279c5eb840cfdd20401346dccc9b9b3a54cf1fc3e45a4bce53580cf9a4d531e5,ab834ad5d63c40f0dd7d313a6d6c6083f172e04a72318af29e994721bc20a031
pm:vm:photonmelodies11.rio.004:874373084:00008520:00041,cvm,【壬姬】「没有，完全没有！！」<01>,[],layout_only,727419e70fdbc01e603967b4a8124e9a11d6ace20548806acb8353537a2e8d00,5b5f0111974546b236125216da269ed043d2d263efee659d4ed69736e7885a22
pm:vm:photonmelodies11.rio.004:874373084:00008564:00042,cvm,【武】「这、这样啊…………谢谢你答得这么有自信」<01>,[],layout_only,aa796be3d77950aad204a824eeabe5c251247cebd25b94ca3a2a46e18c79076a,a5fac2b27af841f06c72409754ab51c0a5d5606caa6668323d3f5be9f4781311
pm:vm:photonmelodies11.rio.004:874373084:00008796:00043,cvm,【悠阳】「这里还有网球场、高尔夫球场等，<0A>各类体育设施哦？」<01>,[],layout_only,019fc9f1a12a826940caaab293d0510a55456a6431044004cf79f813f4d8d0c4,9e6aee295c861ce813bd73669da8e8dbf973795de0dcf056f0037eff2bbcb1fb
pm:vm:photonmelodies11.rio.004:874373084:00008852:00044,cvm,【美琴】「我说，岛上的山之类的地方，我们可以进去吗？」<01>,[],layout_only,40a4ae2cf469e4af512e8526dd31c3900e077d5795a95e900292eedd35c5cb0c,09b4ea2a4d8a6bf5b0b2b34f2823ceffa37a8758d47edf0df976ecf02c3577b8
pm:vm:photonmelodies11.rio.004:874373084:00009496:00045,cvm,【冥夜】「是啊，漫步在洒着斑驳阳光的林间步道上，<0A>或许也别有一番乐趣」<01>,[],layout_only,b2f7bb7b7a4f86e2014d290e5225a2f9c126043805807896e537998fd7e3e2ab,3164de62411b8bda3f835e8e18d95a7c44e5675b23cdf8bba462040e3f45eb2b
pm:vm:photonmelodies11.rio.004:874373084:00009716:00046,cvm,【武】「美琴说的『山』，怎么可能是那么悠闲的去处。<0A>美琴是在问能不能去冒险吧」<01>,[],layout_only,00be24ce22d392207ce7ff54ecad2bddd85e3ea6ff05af49e569bdba2b9d91d1,4d6b5265d5d9236053535b339a5600f173423d7bde1e990a73fdccf600894594
pm:vm:photonmelodies11.rio.004:874373084:00009772:00047,cvm,【悠阳】「可以是可以，但我不太建议哦？<0A>一旦进入山中，地势真的十分险峻」<01>,[],layout_only,f4b6ec57272000db8d3809b78ef1fdeebb961fd70e554abba32345288c4c18bb,528622ac57fc322e44973e7e1f663c5c03a7a60c29177cd20655a9d6a4d71722
pm:vm:photonmelodies11.rio.004:874373084:00009828:00048,cvm,【美琴】「听你这么说我就放心了～～！」<01>,[],layout_only,2dfcf21d228e9a2e80903729a34f37fbe84921d4e294945630a00e794e1dccef,96df1f50648dfa4bba2a728804c6de12acfe8ba8eef3ebaf1e08aa3370fad5d0
pm:vm:photonmelodies11.rio.004:874373084:00010180:00049,cvm,【武】「会这么想的只有你。一般来说，应该正好相反吧」<01>,[],layout_only,270159a1b82651b85c2b4b8284f214036280a422a3f4815c9ed0f585f54f8cfa,a76de0c556ed1c0c211e3fb09e843badaa96cebc0c4b426593fe7b630e1efb9c
pm:vm:photonmelodies11.rio.004:874373084:00010824:00050,cvm,【千鹤】「鉴同学打算做什么？」<01>,[],layout_only,cc5a02ddf78f7e005977845593fc09f1cfe6fac7c8cf27e4dc0e3d00a78815aa,2d46118ab5c78d6c45c1ba3e111503d0485c2f903a4200d9e4900faf25326f2e
pm:vm:photonmelodies11.rio.004:874373084:00011056:00051,cvm,【纯夏】「咦？我？我嘛～，想和小霞一起游泳」<01>,[],layout_only,1bfdf59b4a250f358d45af9a6327ad44411e6b28b98d1d41964e15d5cb49f3da,fcb48422c224f1a692f95fd84caaa410cfbc4804f8ac851b05ac1e81746318df
pm:vm:photonmelodies11.rio.004:874373084:00011112:00052,cvm,【壬姬】「咦？可是你刚才不是在对面的岛上游过了吗？」<01>,[],layout_only,9f847a6efc829b46af1c8b276bd0d38043869ff5a55db16b8de6cd063095930b,faae61871441b1ac00e563ab7d2c7a0fb6c15b790e2be8152daa7f32376f7886
pm:vm:photonmelodies11.rio.004:874373084:00011344:00053,cvm,【纯夏】「那是在捡贝壳啦。我们捡了很多，对吧？」<01>,[],layout_only,285fab98ce731a1a18b414ea6697c9a8b4e392aa29193909de1d2993e69b138e,c7918df216adfd4b2c4143e09a0f6eb38b71e440a555b82aea31515a9c0bca90
pm:vm:photonmelodies11.rio.004:874373084:00011400:00054,cvm,【霞】「嗯」<01>,[],layout_only,0fcf89a8f8d99f37435a903619f68e6f81c4eb389d4496581be9ffff99bcc86d,52bb38be7cb8ab95764c32ba52518dde6f91fc55b06ecaa7fbd3a31008e639e7
pm:vm:photonmelodies11.rio.004:874373084:00011456:00055,cvm,【纯夏】「下午打算让小霞第一次下海游泳，<0A>所以还买了泳衣哦！对吧？」<01>,[],layout_only,40198d086f19d321c122ff073030b176c6d4db20d272b4c73c0406656fafdcf0,861da280c33e6fc1cb8d0e7c02b82d8da0a1ceb9848e44a9687720199bd7c582
pm:vm:photonmelodies11.rio.004:874373084:00011688:00056,cvm,【霞】「是…………是的」<01>,[],layout_only,bef9ca8bbc031019c00e80fc813c8a1fddbb3a876f2a4d87608b1da362083f29,a4f8bba676856591b0ecf04b573ef2c3532c216f69148805997171eb69a48f7a
pm:vm:photonmelodies11.rio.004:874373084:00011900:00057,cvm,…………霞这家伙，到底买了什么样的泳衣？<01>,[],layout_only,f479e30cd5490e501896d08306afb33c9af80b462c842d427094fbfb3cd5cb39,8e8f004d358bff170cd0d91daf036c833152ceba71903ce185a5f9264b57bd84
pm:vm:photonmelodies11.rio.004:874373084:00011944:00058,cvm,纯夏那家伙，还说是特别适合霞的…………<0A>弄得我都好奇了。<01>,[],layout_only,d683bbd3032036d74fa1939f66f5b5f7f2b86a2b73e77ca58e04739e16f8a2f9,a97ce0f7dfddf1a57c6dc99f312cbc9e15e404a4d3d84ef0ae92b68b6eddeeb5
pm:vm:photonmelodies11.rio.004:874373084:00012020:00059,cvm,【武】「霞，你没带泳衣来吗？」<01>,[],layout_only,ae18b1750489735d4fe4061530b71003d6849117946da2eb0c013ce2e7eb738e,3629152c977d931e348ed796eedd8539d49c307a3f6bb8b69ef41acc9f2e2145
pm:vm:photonmelodies11.rio.004:874373084:00012384:00060,cvm,【纯夏】「小霞呢，好像原本没打算游泳」<01>,[],layout_only,3123e89408e376805620ad5466ffdc15cb3b446a5bbada9c3269848d9b082704,f8cccb9d0d95e99f7cbe0a0406f3f96be43cfe973da31743c266cc21c0a1f132
pm:vm:photonmelodies11.rio.004:874373084:00012440:00061,cvm,【霞】「我从来没游过泳」<01>,[],layout_only,fc6c13d8a54b472c0d62b0b83c2aca6055297a28595c13f7fbefe12a1757547b,00c95c2cfaa2dbbc440ec16422673a68dd7e13e49f7d28cf60a24576a9250249
pm:vm:photonmelodies11.rio.004:874373084:00012672:00062,cvm,【纯夏】「不过你看，难得来到海边，<0A>我就问她要不要试着游游看…………」<01>,[],layout_only,081fc00840b8ab2c4c005b733b722f8e6167fdfeaca2bc9b78b1455c92478a03,a0ec604ede8ad15d48b77c8eae379cfff5ef1612d36fd99f06557baafe8cb8d5
pm:vm:photonmelodies11.rio.004:874373084:00012716:00063,cvm,【武】「这样啊…………」<01>,[],layout_only,9321762a165ee466a989d57a1b77a723260281dfe865835556ea828c614ba236,77f4a3c52a31783de83bb46b8405cd652af6dc207fd2b07bf6356d52904f2a26
pm:vm:photonmelodies11.rio.004:874373084:00013388:00064,cvm,【夕呼】「我说，你们几个啊…………」<01>,[],layout_only,ac6d6ec60efec3c1795b08b0e19e0a24c0760df1f87d0490055f1100c07617c8,7ad126125d7eacf86ad6eb6749d87b50b4d148b4bf0f33e6af3ed44ece40b720
pm:vm:photonmelodies11.rio.004:874373084:00013432:00065,cvm,【武】「什么事？」<01>,[],layout_only,0c493eef34dd993a0fb29f1be5d4f9707c0aa8ea05bb56ba1999adb5e0133c9d,1c31059277c51a88dec6d9dcd19d59ce3dbdbec8693974cbd6870cf70d4fa3ed
pm:vm:photonmelodies11.rio.004:874373084:00013664:00066,cvm,【夕呼】「那个，你们觉得怎么样？」<01>,[],layout_only,69dcdfe8eea97aa721cf4c79cbbbc8f4ac441415dc05e32835bad664abf57a47,99c44cb6bdfce23ad5e893bc1893a057c15409e6d42f7c604bd4f68c3d34e941
pm:vm:photonmelodies11.rio.004:874373084:00014308:00067,cvm,【茜】「…………哪个？」<01>,[],layout_only,a0c7d02b5cdaea9fcd6fb66c4e2fe501589ba543a7ef75758079330b69badd65,0a2b3013a3b6d62613b656d1a05d7477c2bcc5099e9aad9dda4c8c8422c5262e
