binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1068948144:00009532:00001,cvm,【武】「太好了！！！」<01>,[],layout_only,7f0ca046b9f23ce599e081ed449e4065508c3febf8f4d76c05a7ab69375427f0,e8c4dd606d2bea6b268f20aa5c585399d3d52416a75ee5192448189329e5cef8
pm:vm:photonmelodies11.rio.004:1068948144:00009792:00002,cvm,【夕呼】「哦～～，看来你还真有点本事？」<01>,[],layout_only,e07ef2df49ecbb50d486c5da8f5efb6b4a53bb334677590993afaf83f520cb5c,797f5badfe4ed6c8f68684c37610c05a68ea06cd0fce0320b425134c2b1f3713
pm:vm:photonmelodies11.rio.004:1068948144:00009836:00003,cvm,【武】「啊，老师！你就看着吧！」<01>,[],layout_only,0477e3b974e013a95c2d192ab5b60f7826c9f8a1804d4a1877e2d9edcc939336,bc0a454abb3ee58d85a80ef5c8a20dc604bcce114d8258d6ff2fdb520c075cf4
pm:vm:photonmelodies11.rio.004:1068948144:00010068:00004,cvm,【夕呼】「也是呢～，毕竟才赢了一场」<01>,[],layout_only,53c5784d0b6d3e406441646e54e65cf43fa06d9dada9e7981e35be08e1fcb0b8,36561bb70ffbfac8e465df78bbb71ef93d3293758004d9cf3c205737f4ac3be3
pm:vm:photonmelodies11.rio.004:1068948144:00010124:00005,cvm,【观众】「哦哦哦哦～～～～！！」<01>,[],layout_only,711907d39d2ba650303060e2d2aa44df3faa763edbd3384df8fc38d729e9b57e,39f8cc0dcfc80b5d95724b17491d5c69b41f5ecaf24753586c380d2dd886a4c1
pm:vm:photonmelodies11.rio.004:1068948144:00010168:00006,cvm,——哦！？<01>,[],layout_only,b9fc3ed9f5118162c5ac969a1d096c842149c72ed60229afb02cb0dc53f00612,0093810976083bb60d7ba72f755156a56fe3539974fe8bb3d1418b9ab887c5b9
pm:vm:photonmelodies11.rio.004:1068948144:00010212:00007,cvm,B队怎么样了！？<01>,[],layout_only,5ba03679c0987ec5f1acbe9859c668a1ff747657244bfa01167746c2b3471198,6bd29151b1117be2c6f0eef8b46e7db9822b56a9b0cdd5e81121f25a5cf003b8
pm:vm:photonmelodies11.rio.004:1068948144:00010300:00008,cvm,【观众】「哦哦哦哦～～～～！！」<01>,[],layout_only,711907d39d2ba650303060e2d2aa44df3faa763edbd3384df8fc38d729e9b57e,39f8cc0dcfc80b5d95724b17491d5c69b41f5ecaf24753586c380d2dd886a4c1
pm:vm:photonmelodies11.rio.004:1068948144:00010900:00009,cvm,【武】「好！！」<01>,[],layout_only,f34525b6dee530a73c3b6302d96aad94e458fdfb7b14cb2945a3087574581836,c43d78c6c7b210e651432ca0c79455e70136e728dc45dfe5b05c7532ae039f2b
pm:vm:photonmelodies11.rio.004:1068948144:00011160:00010,cvm,【夕呼】「哎呀，干得漂亮」<01>,[],layout_only,4524a62c4e97f3dac5dab8b1e27f28c7d69c55da9cf6f8d8377e2c26468c4077,610cd8579d78badb302ea31c242e45d034ba7ea2cb9712e3acc6c9326eea1b6a
pm:vm:photonmelodies11.rio.004:1068948144:00011204:00011,cvm,【武】「哼哼哼…………」<01>,[],layout_only,0b332ab60bd6228263ef9603d19a8ed0f34a7210d9ae2c4904df963766880a46,e6dfa5c0dd6261084837c5ee445d7596341324213812817f0c9984ed149af72a
pm:vm:photonmelodies11.rio.004:1068948144:00011436:00012,cvm,【夕呼】「看来多少可以期待一下了？」<01>,[],layout_only,5a677744a6aa1a29c12885493385604dac6a457142b1e4112d68e82a52916ebf,c89696693d2dac9700ba46a5d56193c1eb9860e02077bb4243588de799a9c916
pm:vm:photonmelodies11.rio.004:1068948144:00011892:00013,cvm,【月咏】「武先生，第二轮比赛将在15分钟后开始。<0A>您应该立刻考虑下一轮的阵容安排」<01>,[],layout_only,593b95a73ade6cabeec30a83fb6ce0a527463c93af0ec65120d4f262a2205f56,2856b502d1921d1b29c5718b8a823084fc1d9115ccac6b1b440543b27d2a956d
pm:vm:photonmelodies11.rio.004:1068948144:00011936:00014,cvm,【武】「说得对…………」<01>,[],layout_only,5b26bbc345031cd310c621a7a9f32ea25c6b197536f754e2b2140c677cfcf33d,1a33cf2d6b79331f177085e47493a201310518524fc3d8499225cfb6ac7a2e10
pm:vm:photonmelodies11.rio.004:1068948144:00012168:00015,cvm,【月咏】「各位，消耗的体力似乎比预想中更多…………」<01>,[],layout_only,1c926bdbe64455204db886eac1d551cfd33c94e14388fa09520291acfdf30b17,6327b3e7199012a509ecd07fedf42f1fc55ac22f2d266eacc43cd127523d0809
pm:vm:photonmelodies11.rio.004:1068948144:00012212:00016,cvm,【武】「是啊…………这点也必须考虑进去…………」<01>,[],layout_only,e2cf94270678ec9ab703b2d06f4ea29b98e3b9c5dc2a85d96fb9ed67b2dcbc24,d2f68ae24ee61b5dfff7f1a8cff7128221041b7803641f4a1f7c730c4ff469a4
pm:vm:photonmelodies11.rio.004:1068948144:00012256:00017,cvm,明明只活动了十分钟左右，<0A>感觉却像已经四处奔跑了一个小时。<01>,[],layout_only,850debdba75dbec00c755911863ffa8b68a6057fdee59fc3dc2b8ee7832c6ad1,236745e212fbf916f1d97ec7d2a0b409007b4e48ee5dbca0e4904fa7d2eed7b0
pm:vm:photonmelodies11.rio.004:1068948144:00012300:00018,cvm,虽说能休息15分钟，但这点时间真的能恢复吗？<01>,[],layout_only,5deef879c2c3b6e684bf94973d4f67c02b50707f721088236e7fe52bc5a4e529,3b2444c1a5252fe6dee88630bdd0bea7768ebbb91808ee6bef3737e2286f963c
pm:vm:photonmelodies11.rio.004:1068948144:00012344:00019,cvm,看来连续出场比赛，或许会有些吃不消。<01>,[],layout_only,7e380123715825e22e31c343062c6930148ca210e704659edbe285965ce0f102,fcf3e6b91c9a8a6ee8891e2fb65b16a21b5d626039e477852e962a64f2914017
pm:vm:photonmelodies11.rio.004:1068948144:00012576:00020,cvm,【月咏】「武先生…………请悄悄看向身后」<01>,[],layout_only,677d801c53685f50f2652a09e888a635a3301fc57d24666034e0500e6c87c490,1639313e736981e87f207c7ab3161c1ea64a07b9f324537c6e6911fcba10c14c
pm:vm:photonmelodies11.rio.004:1068948144:00012620:00021,cvm,【武】「咦？」<01>,[],layout_only,77e63d069d95aabd948bf49f0d1875e61a92335dbc417006761d81674ec8c185,b55249e3c0ee06935938d08a2f8a65d886e446dd4c309f96d3566d3e47b2f343
