binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1139636328:00009628:00001,cvm,【武】「好！闯过第二轮了！！」<01>,[],layout_only,8e9d591c77ccbcabe55f57c3ff97b56e833a47d9792b7d8d3fe3885370e2148f,3a6ee42780e3dcb371addcba61e66e9fd6d29d05a4734da2bff4773b1fa1ca1c
pm:vm:photonmelodies11.rio.004:1139636328:00009716:00002,cvm,【冥夜】「武，我们成功了！」<01>,[],layout_only,127bf7b1e40e7aa02ee2550dff19a55c71f5a37cfbe19aa3be1d80ec978a495d,9db642c04098f3cefeb0bfc4465e0b97c3fb7e502804ee3dc853e69edf9d3af2
pm:vm:photonmelodies11.rio.004:1139636328:00009760:00003,cvm,【武】「当然！！」<01>,[],layout_only,1de1b0cf06e10ec141e29cfc08a0b4ac493c72dbc8daea7138e9555e37fbc9ab,8115ed19d6d4b184c15d3827bf55d1843178e79fbfc5964dbb1af6ae452743c4
pm:vm:photonmelodies11.rio.004:1139636328:00010384:00004,cvm,【月咏】「冥夜大人、武先生，恭喜二位！」<01>,[],layout_only,0e408dc335fc2f69da5bb45ba142f86acaff658928cb42c589e2838fabb07b93,b7fe6f4223b62c63f545cd7779003c4c742aa6c8bf27b6b52ce718a5af817d25
pm:vm:photonmelodies11.rio.004:1139636328:00010440:00005,cvm,【冥夜】「嗯，能够和武并肩作战的喜悦，<0A>给了我巨大的力量」<01>,[],layout_only,816cdd6efd34873cbce5cc1a107adff20db6fea0b09a000faea10f569239d65b,f788ae3c315f2201cdcdc175671624cea026df1ac0add14ecfa426174a796257
pm:vm:photonmelodies11.rio.004:1139636328:00010928:00006,cvm,【武】「什、什么嘛，你也太夸张了」<01>,[],layout_only,363d0e961872c9679b80289e8f079f1a17c046744354a1651188407704abb0b4,3b7eaa1c626b441e19298e0da714b2fd0ac7605c1d78aa646951b0cac36a5b5e
pm:vm:photonmelodies11.rio.004:1139636328:00010972:00007,cvm,…………这样会让我害羞的吧？<01>,[],layout_only,ce6cd70f87c86d95caa1236af665ad28f4a865d34749a8c5b1027d3271e9b000,c5ba487d4a7d96faf0a6d41c998ffb8cb769b171ac2b30d932b9e453b4d8bc29
pm:vm:photonmelodies11.rio.004:1139636328:00011204:00008,cvm,【冥夜】「哈哈哈…………」<01>,[],layout_only,ffd78d3300bfcb496cc97b4bc04f2e5ddeb1239fef0f16ca687a60adee3a7159,b59808095bc6ae3154a048631f5365876e8f7faf16af110553b6db415228112c
pm:vm:photonmelodies11.rio.004:1139636328:00011436:00009,cvm,【夕呼】「从这种男人身上得到的力量，<0A>也就那么点吧。后面还有比赛哦～？」<01>,[],layout_only,e72209eb1e4a7a081f2da153c2ffa1f48548406443fc9ffdf136f64f7ad418e6,ffe268b5ef2b34eda04e9dc6832f5499ff6993333b2dc36ce615dfc322c419b8
pm:vm:photonmelodies11.rio.004:1139636328:00011616:00010,cvm,【武】「…………老师，你也太过分了」<01>,[],layout_only,c9040604c3dc4a951e7dd993f6cb9110511dc73ebb358298a180cdc1cdbd8e77,71862208eab18898aa7f23ff1032a1e52c2b486f034823ed57d5f726576d0bae
pm:vm:photonmelodies11.rio.004:1139636328:00011972:00011,cvm,【冥夜】「那么，B队怎么样了？」<01>,[],layout_only,0728a169fbd6c14b3e062397cefa81ecc5df1cf8262b88938c4b87e6510d30f3,3c0290117008ccea7257f39e6d85b34f5e7cca6191d31c113ba91860bdc58bb5
pm:vm:photonmelodies11.rio.004:1139636328:00012204:00012,cvm,【月咏】「这个…………」<01>,[],layout_only,2f2dcef61bf040f4b32569d73038a7f7741e24a778500a2f0fc1c26c0b7a05cf,a079d5195e74ee97495c8ba581dced24e179a9025cf769cbc10c13204800d6c7
pm:vm:photonmelodies11.rio.004:1139636328:00012436:00013,cvm,【夕呼】「输了，输了！」<01>,[],layout_only,eaf02b5b5e6b6b4388423e42f461700cd38496a68d6f24cd9a3b4ca20b9e2775,844e2bfa00800d018b2717dd3b8d607954d6ae3dd7a9110fa727b552d46d1925
pm:vm:photonmelodies11.rio.004:1139636328:00012668:00014,cvm,【冥夜】「什么！？」<01>,[],layout_only,e7fa6b4ee2b27d378abd2aba70edbf5ba32e55ace89296a360a1cf9d211ca934,0b47d944056977a0df8c3bb4125733bbc57e92f80223f18e5bf686a4d644d1ce
pm:vm:photonmelodies11.rio.004:1139636328:00012848:00015,cvm,【武】「真的吗！？」<01>,[],layout_only,2e9aebd171e750c089ba08be57a05426a990dd595100202be50d28bc50ad66d4,64ae7ec5169c77ee06ef11f42cbe7d18c1b29f4ce3064edbc933115db101daf7
pm:vm:photonmelodies11.rio.004:1139636328:00012904:00016,cvm,【冥夜】「这样啊…………我原本还很期待伙伴之间的比赛，<0A>没想到…………而且，<0A>现在还变成了必须多赢一场的局面」<01>,[],layout_only,e7235a705df77b25f2562ffd63915a375c1342f3e55e7130e0b4b7db361d3488,3454b54dd88ca1e808c323bd249974c36aca753dcdaeb81d7d2dcf5a3395944c
pm:vm:photonmelodies11.rio.004:1139636328:00013084:00017,cvm,【武】「反正接下来A队会一路全胜，<0A>多赛一场少赛一场根本没关系！」<01>,[],layout_only,af1f64003625395710b7b7e834844fb1b0c70b8e50c2fb149135d60fe66ed24b,8c4b1bff7d3614541313df3764c6af24111e84ba0d22c60ca962ba57d513033b
