binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1199844672:00002532:00001,cvm,【纯夏】「小武，我们赢了！！」<01>,[],layout_only,819f5ce39a7afa9b78ee8b971f32bed067acf16178ea7182409d7af29a3beb6d,36203833133194d63b4bf2f9eeafc5791969f813fdc6b402cc985c2d7b657889
pm:vm:photonmelodies11.rio.004:1199844672:00002576:00002,cvm,【武】「是啊！看见我的实力了吧——！！」<01>,[],layout_only,f701f1a95ecddac074eebe1a6fbf172478946b42588859fa35d158b07ccf28fe,15aacc90745acd79422053420e314928c95608bd8fa0564d5ba06d6d07faad28
pm:vm:photonmelodies11.rio.004:1199844672:00002664:00003,cvm,【霞】「白、白银同学…………我们赢了…………」<01>,[],layout_only,9fbc2726150879118ca87bc9de664400058079f1a073a7013ef7f8208090cb67,f95d9fab19ff95e72063c23b26ab3271d1d74e41c56dbb0b924d20f81180b81c
pm:vm:photonmelodies11.rio.004:1199844672:00002708:00004,cvm,【武】「是啊！干得好，霞！！」<01>,[],layout_only,99a89e740c40eb0ca03f4a42714bfb558b50cf8f3139a1ffd267fca36d464dfe,84959f818e0b9f6db89620bc54314404b82c4e3f5c667fccca12b62180a47fff
pm:vm:photonmelodies11.rio.004:1199844672:00002796:00005,cvm,【冥夜】「武，我们终于做到了！！」<01>,[],layout_only,d786e8e193f44725b74482dcc567f2d51271b260b8a287e8a82960db14869f8e,818a4336c397957fbdbe33ae9c6edfcea977142d16371cf645dae11ef85f5737
pm:vm:photonmelodies11.rio.004:1199844672:00002840:00006,cvm,【武】「是啊！唔——！！我做到了！」<01>,[],layout_only,da747e461e464b4b41d70cf8b25bdbc1f9f0e0ec376c6e378164acd2b8e0e418,7f4bced7e7a8624edd1673934328dcafa0da2534bdc1a16c05102da031aeac6c
pm:vm:photonmelodies11.rio.004:1199844672:00002928:00007,cvm,【悠阳】「武先生，您表现得太精彩了！！」<01>,[],layout_only,ee4f357c77c658b64fc3d3e1669aa92ccc90000887deaba254dda8b91e2f4a9c,7a314d9467c08419fb93e377701e6daa0f482fd5903ccc5446ef5d68576ab6b1
pm:vm:photonmelodies11.rio.004:1199844672:00002972:00008,cvm,【武】「哇哈哈哈！！成功了，我成功了！！」<01>,[],layout_only,66ec497c1439b8abdfd97be8aae2b0867792a61736484047d0af099ed8a91ba9,ebdc7ce54130e8d97fafe314e75bca63a95593fbd67f69a9dee1a1e001fcbee4
pm:vm:photonmelodies11.rio.004:1199844672:00003060:00009,cvm,【千鹤】「赢…………赢了？赢了啊，白银同学！我们赢了！！」<01>,[],layout_only,449b276f732262e73c5f67662012792cdf98fe4ad62c07655602bee8f72cb850,0ecaf80b79e7a8f43b6a01d6e86e86f579d75921626e8be04a4428f01c635605
pm:vm:photonmelodies11.rio.004:1199844672:00003104:00010,cvm,【武】「哦、哦！冷静点！冷静点！！」<01>,[],layout_only,e2bc2493e90ab382604167502a186beef529075076e5ad5c3d19bc8bab48fc86,b687488a210c2d7f8a0a48063211247305e00d05a79be6c1ccc83f3130c1bb97
pm:vm:photonmelodies11.rio.004:1199844672:00003192:00011,cvm,【茜】「哦～～，居然赢了…………」<01>,[],layout_only,c897c522a9e79ac8f1d72d3403d9c16125ab7041c6d59d990e2df00572a4d0b8,5b07dcdcb04bb9fe9071189e45dc65e39ae2532d6b5378e56c2ce6c7d3a309a1
pm:vm:photonmelodies11.rio.004:1199844672:00003236:00012,cvm,【武】「呵呵呵…………我们赢了！呜哦——！！」<01>,[],layout_only,60e6426620252482fd89a772942987a1dea092d35fb0b4b55e526155e0ab3b26,8ccbb5ff4b11343dca86b477b82df089664cb9d48f4ce8c4b246e3b27d10293c
pm:vm:photonmelodies11.rio.004:1199844672:00003324:00013,cvm,【柏木】「白银同学！赢了！！赢了赢了！！」<01>,[],layout_only,d760a4508e7e345d3cd61bee2dcfd957a87baa281085511182b8a3236592a898,4d10a723408c5014e9d66817ac3fb60cde4e33fa710a0e9a9e4ba6ad350aa19b
pm:vm:photonmelodies11.rio.004:1199844672:00003368:00014,cvm,【武】「哦、哦…………真少见，你居然这么兴奋…………」<01>,[],layout_only,a7cb21a2a1bd295044cbab10ac0e1e0088d2a3af387f538b3e268a2f6025d8c5,1aefd1d59b980373f3efaf39ac42a9e8f2778c07b75a4bf4aedcd17cc8a8827a
pm:vm:photonmelodies11.rio.004:1199844672:00003424:00015,cvm,【柏木】「可是，你不高兴吗？」<01>,[],layout_only,626d70d1f9318452d5873fd66eef5ed9866c8588b7541c9f8ea7f345a44fdcf1,57853404d82234e6b7d92342461ae9f2b9e64f802dcbdab62d97880dda7ecc27
pm:vm:photonmelodies11.rio.004:1199844672:00003468:00016,cvm,【武】「当然高兴啊——！哒————！！！」<01>,[],layout_only,3cc80752e1b5d9ba7a24c8b32735ea5b3843c9ab5ed620a21d456373c77bfc88,8b03c23219a2c4c0efe56feb25a143e2d778d6befece98c3e7449e23d3e82073
pm:vm:photonmelodies11.rio.004:1199844672:00003556:00017,cvm,【美琴】「武～～！我们赢了～～！！」<01>,[],layout_only,a80426975921cb42dd63ba2f3ed718b62946d26b5ec7dfedd188ee9e835d14b8,e3c21742b2f56c94594ba0c98ea711c4baf48d56b51bc83f0616294710a97fd0
pm:vm:photonmelodies11.rio.004:1199844672:00003600:00018,cvm,【武】「哼！哼哼哼！！好耶——！！」<01>,[],layout_only,4bdebc17d8b9b7f3f932cb863604f37b93fbb375f044c1b2ee382a4bdef3c449,85b5cc410f6bea01e8b52dab8e1bf353d17fa6785c8e243808e2b7597691a20f
