binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1216455180:00002020:00001,cvm,唉…………真是的。<01>,[],layout_only,3530c740532cdfd9ebb282c0508a9e416222d098459d9216e92422466a3da50a,41dfcef17433de4e6752d6f4b8ac81ec4edf3ffd3793cd3234afddd0e8b7a840
pm:vm:photonmelodies11.rio.004:1216455180:00002252:00002,cvm,【声音】「哎呀，武先生？您怎么了？」<01>,[],layout_only,13ae53a298f4afc530c6e54a4a491b75a82a141a0b388000ef67ba33a1eb996d,ab1f85bb9bfd3584cc2eddb768e961f1e85e69b79d176f046a36638a97b53afd
pm:vm:photonmelodies11.rio.004:1216455180:00002432:00003,cvm,【武】「啊，月咏小姐。<0A>哎呀，活动一个接一个地来，<0A>该说是有点累了，还是怎么说呢…………」<01>,[],layout_only,aeee164dd8e03a745ab974ec12e8c1cbe5ff4c4f000b30f281488fe4eea45fae,63a21874bff87c3256903a977bff9f2720eb3ad51173b9b97f4beb00601a263b
pm:vm:photonmelodies11.rio.004:1216455180:00002664:00004,cvm,【月咏】「这样啊…………」<01>,[],layout_only,39a9cc37f4e253c348b09863a0012fae06d4526a2882627079f8b5794c76aa94,64c403da555932891a9c7fcc6f8fc8393942e5e132d93f78db207b8eb520a49d
pm:vm:photonmelodies11.rio.004:1216455180:00002708:00005,cvm,【武】「毕竟，那可是价值一亿日元的厕纸啊？<0A>难怪疲劳一下子全涌上来了」<01>,[],layout_only,a94a11e988cbf4104876c2bb77a1af9380166b45e710bba1c28ec70d497f86dd,13e117ad8c926bcff347c093a0ae6208aa554dd5f40689675e9e2b69a358ff44
pm:vm:photonmelodies11.rio.004:1216455180:00002968:00006,cvm,【月咏】「哦呵呵…………」<01>,[],layout_only,0fb07dbf8024b604085f5d32a098bf5366e3c6abae5033a692e2d08e6b034e10,8891d824717861aded79ad522e3c2e9f530cf263a6a79d9f640758b6b1df4999
pm:vm:photonmelodies11.rio.004:1216455180:00003148:00007,cvm,真是的…………价值一亿日元的厕纸到底算怎么回事啊。<01>,[],layout_only,8dcb2499b11bda80b973d24f9b3d1690457b557b61e9cfdee3b854307e8a6afe,37dfb6ea5d04016169b79faf585211e1e2dee32fa0e71cb6ac9d36eefa59b539
pm:vm:photonmelodies11.rio.004:1216455180:00003192:00008,cvm,那东西或许确实让有钱人垂涎，但我才不要那玩意儿。<0A>而且我们还莫名其妙被吊在了树上。<01>,[],layout_only,764825291a59ae10d60d3e1c9a17043707258e4639599b8cf59ef6e7f7d9ac86,71f40189bbc41e945e5feccdb9f5fee457006e81d4c027ef2414a2df78e26781
pm:vm:photonmelodies11.rio.004:1216455180:00003236:00009,cvm,锁链刚突然缠上脚，<0A>紧接着就以惊人的速度把人拽了起来…………。<01>,[],layout_only,a4225679232d27e2414e1ef6685b52c5374b1b897d99a1d6ca88ee4598b20885,48462add1bdbc92cc2cded74683c70f723c1b8b11b533a90e5e27b6f3825ddb2
pm:vm:photonmelodies11.rio.004:1216455180:00003280:00010,cvm,那东西，怎么看都是忍者用的那种带配重锤的锁镰…………<0A>为什么啊？<01>,[],layout_only,bc14afd86081f811978e6d54815a5b92114f4d190370263857b1eb7c2f6324b1,4a2ffccf875073d33fe5a0d98d59cf4b8644a139fbb3ea6b3423af0e233f856a
pm:vm:photonmelodies11.rio.004:1216455180:00003512:00011,cvm,【月咏】「我看您好像也没怎么用餐，是因为疲劳吗…………」<01>,[],layout_only,79855b0cbc13340aab325b90b55b637ecf4e6e5e23cadc17695c4e803e2c4e54,b663172fc6e63620a705d08af354aa46ee530f5c8d14d8dfc3d3d92eef357e74
pm:vm:photonmelodies11.rio.004:1216455180:00003556:00012,cvm,【武】「说实话…………大概是吧…………」<01>,[],layout_only,c8e68cfab6b5052f59081966de85b808f9cf795ff20ddb50fd923a93fa9531d8,88b88c6f83335bb723fac343226acf619879ab321bcbea997ef245bada78d678
pm:vm:photonmelodies11.rio.004:1216455180:00003776:00013,cvm,自助餐是挺好的，<0A>可一看到那堆得像山一样的食物，光看着就饱了…………<0A>太浪费了。<01>,[],layout_only,655e6376abc412499a949f7f5f069036d58ebc690ddeec207b33a77d31dde530,dfec2e49f17480935d1357af34efd34516d8c2cef979b16bb064fa9afc47fd06
pm:vm:photonmelodies11.rio.004:1216455180:00003820:00014,cvm,【武】「不过，睡一觉起来，<0A>我感觉明天反而会把今天的份也一起猛吃回来」<01>,[],layout_only,86e6472efdd22d7ed8a465bf4d966bee20a3fcd59bf6ba118b9cb9ac07c86d04,39b40b15a113f469f37d6f587829040a1796f7ba33bcb3ca4d99c9f1466c4ffd
pm:vm:photonmelodies11.rio.004:1216455180:00003864:00015,cvm,这种事，自己多少还是有数的。<0A>明天吃早饭时，反倒得提醒自己别一兴奋就吃过头。<01>,[],layout_only,c2265556aea02d04fed421e3ddaf200472fe933cdaa778d64a7b9dd0ae2c8f4c,6474bba92882125afa34b75a5b17a085289a7ab862a374ca181a31f53c7b7951
pm:vm:photonmelodies11.rio.004:1216455180:00004096:00016,cvm,【月咏】「若是如此便好…………<0A>若有任何需要，请尽管吩咐」<01>,[],layout_only,4622e4eaf10d2909ba6b02dee9daf973b4427798e0e4246e2d141e0f78bf5108,d2e11c14c960767e9d31d67d5ce00f80c968021ac4f2284681afa033fad70334
pm:vm:photonmelodies11.rio.004:1216455180:00004140:00017,cvm,【武】「谢谢您」<01>,[],layout_only,7ee6905e9f6a4587876c64e02c3e3a47c9ea7a11d6a5d20c0d1c429d75a58a12,b6602663b776b3d09634d67dbf95baf21bc68b943b494f50e03edd9621531a87
pm:vm:photonmelodies11.rio.004:1216455180:00004372:00018,cvm,【月咏】「那么，我先告辞了」<01>,[],layout_only,7830db15797ec075e38d150f3ccb633e15d1fdbdd46fdb6abd437c801bfbef36,d62379713c0f58462ba1a8cdfb5ad939c31cf92fc5f5e47aa61e6c5a44e6c5ba
pm:vm:photonmelodies11.rio.004:1216455180:00004828:00019,cvm,【武】「呼…………」<01>,[],layout_only,8eb943cab5aae65edf38538201d97940d78ff1a5b2783edfffc6c7288c8b7bfc,8e7ff94c13b4b98550b7ab9df8406357dd1349201c5b74d2f03de47498edb22c
pm:vm:photonmelodies11.rio.004:1216455180:00004884:00020,cvm,【声音】「你累了呢～」<01>,[],layout_only,bfc596b04bcb06953bbe35bb9941ed2a7ce435dd5c87c0a150701245680ac5a6,79775352a062e99376e6994eb439a42e53c220afc3f1204c9c07e46bd26be095
pm:vm:photonmelodies11.rio.004:1216455180:00004928:00021,cvm,咦…………？<01>,[],layout_only,d7e8735ab8ae8c54388ae8ec161b64c7872d2aa5ff37190e03b7fa33547be3bf,c12ada33a831e0fe0604e9458f33b8818aa50788767572637e418a4f54bad7f1
pm:vm:photonmelodies11.rio.004:1216455180:00005360:00022,cvm,【武】「啊！你是…………」<01>,[],layout_only,aa681debdb104a56417ac64e8809d0415cacb70a2dc41a441111bef627422478,49f84fb5813a3752fd6e675a6c8976d236b2f83f3be24640f982139b2a0e5b71
pm:vm:photonmelodies11.rio.004:1216455180:00005436:00023,cvm,去温泉时也遇见过她…………这个人到底是谁？<01>,[],layout_only,b4faac7ee944fddf8f3c14d18683576c89bcf3561eb84e88a08f38b815a3be18,3e984013ed6fe561445ba40b6011a59a6ee41ef9a304ac248d1ab52b6bca5b0a
pm:vm:photonmelodies11.rio.004:1216455180:00005512:00024,cvm,怎么又来了！为什么我非得这么接二连三地遇见她啊？<01>,[],layout_only,82a88bb8a933c487d1e233a06f395014527a23bde0fa249edae61d07534ffbc3,fbd9c7ba13cdf00786c35fba9c4dce0e3d6348c2a3fc267fc8f4adda88acb647
pm:vm:photonmelodies11.rio.004:1216455180:00005792:00025,cvm,【女性】「戴维～，你已经累了…………<0A>休息也应该是你重要的工作之一…………」<01>,[],layout_only,590185ef5079ffb2ae21916fc364b6c55fd01bbb1411030385bdce26ff55a9a1,78ca294f6f905235156fa1cdf8f3b003b66509803369b7da45959d1ffca37759
pm:vm:photonmelodies11.rio.004:1216455180:00005836:00026,cvm,【武】「哈啊…………总之，我可不是什么戴维先生」<01>,[],layout_only,fd8c9f47e9ebe1c8f6e5d86882512d8a5483489015eb42bb71f7f51a51243364,b9fe42b859419cd353da47285268f187cdb40e7a71c17b754cb93e5d82aa96e1
pm:vm:photonmelodies11.rio.004:1216455180:00006220:00027,cvm,【女性】「还在意那种小事…………<0A>你把神经绷得太紧了。必须再放松一点才行」<01>,[],layout_only,397dd7c03c788a16430d037a12097f42036012a4b6e5e2c0bb5893a216f74feb,419df4e826615d30257ef26b8eceb3923e9e0c88b484b108dbb6ffbe36fb4b90
pm:vm:photonmelodies11.rio.004:1216455180:00006276:00028,cvm,【声音】「——武先生」<01>,[],layout_only,6ae2a2b6779e27d91d8d6e3768456bb1d0c120928e3b8b1477b33c4e4c811523,e5e041db0f06a9d3c7debca3993b1ba35548649d9b2e84723836c237841b9799
pm:vm:photonmelodies11.rio.004:1216455180:00006320:00029,cvm,【武】「啊，您叫我？」<01>,[],layout_only,204e75e9571a7fef868482192bcadc22330003ebf1f3994cb72feec6c2e5e651,1b98ecff5a560bd24d079ddbd0d813c9081b2581caa7767675a0bbf7dcc12a33
pm:vm:photonmelodies11.rio.004:1216455180:00006716:00030,cvm,【月咏】「您遇到什么麻烦了吗？」<01>,[],layout_only,6e937181c6d25f0f15e223c8f22cbc1c546e9cb6be925ba4029129d28bb2e7b9,6b0185c5a018bc174113deac030b21c1789207e660f01f240f804abb2a0280e0
pm:vm:photonmelodies11.rio.004:1216455180:00006936:00031,cvm,【武】「咦？没什么…………」<01>,[],layout_only,75fc1104e5d73272d5ac1f840de39c1c88cfc7bf290160aa4e02e644279d3392,e7d074d1bdb118441484032631e17ead48b3690cb35c473cab54af8844de00ea
pm:vm:photonmelodies11.rio.004:1216455180:00007188:00032,cvm,…………咦？刚才那个大婶呢？<01>,[],layout_only,65cfdfe43222579a3b2791f7e3a160ce11d28f45d93a24c2aff33d35001ef748,f3cc2ac0a7fdc20a22d62a5762cd940c045bccbf1862cc05ea5b14d3e4cf5118
pm:vm:photonmelodies11.rio.004:1216455180:00007232:00033,cvm,她到底，是怎么回事？<01>,[],layout_only,935820cac3dee455e18d8fe14326c76f0dc4cf60982bf74cd78ac411d9050431,d866431f43a6cd0dc674eb17ca97221bc888c4ac1cdd1814226cc85faf22c70d
pm:vm:photonmelodies11.rio.004:1216455180:00007616:00034,cvm,【武】「抱歉，没什么。那么…………您有什么事？」<01>,[],layout_only,8615c2795d7f38a749a8fcd1da4e4c05db68e920b6a092d5aa8f6bc7423e734a,5244f9027863ffc37be68b886b319b62ac066268156d1ad84961b6f05477d759
pm:vm:photonmelodies11.rio.004:1216455180:00007876:00035,cvm,【月咏】「是，我这里正好有件适合疲惫的武先生的好东西…………<0A>您要试试吗？」<01>,[],layout_only,08f68f49964279e7266772b73fa3aa845733323a0360660146ee5e8bf70b92ec,c6d751ead23e0deeef78fd036d04aa7234df94374a7360aa1cc9b03beb6401d2
pm:vm:photonmelodies11.rio.004:1216455180:00008080:00036,cvm,【武】「…………是什么？」<01>,[],layout_only,a8e1b5ac23308b2993375ef324787cf8300ed7381b8e7d70959b5e0bbe7760e9,879dfb9e9354b4e1864416b327b9249b8cb94c4b9cf162c17d8e51d33cb3093a
pm:vm:photonmelodies11.rio.004:1216455180:00008312:00037,cvm,【月咏】「是，简单来说，<0A>这是一种用于放松的装置，<0A>而且还搭载了其他装置所没有的功能…………」<01>,[],layout_only,e4bce1c60bae1001049f7af1494a5f69dfc80074f0e87d32be6823b6d9e505f0,f33c1906ab865407613a001c01961e4270fcf9488cbeacb8bffc8fff1e1cab5b
pm:vm:photonmelodies11.rio.004:1216455180:00008356:00038,cvm,…………哦哦？<01>,[],layout_only,f0d087b28c9a061d499539a0be5a17739420fa4807687654d1a6a1debe8ca16a,535c1803aa4bc2e47f0714bb5cc5680bddc5c404581278f6c2e08097a9409232
pm:vm:photonmelodies11.rio.004:1216455180:00008400:00039,cvm,【武】「会是什么呢…………<0A>肯定比电动按摩椅…………更厉害吧？」<01>,[],layout_only,f39d35f8fdbcb4c925136b3790b9f15673074ac5430bc4120f64fcc20134d85d,cce6a3eb9a3523eb6098bc60ed18583e03ad710f173ef6f0febb7aab58588a78
pm:vm:photonmelodies11.rio.004:1216455180:00008632:00040,cvm,【月咏】「当然。那台装置…………<0A>不过这话只限我们之间，<0A>它能让武先生看到自己所期望的未来」<01>,[],layout_only,cdae4fbc6993bd17926e1d8fd33b6238456dcba0f287ad28978372cd2f13a421,b1421dc4f17ef85fab14e1409a4a2859f72abe9f1d6c54f510e6b30ca76f327f
pm:vm:photonmelodies11.rio.004:1216455180:00008676:00041,cvm,【武】「…………哈啊？」<01>,[],layout_only,fca478192a0fb282bb3409e5036fef5bbbe72aadb78bf3d8e4dc6cf9b4cfe04c,6809cc8bc22ad88014bdb7b8b5357bb78c92999e1129b1082ec3f3ed90417883
pm:vm:photonmelodies11.rio.004:1216455180:00008908:00042,cvm,【月咏】「哦呵呵…………您会怀疑也无可厚非。<0A>不过，这是凭借现代科学与御剑之力诞生于世的梦幻机器」<01>,[],layout_only,9d87204caf7020e4be272c439bb647526e9cd004bb2c26703ee969ed4e2f4d6a,7a889dcc0231da821945771965bea9961196d7c1141c9d924e7ba3f056103b80
