binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1327482084:00000896:00001,cvm,<05>「——《时空的欠片》前情回顾」,[],layout_only,b87b9ba6a5fdff33785aaabaaca423f467d0124067aa8943acbda447d6c9a049,c5cf6aaed43319b04c2dc368fa00cceebb828191513dd72860e51c44752d2b8b
pm:vm:photonmelodies11.rio.004:1327482084:00001992:00003,cvm,【扎乌伯】「算了。我正在执行任务，寻找某样东西」<01>,[],layout_only,f61c3548d88cd54d7d1729836387cbe3991aa484760d9137dc1204167e804e41,f14b94d2c7da2b79e01a2b86236cf8457dcb92f42540d451eaf7df633166c152
pm:vm:photonmelodies11.rio.004:1327482084:00003276:00004,cvm,【武】「某样东西？」<01>,[],layout_only,0d4ebecfeb076d8f92f2b28b3e129aab25ab52dcb8de913fc1473d2bed058498,6811874d0e330560bb8c6b511ab791abfd5d6999f8397e8f70e002e4734f74b9
pm:vm:photonmelodies11.rio.004:1327482084:00004532:00005,cvm,【扎乌伯】「没错。掌握那件东西线索的人……就是那家伙」<01>,[],layout_only,952204709bb179c7447a96de5ebe39b45b7300cb33563728c2db633efa9f56dd,69be5c56d4934978221a8fd4928db7b56de23ee574bc1a0f819418472edc1fa3
pm:vm:photonmelodies11.rio.004:1327482084:00004576:00006,cvm,【武】「那家伙？」<01>,[],layout_only,679707e08fa9d9c3cdf7abada488078bade55310f910dbd1e82ee6098ae2b20a,f165eea09c5a43a38637371a31280dc242fd3d253d2816c69bbb0ad0a4fda7ac
pm:vm:photonmelodies11.rio.004:1327482084:00004632:00007,cvm,【扎乌伯】「……阿尔弗雷德·沃肯」<01>,[],layout_only,3140004c0bdfefcd48ce4223598792e27d682e1e64659214bfa5044e578b0ce2,3a4425a08cbe17e82040b2cda2acc5e0c5a96931142696711b0ac236d908733f
pm:vm:photonmelodies11.rio.004:1327482084:00006636:00008,cvm,【扎乌伯】「――！？」<01>,[],layout_only,6fa4fc8f5df0ba1363f1aedccd5697d6dd117f483f83328e9768e68b505e5d49,2a02dd19dad2a36f5e36bf9372458622170efe68dbec48a3af14ec37694d71b1
pm:vm:photonmelodies11.rio.004:1327482084:00007164:00009,cvm,【冥夜】「二位请不要动……！」<01>,[],layout_only,d8240386e4a451d7c7e20447fd90adacdc4e30de2aa62b177c1a5915f5ee5372,1311ff0748063d0b9c9601ee14418b81c127d7e23a4bcc4783c5bec293c67dc6
pm:vm:photonmelodies11.rio.004:1327482084:00007220:00010,cvm,【夕呼】「哎呀呀……来得还挺快。」<01>,[],layout_only,e1a69f87cc2ad5788550128cc5ce547f9723ac10133b9386df067c7020a73dfa,a41d59d8fc594aad8cd67f2c1e51309b725aeab3436136d1952d179ece369de2
pm:vm:photonmelodies11.rio.004:1327482084:00007684:00011,cvm,【冥夜】「香月教谕，胜负已分。恕我冒昧，特来劝降。」<01>,[],layout_only,f91d65d196bebeffbb7e2712c3feb150a934eeed2a29e0278d0ab01fedd0b880,349948a046163d2eba5dc38f33582e1f11bcae1e5e98ef8dad4bf456da4d329d
