binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1511431932:00001076:00001,cvm,【悠阳】「眼看今年也即将过去，<0A>承蒙各位舍下与家人团聚的时光，赶来这里——」<01>,[],layout_only,d6c843ccd22d2a8c554b963a965135b17889bf0bb86fa3aa32bc84178c08604b,f393b62cd3b564a1d3f42ebde64546766c37672832769d3f3661b80d0ae83d79
pm:vm:photonmelodies11.rio.004:1511431932:00001488:00002,cvm,【悠阳】「这想必全都是武先生的人望使然」<01>,[],layout_only,14e2da9b0ff6e6aca93f826439e9d54e4fbd97a14c382eb0ce0ed2b38caff689,ae72a7ca943a61502639c2ceb620fd488595e271ceba413fdf06f36b767d839f
pm:vm:photonmelodies11.rio.004:1511431932:00002220:00003,cvm,【慧】「与其说是人望…………不如说待在家也很闲？」<01>,[],layout_only,391e60eaa87fc4731a8cc2069a6848156251079a8b3545951d5acfea3897025a,bc2a8bce30557490cef58b92f47e0f3ac8086fe83ae76e32a7c7bf073b8a363c
pm:vm:photonmelodies11.rio.004:1511431932:00003192:00004,cvm,【美琴】「我今天正好因为爸爸太危险，<0A>没法回家，所以来得正好～。<0A>总比明天在奇怪的地方醒来好嘛」<01>,[],layout_only,03a8692b21163d1f78e34f271652a640a0b391833524a92f3aa7d57740a99f83,1d344da1c412282cf4b68fea444004309c3d8f252547d79a9c1d69b6233176ff
pm:vm:photonmelodies11.rio.004:1511431932:00003516:00005,cvm,【千鹤】「人望？才不是…………根本就是个灾星」<01>,[],layout_only,d65d6b5f4b390473e6b3c46d24bc3dc2c79cfacc73ac729172f0085250d79174,2d6cf6c539e493a50cbef4f8fe4eafc6b8e1db288065ee4c6c42911de39ecbdc
pm:vm:photonmelodies11.rio.004:1511431932:00003748:00006,cvm,【茜】「嘴上倒是这么说…………<0A>给我打电话喊着‘怎么办怎么办’的人，<0A>是谁来着～～？」<01>,[],layout_only,4349a664fad0ad12847163f66ee0fee611272f580f68e160a027383c12f4f0fb,18c83f989410ce6f763402f2f14bd2c12fd2892ce73a58498652913a7c7b79f2
pm:vm:photonmelodies11.rio.004:1511431932:00003980:00007,cvm,【千鹤】「啊，茜！！」<01>,[],layout_only,c7b601b2e6a756e53fe070e166a562762592a6f2c8c6ec9ee168cc12cfcb22d1,8eea2bbbd5f25cc1d49236da0b5581a30757ace6af861124e08d5f9e67bc01c9
pm:vm:photonmelodies11.rio.004:1511431932:00004644:00008,cvm,【慧】「与其说是人望…………不如说待在家也很闲？」<01>,[],layout_only,391e60eaa87fc4731a8cc2069a6848156251079a8b3545951d5acfea3897025a,bc2a8bce30557490cef58b92f47e0f3ac8086fe83ae76e32a7c7bf073b8a363c
pm:vm:photonmelodies11.rio.004:1511431932:00005616:00009,cvm,【美琴】「我今天正好因为爸爸太危险，<0A>没法回家，所以来得正好～。<0A>总比明天在奇怪的地方醒来好嘛」<01>,[],layout_only,03a8692b21163d1f78e34f271652a640a0b391833524a92f3aa7d57740a99f83,1d344da1c412282cf4b68fea444004309c3d8f252547d79a9c1d69b6233176ff
pm:vm:photonmelodies11.rio.004:1511431932:00005940:00010,cvm,【千鹤】「人望？才不是…………根本就是个灾星」<01>,[],layout_only,d65d6b5f4b390473e6b3c46d24bc3dc2c79cfacc73ac729172f0085250d79174,2d6cf6c539e493a50cbef4f8fe4eafc6b8e1db288065ee4c6c42911de39ecbdc
