stable_id,rio_file,block_offset,payload_offset,text_offset,writer_mode,delimiter,source_field_sha256,source_identity_sha256,translation_text,runtime_text,inline_controls,allow_control_change,control_delta_reason,runtime_binding,native_capacity_units,replacement_units,padding_codepoint,padding_units,translation_source
pf:static:photonflowers11.rio:0000374496:00000518,photonflowers11.rio,374496,518,518,whole_visible,,41ca2285c720edd3f7af2bdda3ad147f766860dd4d01256fd56666309d35de80,CCF9B4C4A0E4170FE301A386BA71A421B8D4C5633D90F13A0899665A58AABD28,\A关闭回看,\A关闭回看,,no,none,direct_top_level,6,6,,0,pf_pm_exact_homolog_2026-08-11
pf:static:photonflowers11.rio:0000374496:00000848,photonflowers11.rio,374496,848,848,whole_visible,,41ca2285c720edd3f7af2bdda3ad147f766860dd4d01256fd56666309d35de80,2597A64E51D094463782CE69C184B4C5E8F8E7877D276C753BB048E6DCE65336,\A关闭回看,\A关闭回看,,no,none,direct_top_level,6,6,,0,pf_pm_exact_homolog_2026-08-11
pf:static:photonflowers11.rio:14809024:00003479,photonflowers11.rio,14809024,3479,3479,whole_visible,,75004f9d7a892af8970e6c04945874007562d0ee2e96e14a566e62495c8d1446,B1AA0F176C864A66B744E08629B7DD1C1D6864A773D3D9B7D5DE10AA09A6E1C0,返回标题菜单,返回标题菜单,,no,none,direct_top_level,6,6,,0,gap_audit_pf_2026-08-11
pf:static:photonflowers11.rio:14922468:00000415,photonflowers11.rio,14922468,415,415,target_after_delimiter,\|,dcac293024fa7b5f160c0ae522632b335e5c42ca6416cf26ee58add2a81f8b01,C8AF10CD48DB92CE1BF86B38E8834504C2E42375FC30F996FDCF3C8EB449759F,樱花盛开之前,樱花盛开之前⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,15,15,U+2060,9,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00000523,photonflowers11.rio,14922468,523,523,target_after_delimiter,\|,0e82c9664545bf6e68f9e8c1acead0c3e941adbb3ba2b7d38b56da5553d10c62,CC05DB3A1FFFF8D48FA182F4D592B1EDF91632594C5ADE81A7B4773C75374E6B,和小武在一起！,和小武在一起！⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,21,21,U+2060,14,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00000649,photonflowers11.rio,14922468,649,649,target_after_delimiter,\|,c9c6087183717314bf2a3663a683080c4eb8665274f30c08ecaef53271adbd45,12AC7A0ECB1B1AFD38892D19F468C0AEA7BC059826246C23865E5597C2124FDC,小武哥的尾巴,小武哥的尾巴⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,16,16,U+2060,10,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00000759,photonflowers11.rio,14922468,759,759,target_after_delimiter,\|,f58ff79025ac8203a79ed2d8522aa3938f3ab90b848e9b8bae5b4078d8372ec4,4A9A4B28585AE7F32F4B1EC8E699190B8538F69B70C97596C851ABAD5B376B32,白银同学，等一下！！,白银同学，等一下！！⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,18,18,U+2060,8,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00000875,photonflowers11.rio,14922468,875,875,target_after_delimiter,\|,5e5843f653e5a1a49eb24e30399e1bdcd90dd08b8f84756e3d717042391cc577,958F020BE27B6AC169D56BA7C42DC5E32CFF99E654BF69035C258F3DD1F7C145,白银……在吃吗？,白银……在吃吗？⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,21,21,U+2060,13,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00000995,photonflowers11.rio,14922468,995,995,target_after_delimiter,\|,a008699cd1599685111ab1f5f071a56e706b8ac9ca497871c87591907055f14c,72865318E81144129273974AC30C63B1F1FA74F995D36FAB8116DB4A8E57DD52,其名为武,其名为武⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,16,16,U+2060,12,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00001101,photonflowers11.rio,14922468,1101,1101,target_after_delimiter,\|,1e78ba4d9a9491e11c796527edea7bce3eb17e1ab6aa97329cb0aa01de911a88,9BC8758F9DEC50F90702F1BD292F0E4314D5D0D3AE75DB17BB23596CBB1B21F8,我名为冥夜,我名为冥夜⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,16,16,U+2060,11,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00001205,photonflowers11.rio,14922468,1205,1205,target_after_delimiter,\|,546f0fc9bd5ef747b05b39a971911bcb1dbea5a2a5c059abfae37eca90e28cc8,A29750A873C95B12A645CE5A2ED5B8E8281F5CAB473784143F1F3D99ADFD5E11,编年史～赎罪～,编年史～赎罪～⁠⁠,,no,none,nested_requires_linking,9,9,U+2060,2,private_review_source_hash_bound
pf:static:photonflowers11.rio:14922468:00001303,photonflowers11.rio,14922468,1303,1303,target_after_delimiter,\|,90dbbadcd11fac6392479856b0218972ec4f434e6acbf024ccf2919e17f61f7f,7C925DEB2EDB6274EFD86F6531C29B26CE2F772FDD02F61E761167D414B8CBFE,雨舞者,雨舞者⁠⁠⁠⁠⁠⁠⁠⁠⁠,,no,none,nested_requires_linking,12,12,U+2060,9,private_review_source_hash_bound
