call_order,stable_id,rio_file,scene,source_text_sha256,translated_text
1,pm:static:photonmelodies11.rio.002:1214091360:00200432,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,634462D8A03332839D5532E0570D55E777700D7C0B06DE55A26D576EA834DA5F,【清十郎】「…<03>…<03>你说…<03>…<03>什么！？」<01>
2,pm:static:photonmelodies11.rio.002:1214091360:00200538,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,5EB3F25EA1884FD78B7C56DFA70EC1881F89294C5A39604DBD6E2B90A2DD3C82,走完从军用地下铁路站台一路通往地面的长阶梯，<03>眼前竟是一片泛着乳白色光芒的异乡森林。<01>
3,pm:static:photonmelodies11.rio.002:1214091360:00200952,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,34308FDD538E19E307F0BEEABAF5467110651F8CDEC31E6ED9880DB69FA34749,"这里是激战正酣的欧洲最前线要冲。
是号称守护人类的要塞线、声名远扬的多佛基地群。<01>"
4,pm:static:photonmelodies11.rio.002:1214091360:00201476,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,CD9E3929A72A39E18758A6C1E3811391A7E395CA9CF070B6596732932DEC0D6E,――可眼前这片美丽而梦幻的景色，<03>和这些词所唤起的印象相去甚远，让我一时有些不知所措。<01>
5,pm:static:photonmelodies11.rio.002:1214091360:00201876,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,D7556D1A1A1D4F22AD310E3181DFD3B13B5C923A65D2B41FC46866E3732958AA,"不，<03>这哪里只是困惑。
说是气势被泼了冷水也好，<03>期待落空也罢，<03>怎么形容都行。<01>"
6,pm:static:photonmelodies11.rio.002:1214091360:00202420,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,005526B967921BDDF4CFD82C3E969C45BD3175CD4E79098C01BF01C5A7334747,我千里迢迢远离故国――作为帝国斯卫军士官候补生代表，<03>也作为真壁家的男儿，<03>本是抱着破釜沉舟的觉悟前来参加海外视察研修，却被结结实实地泼了一盆冷水。<01>
7,pm:static:photonmelodies11.rio.002:1214091360:00203040,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,295F4706CA02639D6BD760EFD06441F27B99D77212F6E38209552BF7EFDF7422,更何况就在刚才，还发生了列车因运行上的差错比预定时间早到一个多小时这种“好兆头”，<03>这份落差便更加沉重了。<01>
8,pm:static:photonmelodies11.rio.002:1214091360:00203198,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,30866DA52EBA00D4187C59D9C78E79678795D747934DBA187681F00FC8432426,唔、<03>不甘心…<03>…<03>。<01>
9,pm:static:photonmelodies11.rio.002:1214091360:00203614,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,6A6501D4A9B21054636ED7FC53829D763C364DD527DA033169C1389AD5E7ABD4,我原本希望开端更加冷硬、更像军用设施，<03>带着一种毫不留情的紧张感。<01>
10,pm:static:photonmelodies11.rio.002:1214091360:00204032,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,E3B432E0607CB1E0A7F38FD8F7650FD4E556E32F6D1A18E14574F41A0B8D3195,而不是这种仿佛温柔抚慰着人的大自然；<03>我想在欧洲刻下的，<03>本该是硝烟弥漫的钢铁与强化混凝土城塞――<01>
11,pm:static:photonmelodies11.rio.002:1214091360:00204670,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,6CDAB73689716EDBBCDB4F81FCE4298F617F09E5EA7BB1899C992DBE068B63AD,【清十郎】「――嗯？」<01>
12,pm:static:photonmelodies11.rio.002:1214091360:00204738,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,E025E8B1EFEB578B8BF30AD63DBEB16730B5C4573C4DFE32F1173B6C7F3E73AD,――有股海潮的气息。<01>
13,pm:static:photonmelodies11.rio.002:1214091360:00204812,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,57513E80D59C46277DB0D34995C306141E566F6A1D811B481B39283138B19EE1,弥漫的泥土与青草气息中，混着一缕海潮味――那与我熟悉的味道，似乎有些不同…<03>…<03>。<01>
14,pm:static:photonmelodies11.rio.002:1214091360:00205192,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,00F85FAA28CFA90E9D8E73C54AF6DFCBBB1EE17E3896F517A2F56AE74132BF49,【清十郎】「唔唔唔唔…<03>…<03>不行！　这可不行！」<01>
15,pm:static:photonmelodies11.rio.002:1214091360:00205362,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,D1EF58712F4F00568FE04B6FBF34E8EF995A120E18571BFA451B94B288B1A10F,"这里是俯瞰多佛海峡的基地。
闻到潮味，本就是理所当然的事！<01>"
16,pm:static:photonmelodies11.rio.002:1214091360:00205640,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,2B1C05B2FDC122BADCF421321D53F0245A5CA8CD1E90B5720EF1D0779E80246A,身为卫士，<03>最先该做的，<03>就是掌握自己身处的状况。<01>
17,pm:static:photonmelodies11.rio.002:1214091360:00205924,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,E613F76E8628F8D6FC97806569031E141D88FCBE584A8A8981DCBF754A18B2F0,只因愿望与现实有些落差便耿耿于怀，<03>甚至忘了卫士的本分――这种愚行，<03>绝非真壁家男儿所为…<03>…<03>。<01>
18,pm:static:photonmelodies11.rio.002:1214091360:00206464,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,F18BA6A647AD657D4A2B1700BCE2B190C2446F933914E4483D349175B5BB5308,"这种时候，先深呼吸。
给脑细胞送点新鲜氧气，<03>让脑子清醒起来。<01>"
19,pm:static:photonmelodies11.rio.002:1214091360:00206820,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,A9DED7A68C0BEDF572BFCA712A0C864EFC9B45AD88503CD74E4BBBEC57409FA4,"【清十郎】「吸～～～～、<03>呼～～～～～。
吸～～～～、<03>呼～～～～～…<03>…<03>」<01>"
20,pm:static:photonmelodies11.rio.002:1214091360:00207000,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,1E91C8A4DD43426A413F3C63B8ABCE5E3043C1E51A61FD7ABF0BA5CFFB0539EF,…<03>…<03>好！<01>
21,pm:static:photonmelodies11.rio.002:1214091360:00207038,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,BB5825954046239B36A0DACA24728742FCA1016E131E8BBBC405C305D2A8106E,"不愧是，<03>已故长兄诚一郎亲授的自制之术，<03>心情果然彻底调整过来了。
那就立刻，<03>观察四周吧。<01>"
22,pm:static:photonmelodies11.rio.002:1214091360:00207578,photonmelodies11.rio.002,crsa:photonmelodies11.rio.002@1214091360,B16FEF3976DBDB0425F57F6C06F76FC1176527F792A1B9E6B8D5E32457BEC761,【清十郎】「…<03>…<03>嗯」<01>
