stable_id,rio_file,block_offset,payload_offset,text_offset,writer_mode,delimiter,source_field_sha256,source_identity_sha256,translation_text,runtime_text,inline_controls,allow_control_change,control_delta_reason,runtime_binding,native_capacity_units,replacement_units,padding_codepoint,padding_units,translation_source
pm:static:photonmelodies11.rio:0000637744:00000444,photonmelodies11.rio,637744,444,444,whole_visible,,41ca2285c720edd3f7af2bdda3ad147f766860dd4d01256fd56666309d35de80,F071CB52020468A556A5EFD1444721BC859C3EC1C73C17BD69EF3E02576601D7,\A关闭回看,\A关闭回看,,no,none,direct_top_level,6,6,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339066040:00003415,photonmelodies11.rio,1339066040,3415,3415,whole_visible,,29b32990724451db1ee84e2ce380f6d1c9ec4cae44b13bd6f8e6bd6e4840d262,A1BD96B88D72036B744BBC9C0B35C7E8DCC9A79F0628C98EC6FFB88C48CA3C6F,Muv-Luv photonmelodies,マブラヴ photonmelodys,,no,none,nested_requires_linking,18,18,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339066040:00003500,photonmelodies11.rio,1339066040,3500,3500,whole_visible,,75004f9d7a892af8970e6c04945874007562d0ee2e96e14a566e62495c8d1446,1724ABFA5A040249F072A02CED794004F620ACB3D304825CB9DC8F0878AD855D,返回标题菜单,返回至游戏标题菜单界面,,no,none,nested_requires_linking,11,11,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000415,photonmelodies11.rio,1339179508,415,415,target_after_delimiter,\|,dcac293024fa7b5f160c0ae522632b335e5c42ca6416cf26ee58add2a81f8b01,35594C12BF7255B63B1848CE35271DA3AD44D9D2204C9171BC30A2B5E22CF56B,樱花盛开之前,樱花盛开之前,,no,none,direct_top_level,6,6,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000523,photonmelodies11.rio,1339179508,523,523,target_after_delimiter,\|,0e82c9664545bf6e68f9e8c1acead0c3e941adbb3ba2b7d38b56da5553d10c62,7BFDC34554BA39713A7162BE093AF451010DAAA5850E74FF30C5EB5D4BD8121D,和小武在一起！,和小武在一起！,,no,none,direct_top_level,7,7,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000649,photonmelodies11.rio,1339179508,649,649,target_after_delimiter,\|,c9c6087183717314bf2a3663a683080c4eb8665274f30c08ecaef53271adbd45,8086EC47AC0DE72542D4AF4FA91CE2F1A92D98C7120CFF219FCEC5E6E1C62F9E,小武哥的尾巴,小武哥的尾巴,,no,none,direct_top_level,6,6,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000759,photonmelodies11.rio,1339179508,759,759,target_after_delimiter,\|,f58ff79025ac8203a79ed2d8522aa3938f3ab90b848e9b8bae5b4078d8372ec4,56ABB829F9B52757436DC200FF3BD7D059AAB0452D711C136A1143E042E340F1,白银同学，等一下！！,白银同学，等一下！！,,no,none,direct_top_level,10,10,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000875,photonmelodies11.rio,1339179508,875,875,target_after_delimiter,\|,5e5843f653e5a1a49eb24e30399e1bdcd90dd08b8f84756e3d717042391cc577,8B88A6505E34AB95D4019E3C53770668A3B647CEFA8F31A03A2DCA7F85C818A1,白银……在吃吗？,白银……在吃吗？,,no,none,direct_top_level,8,8,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00000995,photonmelodies11.rio,1339179508,995,995,target_after_delimiter,\|,a008699cd1599685111ab1f5f071a56e706b8ac9ca497871c87591907055f14c,2DA0D498C351A0369F482D7B15C0B96ECD45AE9341CAF034967246EE109E4D63,其名为武,其名为武,,no,none,direct_top_level,4,4,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00001101,photonmelodies11.rio,1339179508,1101,1101,target_after_delimiter,\|,1e78ba4d9a9491e11c796527edea7bce3eb17e1ab6aa97329cb0aa01de911a88,3C4ED24C93199D38EBDF9850AF2E831AD640B74C98EE15CAB9099B2D35352F51,我名为冥夜,我名为冥夜,,no,none,direct_top_level,5,5,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00001205,photonmelodies11.rio,1339179508,1205,1205,target_after_delimiter,\|,546f0fc9bd5ef747b05b39a971911bcb1dbea5a2a5c059abfae37eca90e28cc8,CF7C558A5B582C8507D57FFB4F187FADFC3C1A79C607FA5612869B8AD80F0BE3,编年史～赎罪～,编年史～赎罪～,,no,none,direct_top_level,7,7,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00001303,photonmelodies11.rio,1339179508,1303,1303,target_after_delimiter,\|,90dbbadcd11fac6392479856b0218972ec4f434e6acbf024ccf2919e17f61f7f,F00334A55CD5A73629E3CB69CFAFDD970D588700A2DA6DA033E09C87AB055BE0,雨舞者,雨舞者,,no,none,direct_top_level,3,3,,0,gap_audit_pm_2026-08-11
pm:static:photonmelodies11.rio:1339179508:00001405,photonmelodies11.rio,1339179508,1405,1405,target_after_delimiter,\|,dd63f25e05c226c223f3bc2e5194afb1890f0932c41093e9a214b6a1bde2eb6b,AA56E4D166F5C77935EB01AB0616BF6CD313AB30F91844C2441604D7A70DD60C,编年史～告白～,编年史～告白～,,no,none,direct_top_level,7,7,,0,gap_audit_pm_2026-08-11
